Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
1,Abner,br BRA,DF,Juventude,19,2004,1.2,28,26,2,1,0,2,0,1,0,0,0,0,19,0,0,Matches
2,Nicolás Acevedo,uy URU,"MF,DF",Bahia,24,1999,3.0,211,205,6,5,0,1,3,1,0,0,0,0,185,0,4,Matches
3,Luiz Adriano,br BRA,FW,Vitória,36,1987,2.2,45,40,5,0,0,0,0,0,0,0,0,0,32,0,0,Matches
4,Adriel,br BRA,GK,Bahia,23,2001,3.7,133,104,29,4,0,1,0,0,0,0,0,0,109,0,0,Matches
5,Adryelson,br BRA,DF,Botafogo (RJ),25,1998,6.4,404,395,8,4,0,2,1,2,0,0,0,0,370,1,3,Matches
6,Adson,br BRA,FW,Vasco da Gama,23,2000,13.6,622,604,15,2,3,1,22,8,5,3,0,0,528,3,19,Matches
7,Braian Aguirre,ar ARG,DF,Internacional,23,2000,1.0,46,37,9,0,0,0,4,9,0,0,0,0,32,0,0,Matches
8,Lucas Alario,ar ARG,"FW,MF",Internacional,31,1992,7.1,113,108,4,0,0,0,2,0,0,0,0,0,82,1,2,Matches
9,Carlos Alberto,br BRA,FW,Botafogo (RJ),21,2002,2.4,23,21,1,0,0,0,2,1,0,0,0,0,17,1,2,Matches
10,Yuri Alberto,br BRA,FW,Corinthians,22,2001,24.4,412,366,43,0,1,2,9,1,0,0,0,0,297,3,15,Matches
11,Carlos Alcaraz,ar ARG,"MF,FW",Flamengo,21,2002,8.3,428,389,37,11,1,3,30,3,22,11,11,0,337,2,3,Matches
12,Max Alegria,br BRA,"FW,DF",Vasco da Gama,20,2004,0.9,24,24,0,0,0,0,1,0,0,0,0,0,19,0,2,Matches
13,Alerrandro,br BRA,FW,Vitória,24,2000,26.5,519,449,67,2,4,1,7,5,0,0,0,0,362,3,17,Matches
14,Caio Alexandre,br BRA,MF,Bahia,24,1999,30.8,2364,2241,117,104,5,22,29,12,0,0,0,0,2157,6,16,Matches
15,Matheus Alexandre,br BRA,DF,Cuiabá,24,1999,27.4,1256,998,255,11,0,3,49,244,0,0,0,0,974,3,43,Matches
16,Alexsander,br BRA,MF,Fluminense,20,2003,8.8,457,437,19,10,0,5,7,8,1,1,0,0,392,1,12,Matches
17,Alisson,br BRA,GK,Criciúma,28,1995,4.7,154,88,64,10,0,1,0,0,0,0,0,0,95,2,0,Matches
18,Alisson,br BRA,"DF,FW",Atlético Mineiro,18,2005,9.9,386,350,36,4,1,17,42,17,15,8,2,0,280,0,8,Matches
19,Alisson,br BRA,MF,São Paulo,30,1993,17.9,1306,1248,54,43,2,16,15,4,0,0,0,0,1181,4,10,Matches
20,Allan,br BRA,MF,Flamengo,26,1997,15.7,869,848,20,16,2,5,4,3,0,0,0,0,764,1,9,Matches
21,Allan,br BRA,"MF,DF",Botafogo (RJ),33,1991,3.5,204,192,10,6,0,1,2,2,0,0,0,0,175,2,3,Matches
