Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
597,Lucas Romero,ar ARG,MF,Cruzeiro,29,1994,28.1,75,48,21,41,13,31,63,49.2,32,28,7,21,18,93,24,0,Matches
598,Óscar Romero,py PAR,"MF,FW",Botafogo (RJ),31,1992,7.5,19,12,11,3,5,9,19,47.4,10,7,0,7,6,25,10,0,Matches
599,Rômulo,br BRA,DF,Atlético Mineiro,20,2004,5.5,14,9,8,5,1,8,12,66.7,4,8,3,5,9,23,24,0,Matches
600,Romulo,br BRA,MF,Internacional,23,2000,19.9,54,31,22,30,2,22,40,55.0,18,25,10,15,39,93,45,1,Matches
601,Romulo,br BRA,"FW,MF",Palmeiras,22,2001,2.0,6,4,3,1,2,2,4,50.0,2,1,0,1,0,6,1,0,Matches
602,Ronald,br BRA,MF,Criciúma,26,1997,16.8,57,30,31,17,9,25,64,39.1,39,25,2,23,17,74,12,1,Matches
603,Ronald,br BRA,"MF,DF",Grêmio,20,2003,0.5,1,1,1,0,0,0,0,,0,2,2,0,0,1,4,0,Matches
604,Ronaldo,br BRA,GK,Atl Goianiense,27,1996,32.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,14,1,Matches
605,Ronaldo,br BRA,MF,Juventude,27,1996,12.6,36,23,14,16,6,16,26,61.5,10,11,7,4,13,49,28,0,Matches
606,Budiga Roni,br BRA,"MF,DF",Atl Goianiense,24,1999,16.1,34,28,16,12,6,15,36,41.7,21,20,12,8,14,48,32,1,Matches
607,Rony,br BRA,FW,Palmeiras,28,1995,19.1,21,13,3,11,7,5,12,41.7,7,11,1,10,4,25,14,0,Matches
608,Matheus Rossetto,br BRA,MF,Fortaleza,27,1996,17.2,22,17,4,16,2,5,18,27.8,13,11,0,11,18,40,17,0,Matches
609,Rossi,br BRA,"FW,MF",Vasco da Gama,30,1993,5.6,8,8,4,4,0,3,6,50.0,3,10,1,9,5,13,7,0,Matches
610,Agustín Rossi,ar ARG,GK,Flamengo,28,1995,35.0,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,6,1,Matches
611,Ruan,br BRA,DF,São Paulo,24,1999,8.0,13,11,10,3,0,10,13,76.9,3,7,5,2,6,19,32,0,Matches
612,Ruan,br BRA,"FW,MF",Juventude,18,2005,1.1,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,1,0,Matches
613,Rubens,br BRA,"DF,FW",Atlético Mineiro,22,2001,13.3,60,42,37,17,6,23,39,59.0,16,15,2,13,22,82,54,0,Matches
614,Alan Ruschel,br BRA,DF,Juventude,34,1989,24.9,69,36,35,32,2,41,75,54.7,34,30,12,18,35,104,44,0,Matches
615,José Sabino,br BRA,DF,São Paulo,27,1996,10.8,19,15,14,3,2,10,15,66.7,5,11,8,3,13,32,62,1,Matches
616,Daniel Sales,br BRA,DF,Flamengo,17,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
617,Rodrigo Sam,br BRA,DF,Juventude,28,1995,8.9,14,10,10,3,1,8,15,53.3,7,13,11,2,20,34,37,0,Matches
