Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Abner,BRA,DF,Juventude,19,2004,1.2,2,0,2,0,0,2,4,50.0,2,1,1,0,3,5,10,1
Nicolás Acevedo,URU,"MF,DF",Bahia,24,1999,3.0,8,4,3,4,1,1,5,20.0,4,3,1,2,3,11,3,1
Luiz Adriano,BRA,FW,Vitória,36,1987,2.2,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0
Adriel,BRA,GK,Bahia,23,2001,3.7,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1
Adryelson,BRA,DF,Botafogo (RJ),25,1998,6.4,4,3,2,2,0,2,2,100.0,0,5,3,2,10,14,34,1
Adson,BRA,FW,Vasco da Gama,23,2000,13.6,25,20,11,9,5,5,18,27.8,13,15,2,13,6,31,9,0
Braian Aguirre,ARG,DF,Internacional,23,2000,1.0,5,3,3,0,2,4,7,57.1,3,3,2,1,1,6,5,0
Lucas Alario,ARG,"FW,MF",Internacional,31,1992,7.1,5,1,1,2,2,0,5,0.0,5,2,0,2,1,6,14,0
Carlos Alberto,BRA,FW,Botafogo (RJ),21,2002,2.4,3,2,2,1,0,1,2,50.0,1,4,1,3,0,3,2,0
Yuri Alberto,BRA,FW,Corinthians,22,2001,24.4,10,5,1,4,5,3,9,33.3,6,11,1,10,8,18,13,0
Carlos Alcaraz,ARG,"MF,FW",Flamengo,21,2002,8.3,20,11,8,11,1,8,20,40.0,12,13,2,11,5,25,5,0
Max Alegria,BRA,"FW,DF",Vasco da Gama,20,2004,0.9,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Alerrandro,BRA,FW,Vitória,24,2000,26.5,24,15,6,15,3,7,28,25.0,21,29,7,22,13,37,26,0
Caio Alexandre,BRA,MF,Bahia,24,1999,30.8,59,29,24,33,2,30,78,38.5,48,27,4,23,9,68,18,1
Matheus Alexandre,BRA,DF,Cuiabá,24,1999,27.4,60,40,41,17,2,40,70,57.1,30,38,4,34,38,98,79,0
Alexsander,BRA,MF,Fluminense,20,2003,8.8,24,12,9,9,6,11,29,37.9,18,13,3,10,9,33,9,0
Alisson,BRA,GK,Criciúma,28,1995,4.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Alisson,BRA,"DF,FW",Atlético Mineiro,18,2005,9.9,16,13,7,2,7,6,14,42.9,8,6,0,6,5,21,5,0
Alisson,BRA,MF,São Paulo,30,1993,17.9,29,19,14,12,3,17,36,47.2,19,14,3,11,16,45,13,0
Allan,BRA,MF,Flamengo,26,1997,15.7,30,15,9,18,3,14,26,53.8,12,15,5,10,22,52,20,1
Allan,BRA,"MF,DF",Botafogo (RJ),33,1991,3.5,17,9,8,6,3,8,13,61.5,5,5,2,3,5,22,5,0
