Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Lucas Freitas,BRA,DF,Juventude,23,2001,14.0,3,1,1,11,4,1,3,14,8,0,2,0,44,16,19,45.7
Marlon Freitas,BRA,MF,Botafogo (RJ),28,1995,26.9,6,0,0,23,7,1,21,20,27,0,0,0,115,12,20,37.5
Bruno Fuchs,BRA,DF,Atlético Mineiro,24,1999,22.6,9,1,1,24,14,0,14,29,26,0,1,0,95,35,22,61.4
Gabriel Fuentes,COL,DF,Fluminense,26,1997,2.4,1,0,0,3,0,0,3,1,2,0,0,0,8,4,1,80.0
Gabriel,BRA,DF,Bahia,22,2001,35.0,8,0,0,41,13,0,3,57,44,0,0,0,107,136,48,73.9
Gabriel,BRA,MF,Ath Paranaense,31,1992,15.9,3,0,0,22,13,0,6,21,28,0,0,0,101,17,26,39.5
Gabriel,BRA,MF,Fluminense,30,1993,2.6,1,0,0,8,5,1,3,10,7,0,0,0,13,5,2,71.4
Gabriel,BRA,GK,Juventude,31,1992,33.5,5,1,0,2,5,0,0,0,0,0,1,0,39,11,1,91.7
Marquinhos Gabriel,BRA,MF,Criciúma,33,1990,11.1,4,0,0,7,13,4,20,6,6,0,0,0,58,5,13,27.8
Tevis Gabriel,BRA,FW,Cruzeiro,18,2006,1.6,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,
Zé Gabriel,BRA,MF,Vasco da Gama,25,1999,5.1,3,0,0,13,6,0,1,5,11,0,0,0,33,11,7,61.1
Pablo Galdames Millán,CHI,MF,Vasco da Gama,27,1996,12.8,5,0,0,33,10,1,19,12,16,0,0,0,57,3,5,37.5
Giuliano Galoppo,ARG,MF,São Paulo,24,1999,4.3,2,0,0,8,7,0,6,6,4,0,0,0,18,10,5,66.7
Léo Gamalho,BRA,FW,Vitória,38,1986,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Mateo Gamarra,PAR,DF,Ath Paranaense,23,2000,16.5,7,0,0,15,8,0,3,25,17,0,0,0,71,48,34,58.5
Ganso,BRA,MF,Fluminense,34,1989,25.0,12,1,0,19,37,2,76,14,23,0,0,0,95,10,20,33.3
García,BRA,"MF,FW",Palmeiras,22,2002,0.1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
Luan Garcia,BRA,DF,Palmeiras,30,1993,2.6,0,0,0,3,4,0,0,2,1,0,0,0,8,4,0,100.0
Rodrigo Garro,ARG,"MF,FW",Corinthians,26,1998,33.3,8,0,0,38,117,4,225,21,32,0,1,0,156,12,28,30.0
Wesley Gasolina,BRA,DF,Cruzeiro,23,2000,1.8,0,0,0,2,4,0,8,0,2,0,0,0,10,0,3,0.0
Pedro Geromel,BRA,DF,Grêmio,38,1985,8.6,4,0,0,5,4,0,2,11,14,0,1,0,33,18,11,62.1
Gerson,BRA,"MF,FW",Flamengo,26,1997,27.3,3,0,0,27,64,6,35,5,38,1,0,0,137,29,32,47.5
