Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
28,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21,2003,17.5,4,25,9,36.0,1.43,0.52,0.16,0.44,16.2,1,0,0,2.5,2.5,0.10,+1.5,+1.5,Matches
29,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,27.9,17,70,36,51.4,2.51,1.29,0.19,0.36,18.3,5,4,4,14.1,11.0,0.16,+2.9,+2.0,Matches
30,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,19.8,1,9,2,22.2,0.45,0.10,0.11,0.50,15.5,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
31,Selim Amallah,ma MAR,MF,Valladolid,27,1996,15.3,3,21,7,33.3,1.37,0.46,0.10,0.29,22.9,1,1,1,3.5,2.7,0.13,-0.5,-0.7,Matches
32,Amath,sn SEN,"FW,DF",Valladolid,28,1996,4.2,0,5,1,20.0,1.20,0.24,0.00,0.00,13.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
33,Marcos André,br BRA,FW,Valladolid,27,1996,13.2,1,22,2,9.1,1.67,0.15,0.05,0.50,14.0,0,0,0,2.7,2.7,0.12,-1.7,-1.7,Matches
34,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,0.3,0,1,1,100.0,3.21,3.21,0.00,0.00,26.9,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
35,Antoniu,es ESP,"FW,MF",Espanyol,21,2002,11.4,0,10,4,40.0,0.88,0.35,0.00,0.00,19.7,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
36,Antony,br BRA,FW,Betis,24,2000,15.1,5,43,17,39.5,2.84,1.12,0.12,0.29,19.9,1,0,0,2.9,2.9,0.07,+2.1,+2.1,Matches
37,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,19.1,2,11,5,45.5,0.58,0.26,0.18,0.40,12.8,0,0,0,1.7,1.7,0.15,+0.3,+0.3,Matches
38,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2.0,0,1,0,0.0,0.51,0.00,0.00,,15.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
39,Mauro Arambarri,uy URU,MF,Getafe,28,1995,29.6,10,53,16,30.2,1.79,0.54,0.13,0.44,18.2,1,3,3,8.2,5.8,0.11,+1.8,+1.2,Matches
40,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,27.3,1,11,3,27.3,0.40,0.11,0.09,0.33,20.8,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
41,Ronald Araújo,uy URU,DF,Barcelona,25,1999,8.4,1,4,2,50.0,0.48,0.24,0.25,0.50,11.8,0,0,0,1.0,1.0,0.24,0.0,0.0,Matches
42,Adu Ares,es ESP,FW,Athletic Club,22,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,0,8,0,0.0,0.23,0.00,0.00,,21.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
44,David Argüelles,es ESP,MF,Getafe,22,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,1.5,0,6,3,50.0,4.06,2.03,0.00,0.00,23.1,2,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
46,Sergio Arribas,es ESP,DF,Betis,21,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
47,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,11.7,2,28,8,28.6,2.39,0.68,0.07,0.25,13.6,0,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches
48,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,0,3,1,33.3,0.16,0.05,0.00,0.00,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
49,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,10,46,18,39.1,2.37,0.93,0.11,0.28,21.3,3,5,6,8.7,4.0,0.09,+1.3,+1.0,Matches
50,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,15.6,3,38,11,28.9,2.43,0.70,0.08,0.27,22.9,2,0,0,2.1,2.1,0.05,+0.9,+0.9,Matches
51,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,7.5,2,20,10,50.0,2.66,1.33,0.10,0.20,17.9,0,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches
52,Adam Aznou,ma MAR,DF,Valladolid,18,2006,9.7,0,4,1,25.0,0.41,0.10,0.00,0.00,17.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
53,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,1,5,2,40.0,0.51,0.21,0.20,0.50,17.8,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
54,Papa Ba,es ESP,MF,Girona,19,2004,0.5,0,1,0,0.0,1.87,0.00,0.00,,9.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
55,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,1,13,4,30.8,0.44,0.13,0.08,0.25,15.0,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
56,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,7,69,17,24.6,2.39,0.59,0.10,0.41,21.0,8,0,1,7.1,6.3,0.09,-0.1,+0.7,Matches
57,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,0,4,0,0.0,0.58,0.00,0.00,,7.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
58,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,1,5,2,40.0,0.46,0.19,0.20,0.50,23.1,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
59,Cédric Bakambu,cd COD,FW,Betis,33,1991,7.9,2,24,11,45.8,3.04,1.39,0.08,0.18,13.7,0,0,0,3.2,3.2,0.13,-1.2,-1.2,Matches
60,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,0,12,3,25.0,0.47,0.12,0.00,0.00,22.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
61,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,0,1,0,0.0,0.07,0.00,0.00,,30.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
62,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,9.0,0,13,6,46.2,1.44,0.67,0.00,0.00,18.4,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
63,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,0,3,0,0.0,5.51,0.00,0.00,,11.0,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
64,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,3.2,0,7,0,0.0,2.19,0.00,0.00,,27.8,2,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
65,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
66,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,0,4,1,25.0,1.14,0.29,0.00,0.00,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
67,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,1,16,3,18.8,0.66,0.12,0.06,0.33,18.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
68,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,14.0,1,25,8,32.0,1.78,0.57,0.04,0.13,16.2,0,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches
69,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,1,29,8,27.6,1.12,0.31,0.03,0.13,23.1,0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
70,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,11,71,24,33.8,2.75,0.93,0.14,0.42,12.0,0,1,1,12.5,11.7,0.17,-1.5,-1.7,Matches
71,Marc Bartra,es ESP,DF,Betis,33,1991,23.3,2,18,5,27.8,0.77,0.21,0.11,0.40,20.8,1,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches
72,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
73,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
74,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2.0,0,3,0,0.0,1.48,0.00,0.00,,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
75,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,11.1,2,22,13,59.1,1.99,1.18,0.09,0.15,19.1,0,0,0,2.0,2.0,0.09,0.0,0.0,Matches
76,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,2,18,5,27.8,1.14,0.32,0.11,0.40,14.7,0,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches
