Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Max Aarons,ENG,"DF,MF",Valencia,24,2000,1.3,85,1,21,28,36,0,85,4,1,25.0,2,50.0,46,215,103,0,3,0,3,1,49,10
Rodrigo Abajas,ESP,DF,Valencia,21,2003,0.7,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3
Nabil Aberdin,FRA,MF,Getafe,21,2002,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2
Abdel Abqar,MAR,DF,Alavés,25,1999,27.4,1251,160,659,545,58,25,1251,4,3,75.0,1,25.0,632,3531,2013,16,7,0,18,3,650,4
Adrián,ESP,GK,Betis,37,1987,19.0,658,568,657,1,0,0,658,0,0,,0,,390,1788,1161,0,0,0,1,0,299,0
Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,13.4,437,357,436,1,0,0,437,0,0,,0,,237,1238,682,0,0,0,1,0,211,0
Lucien Agoume,FRA,MF,Sevilla,22,2002,23.5,1481,65,386,867,248,19,1481,30,22,73.3,7,23.3,689,3227,1597,29,23,2,26,13,928,23
Álvaro Aguado,ESP,MF,Espanyol,28,1996,4.9,303,7,68,161,78,6,303,8,5,62.5,2,25.0,175,1443,753,15,10,4,9,4,189,4
Lorenzo Aguado,ESP,DF,Real Madrid,21,2002,0.1,3,0,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,1,1,0
Nayef Aguerd,MAR,DF,Real Sociedad,28,1996,19.6,1594,132,729,815,53,16,1594,10,5,50.0,2,20.0,1019,6113,3798,26,18,0,7,3,1138,1
Joseph Aidoo,GHA,DF,Valladolid,28,1995,6.5,431,61,265,168,2,1,431,1,1,100.0,0,0.0,259,1248,678,1,0,0,0,1,320,0
Joseph Aidoo,GHA,DF,Celta Vigo,28,1995,0.0,8,0,4,4,0,0,8,0,0,,0,,7,9,8,0,0,0,0,1,6,0
Ilias Akhomach,MAR,"MF,FW",Villarreal,20,2004,6.5,293,8,44,89,163,29,293,43,19,44.2,17,39.5,200,1310,759,30,18,20,15,10,209,64
Adams Akor,NGA,FW,Sevilla,24,2000,1.5,34,1,4,18,12,1,34,1,1,100.0,0,0.0,5,18,0,0,0,0,2,0,20,5
David Alaba,AUT,DF,Real Madrid,32,1992,3.5,247,36,137,100,11,2,247,0,0,,0,,180,934,482,2,1,0,1,0,199,4
Ibrahim Alani,NGA,MF,Valladolid,18,2006,1.8,113,8,36,74,4,0,113,1,1,100.0,0,0.0,54,305,130,2,0,0,1,2,65,1
Raúl Albiol,ESP,DF,Villarreal,38,1985,13.2,915,157,533,369,14,3,915,0,0,,0,,514,2346,1226,3,1,0,3,1,652,0
Omar Alderete,PAR,DF,Getafe,27,1996,33.0,1585,192,681,796,122,39,1585,28,18,64.3,10,35.7,633,4014,2546,25,20,2,30,9,658,7
Carles Aleñá,ESP,"MF,FW",Getafe,26,1998,5.0,163,5,26,84,56,10,163,4,3,75.0,1,25.0,88,427,169,3,2,1,3,6,98,10
Carles Aleñá,ESP,"MF,FW",Alavés,26,1998,12.1,590,2,63,290,243,22,590,24,12,50.0,5,20.8,330,1428,671,18,25,2,23,14,409,43
Alfon,ESP,"FW,MF",Celta Vigo,25,1999,15.2,551,2,44,139,374,114,551,63,25,39.7,31,49.2,374,2856,1693,89,39,47,29,20,428,170
Tadeo Allende,ARG,FW,Celta Vigo,25,1999,0.0,4,1,1,3,0,0,4,1,0,0.0,1,100.0,3,13,4,0,0,0,0,0,3,0
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,24,2000,22.0,1162,15,150,596,428,43,1162,54,22,40.7,22,40.7,676,3596,1810,45,48,11,37,38,836,77
Iker Almena,ESP,"FW,DF",Girona,20,2004,0.5,39,2,4,6,30,1,39,3,2,66.7,1,33.3,32,233,152,6,3,1,1,0,31,10
Marcos Alonso,ESP,DF,Celta Vigo,33,1990,29.4,2683,211,1022,1399,298,35,2680,25,16,64.0,8,32.0,1733,10524,6481,64,48,2,20,9,1901,49
Adrià Altimira,ESP,"DF,FW",Leganés,23,2001,18.1,826,57,248,380,209,8,826,31,10,32.3,12,38.7,370,1917,1049,23,23,4,28,7,432,69
Sergi Altimira,ESP,MF,Betis,22,2001,21.9,1521,53,321,940,272,18,1521,24,16,66.7,7,29.2,908,3871,1635,25,14,1,27,21,1064,30
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,21,2003,17.5,1214,26,262,471,489,82,1214,72,32,44.4,38,52.8,726,3910,2266,74,38,41,33,12,817,171
Julián Álvarez,ARG,FW,Atlético Madrid,24,2000,27.9,1238,9,105,501,649,116,1234,65,34,52.3,28,43.1,776,4621,2198,79,51,29,62,40,892,162
Yeray Álvarez,ESP,DF,Athletic Club,29,1995,19.8,1425,100,554,825,55,14,1425,9,6,66.7,3,33.3,792,4934,3165,19,8,0,11,7,903,0
Selim Amallah,MAR,MF,Valladolid,27,1996,15.3,607,7,101,334,184,18,606,68,33,48.5,27,39.7,308,1860,836,24,17,6,35,25,353,27
Amath,SEN,"FW,DF",Valladolid,28,1996,4.2,166,4,24,71,73,12,166,16,7,43.8,9,56.3,103,616,318,10,9,4,10,4,119,29
