Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Yaser Asprilla,COL,"FW,MF",Girona,20,2003,15.6,2,0,0,12,23,1,93,7,12,0,1,0,62,4,3,57.1
Ezequiel Ávila,ARG,FW,Betis,30,1994,7.5,5,1,0,13,18,5,29,2,3,0,0,0,28,6,8,42.9
Adam Aznou,MAR,DF,Valladolid,18,2006,9.7,1,0,0,14,17,0,12,10,21,0,0,0,56,11,4,73.3
César Azpilicueta,ESP,DF,Atlético Madrid,34,1989,9.7,1,0,0,8,6,3,5,5,14,0,0,0,28,14,14,50.0
Papa Ba,ESP,MF,Girona,19,2004,0.5,0,0,0,1,4,0,1,0,1,0,0,0,1,0,0,
Loïc Bade,FRA,DF,Sevilla,24,2000,29.8,7,1,0,26,10,0,8,29,27,0,1,0,138,65,30,68.4
Alex Baena,ESP,"MF,FW",Villarreal,23,2001,28.8,9,0,0,43,47,5,207,22,15,0,0,0,140,16,19,45.7
Eric Bailly,CIV,DF,Villarreal,30,1994,6.9,2,1,0,7,1,0,0,6,4,0,1,0,19,11,7,61.1
Stefan Bajcetic,ESP,"MF,DF",Las Palmas,19,2004,10.8,4,0,0,21,14,0,4,15,14,0,1,0,61,17,13,56.7
Cédric Bakambu,COD,FW,Betis,33,1991,7.9,4,0,0,23,7,12,2,0,4,1,0,0,25,12,26,31.6
Alejandro Balde,ESP,DF,Barcelona,20,2003,25.4,2,0,0,16,37,0,67,5,10,0,0,0,122,16,9,64.0
Iván Balliu,ALB,DF,Rayo Vallecano,32,1992,13.3,3,0,0,19,15,1,19,13,14,0,0,0,39,14,26,35.0
Jonathan Bamba,CIV,"FW,MF",Celta Vigo,28,1996,9.0,1,0,0,7,17,4,25,5,7,0,0,0,52,5,10,33.3
Adrian Baquerin,ESP,FW,Valladolid,17,2007,0.5,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,100.0
