Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Mason Holgate,JAM,DF,Sheffield Utd,26,1996,7.9,4,0.51,2,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Callum Hudson-Odoi,ENG,"FW,MF",Nott'ham Forest,22,2000,20.6,82,3.98,63,4,8,4,2,1,6,0.29,4,0,1,0,1,0
Will Hughes,ENG,MF,Crystal Palace,28,1995,21.0,48,2.29,34,9,1,0,2,2,5,0.24,5,0,0,0,0,0
Pierre Højbjerg,DEN,MF,Tottenham,27,1995,14.6,39,2.68,36,0,2,1,0,0,2,0.14,2,0,0,0,0,0
Rasmus Højlund,DEN,FW,Manchester Utd,20,2003,24.0,58,2.42,43,0,5,4,3,3,4,0.17,2,0,2,0,0,0
Igor,BRA,DF,Brighton,25,1998,18.2,25,1.38,21,2,1,0,0,1,2,0.11,2,0,0,0,0,0
Danny Ings,ENG,FW,West Ham,31,1992,4.5,17,3.79,8,0,3,4,1,1,3,0.67,0,0,1,1,1,0
Tim Iroegbunam,ENG,MF,Aston Villa,20,2003,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alexander Isak,SWE,FW,Newcastle Utd,23,1999,25.1,72,2.87,45,0,12,11,4,0,10,0.4,4,0,3,2,1,0
Alex Iwobi,NGA,MF,Everton,27,1996,1.6,12,7.77,6,1,2,3,0,0,0,0.0,0,0,0,0,0,0
Alex Iwobi,NGA,"FW,MF",Fulham,27,1996,24.4,103,4.23,87,0,6,9,0,1,10,0.41,8,0,0,2,0,0
Nicolas Jackson,SEN,FW,Chelsea,22,2001,31.1,95,3.05,60,1,18,8,6,2,11,0.35,7,0,2,2,0,0
Reece James,ENG,DF,Chelsea,23,1999,4.7,15,3.22,13,1,0,1,0,0,3,0.64,2,0,0,1,0,0
Vitaly Janelt,GER,"MF,DF",Brentford,25,1998,33.9,80,2.36,69,2,1,3,3,2,4,0.12,3,0,0,0,1,0
Daniel Jebbison,CAN,FW,Sheffield Utd,19,2003,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mathias Jensen,DEN,MF,Brentford,27,1996,24.5,87,3.55,48,35,0,0,3,1,8,0.33,5,2,0,0,1,0
Gabriel Jesus,BRA,FW,Arsenal,26,1997,16.4,59,3.59,37,1,9,5,3,4,8,0.49,4,1,1,1,1,0
Raúl Jiménez,MEX,FW,Fulham,32,1991,15.5,27,1.74,15,0,4,6,1,1,3,0.19,0,0,1,2,0,0
João Pedro,BRA,"FW,MF",Brighton,21,2001,22.7,91,4.01,64,0,7,10,9,1,11,0.48,5,0,2,2,2,0
Joelinton,BRA,"MF,FW",Newcastle Utd,26,1996,14.2,47,3.3,37,0,6,4,0,0,3,0.21,2,0,0,1,0,0
Ben Johnson,ENG,"DF,FW",West Ham,23,2000,6.0,9,1.49,7,0,0,0,2,0,1,0.17,1,0,0,0,0,0
Brennan Johnson,WAL,FW,Tottenham,22,2001,23.2,70,3.02,55,0,4,6,3,2,13,0.56,11,0,0,1,0,1
Brennan Johnson,WAL,"FW,MF",Nott'ham Forest,22,2001,2.6,7,2.66,3,0,2,1,1,0,3,1.14,1,0,1,0,1,0
Joseph Johnson,ENG,DF,Luton Town,17,2006,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sam Johnstone,ENG,GK,Crystal Palace,30,1993,20.0,2,0.1,1,1,0,0,0,0,1,0.05,0,1,0,0,0,0
Curtis Jones,ENG,MF,Liverpool,22,2001,13.0,36,2.78,28,0,3,3,1,1,3,0.23,3,0,0,0,0,0
Jorginho,ITA,MF,Arsenal,31,1991,10.2,27,2.64,25,0,0,1,0,1,5,0.49,5,0,0,0,0,0
Diogo Jota,POR,FW,Liverpool,26,1996,12.7,48,3.77,36,0,5,3,4,0,14,1.1,7,0,4,1,2,0
Mads Juel Andersen,DEN,DF,Luton Town,25,1997,4.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Hamed Junior Traorè,CIV,MF,Bournemouth,23,2000,0.5,4,7.66,1,0,2,1,0,0,0,0.0,0,0,0,0,0,0
Mathias Jørgensen,DEN,DF,Brentford,33,1990,12.1,12,0.99,11,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Issa Kaboré,BFA,DF,Luton Town,22,2001,19.2,32,1.67,25,0,2,2,1,2,4,0.21,3,0,0,1,0,0
Sasa Kalajdzic,AUT,FW,Wolves,26,1997,1.8,5,2.71,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Boubacar Kamara,FRA,MF,Aston Villa,23,1999,18.4,38,2.07,33,0,0,2,1,2,3,0.16,3,0,0,0,0,0
Willy Kambwala,FRA,DF,Manchester Utd,18,2004,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Thomas Kaminski,BEL,GK,Luton Town,30,1992,37.8,3,0.08,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Loris Karius,GER,GK,Newcastle Utd,30,1993,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Michael Keane,ENG,DF,Everton,30,1993,4.9,4,0.82,3,0,0,1,0,0,1,0.21,0,0,0,1,0,0
Thilo Kehrer,GER,"DF,MF",West Ham,26,1996,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Caoimhín Kelleher,IRL,GK,Liverpool,24,1998,10.0,2,0.2,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lloyd Kelly,ENG,DF,Bournemouth,24,1998,17.3,29,1.67,24,2,1,0,1,1,3,0.17,3,0,0,0,0,0
Omari Kellyman,ENG,FW,Aston Villa,17,2005,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Milos Kerkez,HUN,DF,Bournemouth,19,2003,21.9,32,1.46,25,0,0,4,2,1,4,0.18,2,0,0,0,1,1
Kaine Kesler-Hayden,ENG,"MF,DF",Aston Villa,20,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Max Kilman,ENG,DF,Wolves,26,1997,38.0,39,1.03,34,0,2,2,0,1,0,0.0,0,0,0,0,0,0
Jakub Kiwior,POL,DF,Arsenal,23,2000,10.5,13,1.24,10,2,0,0,1,0,4,0.38,3,1,0,0,0,0
Justin Kluivert,NED,"MF,FW",Bournemouth,24,1999,21.3,59,2.77,37,0,9,6,4,3,5,0.23,3,0,1,0,0,1
Luca Koleosho,ITA,"MF,FW",Burnley,18,2004,10.8,28,2.59,12,0,11,2,3,0,6,0.56,2,0,3,0,1,0
Ibrahima Konaté,FRA,DF,Liverpool,24,1999,17.5,24,1.37,24,0,0,0,0,0,1,0.06,1,0,0,0,0,0
Ezri Konsa,ENG,DF,Aston Villa,25,1997,34.1,34,1.0,25,1,2,2,3,1,6,0.18,3,1,0,0,1,1
Cheikhou Kouyaté,SEN,MF,Nott'ham Forest,33,1989,2.4,8,3.4,5,0,0,2,0,1,1,0.42,1,0,0,0,0,0
Mateo Kovačić,CRO,MF,Manchester City,29,1994,17.2,54,3.14,47,0,2,4,1,0,6,0.35,5,0,0,1,0,0
Emil Krafth,SWE,DF,Newcastle Utd,28,1994,10.1,18,1.77,13,3,1,0,1,0,1,0.1,1,0,0,0,0,0
Mohammed Kudus,GHA,"FW,MF",West Ham,22,2000,27.6,100,3.62,53,1,25,8,12,1,16,0.58,8,0,3,3,2,0
Dejan Kulusevski,SWE,"FW,MF",Tottenham,23,2000,30.7,127,4.14,104,1,9,11,0,2,8,0.26,6,0,1,0,0,1
Adam Lallana,ENG,"MF,FW",Brighton,35,1988,9.4,28,2.96,27,0,0,0,1,0,1,0.11,1,0,0,0,0,0
Tariq Lamptey,GHA,"DF,FW",Brighton,22,2000,10.2,17,1.68,15,0,1,1,0,0,3,0.3,3,0,0,0,0,0
Aymeric Laporte,ESP,DF,Manchester City,29,1994,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yasser Larouci,ALG,DF,Sheffield Utd,22,2001,5.9,8,1.36,5,1,1,1,0,0,0,0.0,0,0,0,0,0,0
Jamaal Lascelles,ENG,DF,Newcastle Utd,29,1993,12.0,8,0.67,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Roméo Lavia,BEL,MF,Chelsea,19,2004,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mario Lemina,GAB,MF,Wolves,29,1993,33.0,47,1.42,42,0,0,4,1,0,5,0.15,4,0,0,0,1,0
Clément Lenglet,FRA,DF,Aston Villa,28,1995,12.8,15,1.17,11,1,0,3,0,0,1,0.08,1,0,0,0,0,0
Bernd Leno,GER,GK,Fulham,31,1992,38.0,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jefferson Lerma,COL,"MF,DF",Crystal Palace,28,1994,26.7,55,2.06,49,0,1,3,1,1,4,0.15,4,0,0,0,0,0
Rico Lewis,ENG,"DF,MF",Manchester City,18,2004,9.0,15,1.67,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Keane Lewis-Potter,ENG,"FW,DF",Brentford,22,2001,16.0,33,2.06,21,0,6,4,2,0,2,0.12,1,0,0,1,0,0
Victor Lindelöf,SWE,DF,Manchester Utd,29,1994,14.8,19,1.29,19,0,0,0,0,0,3,0.2,3,0,0,0,0,0
Valentino Livramento,ENG,DF,Newcastle Utd,20,2002,14.6,36,2.47,28,0,2,1,3,2,5,0.34,3,0,1,0,1,0
Giovani Lo Celso,ARG,MF,Tottenham,27,1996,5.6,28,4.96,22,2,1,2,1,0,3,0.53,3,0,0,0,0,0
Tom Lockyer,WAL,DF,Luton Town,28,1994,13.0,10,0.77,9,0,0,0,0,1,1,0.08,1,0,0,0,0,0
Sean Longstaff,ENG,MF,Newcastle Utd,25,1997,30.5,51,1.67,43,1,1,3,3,0,7,0.23,3,1,1,1,1,0
Max Lowe,ENG,"DF,MF",Sheffield Utd,26,1997,5.6,8,1.43,7,0,0,1,0,0,1,0.18,1,0,0,0,0,0
Douglas Luiz,BRA,MF,Aston Villa,25,1998,33.3,117,3.52,61,34,6,10,5,1,10,0.3,5,4,0,0,1,0
Saša Lukić,SRB,MF,Fulham,26,1996,12.5,27,2.17,19,0,1,6,0,1,0,0.0,0,0,0,0,0,0
Ian Maatsen,NED,"FW,MF",Chelsea,21,2002,2.3,5,2.15,3,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Alexis Mac Allister,ARG,MF,Liverpool,24,1998,28.9,108,3.74,92,5,3,1,5,2,12,0.42,10,1,1,0,0,0
James Maddison,ENG,MF,Tottenham,26,1996,23.7,161,6.79,110,22,10,6,10,3,19,0.8,13,1,2,1,1,1
Noni Madueke,ENG,FW,Chelsea,21,2002,11.7,51,4.35,34,1,8,2,6,0,8,0.68,4,0,1,0,3,0
Gabriel Magalhães,BRA,DF,Arsenal,25,1997,33.8,23,0.68,20,1,0,1,0,1,3,0.09,3,0,0,0,0,0
Harry Maguire,ENG,DF,Manchester Utd,30,1993,18.4,24,1.31,19,0,0,1,1,3,4,0.22,2,0,0,1,1,0
Kobbie Mainoo,ENG,MF,Manchester Utd,18,2005,21.4,40,1.87,31,0,3,3,2,1,8,0.37,3,0,2,2,1,0
Orel Mangala,BEL,MF,Nott'ham Forest,25,1998,17.4,20,1.15,17,0,0,0,1,2,2,0.12,1,0,0,0,0,1
Benson Manuel,ANG,"MF,FW",Burnley,26,1997,1.3,6,4.7,3,0,2,0,1,0,0,0.0,0,0,0,0,0,0
Solly March,ENG,"FW,DF",Brighton,29,1994,6.2,22,3.57,8,8,2,1,2,1,2,0.32,0,1,0,0,1,0
Anthony Martial,FRA,FW,Manchester Utd,27,1995,5.0,11,2.21,9,0,0,1,1,0,1,0.2,0,0,0,0,1,0
Gabriel Martinelli,BRA,FW,Arsenal,22,2001,22.4,92,4.1,63,6,12,8,1,2,11,0.49,7,1,1,2,0,0
Emiliano Martínez,ARG,GK,Aston Villa,30,1992,33.5,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Lisandro Martínez,ARG,DF,Manchester Utd,25,1998,7.2,7,0.98,6,0,0,0,0,1,1,0.14,1,0,0,0,0,0
Han-Noah Massengo,FRA,"MF,DF",Burnley,22,2001,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pape Matar Sarr,SEN,MF,Tottenham,20,2002,23.0,52,2.26,43,0,0,3,2,4,7,0.3,6,0,0,1,0,0
Jean-Philippe Mateta,FRA,FW,Crystal Palace,26,1997,25.4,65,2.56,48,0,5,6,4,2,12,0.47,8,0,1,1,2,0
Joël Matip,CMR,DF,Liverpool,31,1991,8.7,8,0.92,8,0,0,0,0,0,1,0.12,1,0,0,0,0,0
Alex Matos,ENG,MF,Chelsea,18,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Remi Matthews,ENG,GK,Crystal Palace,29,1994,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Neal Maupay,FRA,FW,Brentford,26,1996,14.7,40,2.72,31,0,2,6,0,1,5,0.34,5,0,0,0,0,0
Neal Maupay,FRA,FW,Everton,26,1996,1.2,3,2.41,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Konstantinos Mavropanos,GRE,DF,West Ham,25,1997,16.7,10,0.6,7,0,0,1,0,2,0,0.0,0,0,0,0,0,0
Bryan Mbeumo,CMR,FW,Brentford,23,1999,21.8,82,3.77,45,23,2,5,7,0,10,0.46,9,1,0,0,0,0
James Mcatee,ENG,"MF,FW",Sheffield Utd,20,2002,20.2,60,2.97,45,4,5,4,2,0,3,0.15,3,0,0,0,0,0
James Mcatee,ENG,MF,Manchester City,20,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Oliver McBurnie,SCO,FW,Sheffield Utd,27,1996,14.2,29,2.04,24,0,0,2,3,0,7,0.49,6,0,0,0,1,0
James McConnell,ENG,MF,Liverpool,18,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
John McGinn,SCO,"MF,FW",Aston Villa,28,1994,33.3,106,3.18,88,9,6,2,1,0,14,0.42,11,1,2,0,0,0
Scott McKenna,SCO,DF,Nott'ham Forest,26,1996,4.6,2,0.43,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dwight McNeil,ENG,"MF,FW",Everton,23,1999,32.1,130,4.05,77,33,5,6,6,3,9,0.28,3,4,0,1,1,0
Scott McTominay,SCO,"MF,FW",Manchester Utd,26,1996,21.1,26,1.23,18,0,1,4,1,2,2,0.09,1,0,0,0,0,1
Ben Mee,ENG,DF,Brentford,33,1989,14.1,14,0.99,11,1,0,2,0,0,1,0.07,0,0,0,1,0,0
Hannibal Mejbri,TUN,"MF,FW",Manchester Utd,20,2003,1.5,6,4.06,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Teden Mengi,ENG,DF,Luton Town,21,2002,27.4,14,0.51,11,0,2,1,0,0,0,0.0,0,0,0,0,0,0
