Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
38,Leon Bailey,jm JAM,"MF,FW",Aston Villa,25,1997,23.0,97,4.22,70,7,9,7,3,1,11,0.48,7,1,1,2,0,0,Matches
39,Stefan Bajcetic,es ESP,MF,Liverpool,18,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,George Baldock,gr GRE,DF,Sheffield Utd,30,1993,10.8,16,1.49,10,3,2,0,1,0,2,0.19,1,0,0,0,1,0,Matches
41,Carlos Baleba,cm CMR,MF,Brighton,19,2004,14.7,17,1.15,16,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
42,Fodé Ballo-Touré,sn SEN,"DF,MF",Fulham,26,1997,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Shandon Baptiste,gd GRN,MF,Brentford,25,1998,2.5,5,1.96,4,0,1,0,0,0,1,0.39,1,0,0,0,0,0,Matches
44,Valentín Barco,ar ARG,"DF,FW",Brighton,19,2004,3.4,8,2.35,5,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Ross Barkley,eng ENG,MF,Luton Town,29,1993,29.1,104,3.58,67,11,14,6,3,3,11,0.38,6,2,1,1,1,0,Matches
46,Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,25,1997,8.9,29,3.25,18,0,5,3,3,0,6,0.67,4,0,2,0,0,0,Matches
47,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,35,1988,3.6,3,0.84,1,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
48,Calvin Bassey,ng NGA,DF,Fulham,23,1999,25.6,15,0.59,13,0,0,2,0,0,2,0.08,0,0,0,2,0,0,Matches
49,Owen Beck,wls WAL,DF,Liverpool,20,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
50,Donny van de Beek,nl NED,DF,Manchester Utd,26,1997,0.0,1,30.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,Amari'i Bell,jm JAM,DF,Luton Town,29,1994,19.1,25,1.31,22,0,0,0,2,1,3,0.16,3,0,0,0,0,0,Matches
52,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,25,1998,10.6,30,2.81,20,2,6,1,1,0,2,0.19,1,0,1,0,0,0,Matches
53,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,22,2001,4.7,12,2.58,8,1,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
54,Saïd Benrahma,dz ALG,"FW,MF",West Ham,27,1995,6.9,26,3.77,23,0,3,0,0,0,1,0.15,1,0,0,0,0,0,Matches
55,Rodrigo Bentancur,uy URU,MF,Tottenham,26,1997,11.2,31,2.78,26,0,1,2,0,2,4,0.36,3,0,0,0,0,1,Matches
56,Daniel Bentley,eng ENG,GK,Wolves,30,1993,4.3,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,32,1990,13.2,50,3.78,28,17,0,2,3,0,5,0.38,3,2,0,0,0,0,Matches
58,Sander Berge,no NOR,MF,Burnley,25,1998,33.4,67,2.01,63,0,3,0,1,0,8,0.24,7,0,1,0,0,0,Matches
59,Luke Berry,eng ENG,"MF,DF",Luton Town,31,1992,3.6,6,1.67,2,1,1,2,0,0,1,0.28,0,0,1,0,0,0,Matches
60,Beto,gw GNB,FW,Everton,25,1998,10.6,32,3.03,19,0,6,3,2,2,1,0.09,1,0,0,0,0,0,Matches
61,Jordan Beyer,de GER,DF,Burnley,23,2000,13.7,10,0.73,10,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
62,Philip Billing,dk DEN,MF,Bournemouth,27,1996,15.5,46,2.96,40,2,1,2,1,0,5,0.32,5,0,0,0,0,0,Matches
63,Yves Bissouma,ml MLI,MF,Tottenham,26,1996,23.0,44,1.91,35,2,3,0,0,4,3,0.13,3,0,0,0,0,0,Matches
64,Benicio Boaitey,eng ENG,"FW,DF",Brighton,19,2004,0.4,2,4.50,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
65,Oscar Bobb,no NOR,"FW,MF",Manchester City,20,2003,3.4,22,6.56,16,0,4,1,1,0,6,1.79,3,0,2,0,1,0,Matches
66,Jayden Bogle,eng ENG,DF,Sheffield Utd,23,2000,31.0,33,1.07,26,1,3,1,2,0,1,0.03,0,0,0,1,0,0,Matches
67,Willy Boly,ci CIV,DF,Nott'ham Forest,32,1991,16.0,16,1.00,14,0,0,2,0,0,2,0.13,2,0,0,0,0,0,Matches
68,Sven Botman,nl NED,DF,Newcastle Utd,23,2000,15.3,14,0.92,12,0,0,2,0,0,3,0.20,3,0,0,0,0,0,Matches
69,Jarrod Bowen,eng ENG,FW,West Ham,26,1996,33.5,81,2.42,55,7,6,5,6,2,12,0.36,9,1,0,1,0,1,Matches
70,Conor Bradley,nir NIR,DF,Liverpool,20,2003,8.4,27,3.22,18,1,3,2,1,2,3,0.36,2,1,0,0,0,0,Matches
71,Jarrad Branthwaite,eng ENG,DF,Everton,21,2002,34.6,25,0.72,20,0,0,1,3,1,4,0.12,3,0,0,0,1,0,Matches
72,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,24,1999,12.3,31,2.52,21,0,4,2,3,1,4,0.33,2,0,1,0,1,0,Matches
73,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,23,2000,3.8,7,1.82,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Armando Broja,al ALB,FW,Chelsea,21,2001,5.0,8,1.59,5,0,1,0,2,0,1,0.20,0,0,0,0,1,0,Matches
75,Armando Broja,al ALB,FW,Fulham,21,2001,1.0,1,1.01,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
76,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,19,2003,10.4,9,0.86,6,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
77,David Brooks,wls WAL,"FW,MF",Bournemouth,26,1997,3.1,20,6.41,16,1,1,1,1,0,3,0.96,2,0,1,0,0,0,Matches
78,Jacob Brown,sct SCO,"MF,FW",Luton Town,25,1998,11.3,15,1.33,10,0,1,1,3,0,0,0.00,0,0,0,0,0,0,Matches
79,Josh Brownhill,eng ENG,MF,Burnley,27,1995,25.0,70,2.80,43,19,1,3,3,1,6,0.24,5,1,0,0,0,0,Matches
80,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,24,1998,13.9,46,3.31,32,11,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
81,Hugo Bueno,es ESP,"DF,MF",Wolves,20,2002,8.2,17,2.07,14,0,1,1,1,0,2,0.24,2,0,0,0,0,0,Matches
82,Santiago Bueno,uy URU,DF,Wolves,24,1998,9.1,5,0.55,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
83,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,18,2004,15.2,38,2.51,26,1,2,3,5,1,2,0.13,2,0,0,0,0,0,Matches
84,Reece Burke,eng ENG,DF,Luton Town,26,1996,18.4,21,1.14,15,1,0,5,0,0,4,0.22,3,0,0,1,0,0,Matches
85,Dan Burn,eng ENG,DF,Newcastle Utd,31,1992,30.3,27,0.89,22,2,1,2,0,0,4,0.13,3,0,0,1,0,0,Matches
86,Mason Burstow,eng ENG,FW,Chelsea,19,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,31.8,66,2.07,52,0,3,1,6,4,12,0.38,11,0,0,0,0,1,Matches
88,Tom Cairney,sct SCO,MF,Fulham,32,1991,16.5,71,4.30,62,2,2,2,1,2,13,0.79,11,0,1,0,1,0,Matches
89,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,1997,24.1,54,2.24,37,0,4,7,4,2,6,0.25,3,0,0,3,0,0,Matches
90,Thomas Cannon,ie IRL,FW,Everton,20,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
91,Diego Carlos,br BRA,DF,Aston Villa,30,1993,20.2,9,0.45,9,0,0,0,0,0,2,0.10,2,0,0,0,0,0,Matches
92,Cesare Casadei,it ITA,"FW,MF",Chelsea,20,2003,0.9,4,4.62,2,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
93,Casemiro,br BRA,"MF,DF",Manchester Utd,31,1992,22.0,41,1.86,35,2,0,3,1,0,4,0.18,4,0,0,0,0,0,Matches
94,Kaelan Casey,eng ENG,DF,West Ham,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Matty Cash,pl POL,DF,Aston Villa,25,1997,23.8,44,1.85,34,1,0,6,2,1,8,0.34,7,0,0,0,1,0,Matches
96,Timothy Castagne,be BEL,DF,Fulham,27,1995,29.3,50,1.71,39,2,4,4,0,1,2,0.07,2,0,0,0,0,0,Matches
97,Jonny Castro,es ESP,MF,Wolves,29,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
98,Trevoh Chalobah,eng ENG,DF,Chelsea,24,1999,10.6,5,0.47,5,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
99,Calum Chambers,eng ENG,"MF,DF",Aston Villa,28,1995,1.7,1,0.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Youssef Chermiti,pt POR,FW,Everton,19,2004,2.3,7,3.03,5,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
101,Ben Chilwell,eng ENG,DF,Chelsea,26,1996,8.4,22,2.62,11,8,0,1,2,0,2,0.24,1,0,0,1,0,0,Matches
102,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,19,2003,1.6,3,1.86,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
103,Leon Chiwome,eng ENG,FW,Wolves,17,2006,1.9,1,0.52,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
104,Tahith Chong,cw CUW,"MF,FW",Luton Town,23,1999,22.0,49,2.22,31,0,3,2,11,2,4,0.18,2,0,0,2,0,0,Matches
105,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,32.3,117,3.62,88,8,7,5,6,3,6,0.19,5,1,0,0,0,0,Matches
106,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,19,2003,2.5,9,3.57,7,0,1,1,0,0,4,1.59,2,0,1,1,0,0,Matches
107,Bobby Clark,eng ENG,MF,Liverpool,18,2005,1.0,1,1.01,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
108,Jordan Clark,eng ENG,MF,Luton Town,29,1993,14.5,29,2.00,23,0,2,3,1,0,1,0.07,1,0,0,0,0,0,Matches
109,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32,1991,14.9,8,0.54,6,0,0,1,0,1,1,0.07,0,0,0,1,0,0,Matches
110,Séamus Coleman,ie IRL,DF,Everton,34,1988,7.4,6,0.81,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
111,Nathan Collins,ie IRL,DF,Brentford,22,2001,29.5,24,0.81,22,0,0,1,0,1,2,0.07,2,0,0,0,0,0,Matches
112,Levi Colwill,eng ENG,DF,Chelsea,20,2003,20.0,27,1.35,21,1,1,4,0,0,3,0.15,3,0,0,0,0,0,Matches
113,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,31.0,77,2.49,48,22,2,2,0,3,4,0.13,3,0,0,0,0,1,Matches
114,Jack Cork,eng ENG,MF,Burnley,34,1989,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
115,Maxwel Cornet,ci CIV,"MF,FW",West Ham,26,1996,1.2,5,4.02,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Vladimír Coufal,cz CZE,DF,West Ham,30,1992,34.8,77,2.21,50,18,3,2,3,1,12,0.34,12,0,0,0,0,0,Matches
117,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,31,1992,0.3,2,7.20,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,Aaron Cresswell,eng ENG,"DF,FW",West Ham,33,1989,4.8,12,2.48,7,3,0,0,2,0,1,0.21,1,0,0,0,0,0,Matches
119,Marc Cucurella,es ESP,DF,Chelsea,25,1998,19.8,35,1.77,28,1,1,1,4,0,3,0.15,2,0,0,0,1,0,Matches
120,Josh Cullen,ie IRL,MF,Burnley,27,1996,22.9,66,2.89,56,6,0,1,2,1,8,0.35,6,2,0,0,0,0,Matches
121,Matheus Cunha,br BRA,"FW,MF",Wolves,24,1999,27.1,78,2.88,46,1,12,8,8,3,13,0.48,9,0,1,1,1,1,Matches
122,Sam Curtis,ie IRL,DF,Sheffield Utd,17,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
123,Mahmoud Dahoud,de GER,MF,Brighton,27,1996,5.0,13,2.59,13,0,0,0,0,0,2,0.40,2,0,0,0,0,0,Matches
124,Ameen Al-Dakhil,be BEL,DF,Burnley,21,2002,11.7,8,0.68,5,0,1,2,0,0,1,0.09,1,0,0,0,0,0,Matches
125,Diogo Dalot,pt POR,DF,Manchester Utd,24,1999,35.3,78,2.21,67,4,2,3,1,1,7,0.20,6,0,0,1,0,0,Matches
126,Mikkel Damsgaard,dk DEN,MF,Brentford,23,2000,9.4,26,2.78,18,3,0,3,1,1,5,0.54,3,0,0,1,1,0,Matches
127,Danilo,br BRA,MF,Nott'ham Forest,22,2001,19.9,48,2.41,34,5,4,4,1,0,4,0.20,4,0,0,0,0,0,Matches
128,Arnaut Danjuma,nl NED,"MF,FW",Everton,26,1997,6.6,18,2.72,9,0,1,5,2,1,1,0.15,0,0,0,1,0,0,Matches
129,Jayden Danns,eng ENG,FW,Liverpool,17,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
130,Josh Dasilva,eng ENG,"DF,FW",Brentford,24,1998,0.3,1,3.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,David Datro Fofana,ci CIV,FW,Burnley,20,2002,9.8,18,1.84,8,0,4,4,1,1,2,0.20,0,0,2,0,0,0,Matches
132,Ben Davies,wls WAL,DF,Tottenham,30,1993,12.1,15,1.24,14,0,0,0,1,0,2,0.17,1,0,0,0,1,0,Matches
133,Tom Davies,eng ENG,MF,Sheffield Utd,25,1998,2.5,6,2.44,4,0,0,1,0,1,1,0.41,0,0,0,0,0,1,Matches
134,Craig Dawson,eng ENG,DF,Wolves,33,1990,24.5,12,0.49,8,0,0,3,0,1,1,0.04,0,0,0,1,0,0,Matches
135,Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,13.6,100,7.36,73,17,2,5,3,0,16,1.18,12,3,0,0,1,0,Matches
136,Bobby De Cordova-Reid,jm JAM,FW,Fulham,30,1993,15.8,35,2.17,29,0,1,3,0,2,4,0.25,3,0,0,0,0,1,Matches
137,Hannes Delcroix,ht HAI,DF,Burnley,24,1999,6.5,7,1.07,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
138,Leander Dendoncker,be BEL,MF,Aston Villa,28,1995,1.3,2,1.51,1,0,0,0,1,0,1,0.76,0,0,0,0,1,0,Matches
139,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24,1999,24.2,80,3.31,64,1,6,7,2,0,10,0.41,9,0,1,0,0,0,Matches
140,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,21,2002,4.3,20,4.62,16,0,3,1,0,0,0,0.00,0,0,0,0,0,0,Matches
141,Amadou Diallo,eng ENG,MF,Newcastle Utd,20,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
142,Rúben Dias,pt POR,DF,Manchester City,26,1997,28.4,35,1.23,28,0,0,5,0,2,4,0.14,2,0,0,1,0,1,Matches
