Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Max Aarons,ENG,DF,Bournemouth,23,2000,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23
Joshua Acheampong,ENG,DF,Chelsea,17,2006,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0
Tyler Adams,USA,MF,Bournemouth,24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0
Tosin Adarabioyo,ENG,DF,Fulham,25,1997,18.0,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8
Elijah Adebayo,ENG,FW,Luton Town,25,1998,15.8,204,202,1,0,1,0,5,1,0,0,0,0,144,1,5
Simon Adingra,CIV,FW,Brighton,21,2002,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29
Nayef Aguerd,MAR,DF,West Ham,27,1996,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5
Brandon Aguilera,CRC,FW,Nott'ham Forest,20,2003,0.1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,21,2002,3.9,187,183,4,1,0,0,6,2,0,0,0,0,150,0,8
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,24,1999,29.4,993,955,36,11,1,2,6,25,0,0,0,0,749,2,20
Ola Aina,NGA,DF,Nott'ham Forest,26,1996,18.8,803,650,150,12,2,2,28,138,0,0,0,0,605,3,17
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,22,2001,25.9,1190,1047,138,24,2,5,41,106,8,5,2,0,1005,5,24
Kristoffer Ajer,NOR,DF,Brentford,25,1998,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11
Manuel Akanji,SUI,"DF,MF",Manchester City,28,1995,27.9,2334,2261,71,34,4,15,9,27,0,0,0,0,2180,2,10
Nathan Aké,NED,DF,Manchester City,28,1995,22.7,1864,1744,118,32,1,3,11,81,0,0,0,0,1716,2,14
Thiago Alcántara,ESP,MF,Liverpool,32,1991,0.1,10,9,1,1,0,0,0,0,0,0,0,0,7,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,24,1998,23.9,2062,1705,346,77,22,32,168,198,71,10,52,0,1553,11,23
Alisson,BRA,GK,Liverpool,30,1992,28.0,1142,983,154,38,0,5,0,0,0,0,0,0,985,5,3
Miguel Almirón,PAR,FW,Newcastle Utd,29,1994,21.5,801,788,10,2,5,0,24,7,1,0,0,0,668,3,16
Edson Álvarez,MEX,MF,West Ham,25,1997,26.4,1207,1184,18,15,2,9,4,3,0,0,0,0,1033,5,14
Julián Álvarez,ARG,"MF,FW",Manchester City,23,2000,29.4,1258,1069,185,25,9,1,137,7,129,44,36,2,1011,4,27
Zeki Amdouni,SUI,FW,Burnley,22,2000,21.7,500,445,51,2,7,1,8,0,3,0,0,0,396,4,19
Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,26,1996,10.4,664,642,21,10,0,8,7,11,0,0,0,0,578,1,10
Joachim Andersen,DEN,DF,Crystal Palace,27,1996,37.9,2209,2073,121,110,7,31,31,8,0,0,0,0,1731,15,22
Elliot Anderson,ENG,"MF,FW",Newcastle Utd,20,2002,11.4,460,431,29,3,4,1,19,25,1,0,0,0,370,0,9
Jaidon Anthony,ENG,FW,Bournemouth,23,1999,1.7,45,42,3,2,0,0,2,0,1,0,0,0,30,0,3
Michail Antonio,JAM,FW,West Ham,33,1990,18.8,308,288,18,1,3,4,27,11,0,0,0,0,180,2,22
Antony,BRA,FW,Manchester Utd,23,2000,14.7,595,570,22,7,3,1,16,15,0,0,0,0,468,3,23
Oliver Arblaster,ENG,MF,Sheffield Utd,19,2004,10.5,441,409,29,13,1,2,7,0,6,3,0,0,351,3,9
Cameron Archer,ENG,"FW,MF",Sheffield Utd,22,2001,20.4,332,310,22,0,2,1,5,0,0,0,0,0,266,0,15
Cameron Archer,ENG,MF,Aston Villa,22,2001,0.1,6,6,0,0,1,0,0,0,0,0,0,0,5,0,0
Alphonse Areola,FRA,GK,West Ham,30,1993,30.0,867,555,307,88,0,2,0,0,0,0,0,0,562,5,0
Lorenz Assignon,TOG,DF,Burnley,23,2000,13.7,485,378,104,3,0,0,29,101,0,0,0,0,352,3,19
Serge Aurier,CIV,"DF,MF",Nott'ham Forest,30,1992,9.3,448,407,41,6,1,0,22,35,0,0,0,0,348,0,8
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,25,1997,11.6,175,169,4,0,2,1,1,0,0,0,0,0,127,2,3
Jordan Ayew,GHA,"FW,MF",Crystal Palace,31,1991,28.3,920,876,42,8,4,5,97,10,22,6,8,0,681,2,43
Benoît Badiashile,FRA,DF,Chelsea,22,2001,14.9,1173,1137,36,27,1,2,2,6,0,0,0,0,1065,0,6
Leon Bailey,JAM,"MF,FW",Aston Villa,25,1997,23.0,790,745,40,2,11,7,75,9,29,20,0,0,573,5,38
Stefan Bajcetic,ESP,MF,Liverpool,18,2004,0.3,10,10,0,0,0,0,0,0,0,0,0,0,7,0,1
George Baldock,GRE,DF,Sheffield Utd,30,1993,10.8,397,335,60,2,0,0,18,58,0,0,0,0,291,2,18
Carlos Baleba,CMR,MF,Brighton,19,2004,14.7,775,767,6,6,0,5,0,0,0,0,0,0,713,2,10
Fodé Ballo-Touré,SEN,"DF,MF",Fulham,26,1997,0.8,78,57,20,2,0,0,4,18,0,0,0,0,56,1,3
Shandon Baptiste,GRN,MF,Brentford,25,1998,2.5,90,87,3,0,0,0,3,1,0,0,0,0,66,0,5
Valentín Barco,ARG,"DF,FW",Brighton,19,2004,3.4,233,204,28,5,2,1,30,15,8,3,2,2,179,1,5
Ross Barkley,ENG,MF,Luton Town,29,1993,29.1,1474,1329,139,94,4,24,45,14,16,8,8,0,1218,6,31
Harvey Barnes,ENG,"FW,MF",Newcastle Utd,25,1997,8.9,272,262,8,2,1,2,12,4,0,0,0,0,208,2,13
Chris Basham,ENG,"DF,MF",Sheffield Utd,35,1988,3.6,138,125,13,1,0,1,4,12,0,0,0,0,103,0,2
Calvin Bassey,NGA,DF,Fulham,23,1999,25.6,1674,1582,91,34,0,12,3,3,0,0,0,0,1440,1,20
Owen Beck,WAL,DF,Liverpool,20,2002,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Donny van de Beek,NED,DF,Manchester Utd,26,1997,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Amari'i Bell,JAM,DF,Luton Town,29,1994,19.1,835,783,48,15,2,3,13,29,0,0,0,0,645,4,23
Jean-Ricner Bellegarde,HAI,"MF,FW",Wolves,25,1998,10.6,314,297,15,4,1,0,30,1,6,3,3,0,241,2,11
Anis Ben Slimane,TUN,MF,Sheffield Utd,22,2001,4.7,139,129,7,1,1,0,0,0,0,0,0,0,92,3,7
Saïd Benrahma,ALG,"FW,MF",West Ham,27,1995,6.9,257,253,2,2,5,0,17,0,0,0,0,0,193,2,9
Rodrigo Bentancur,URU,MF,Tottenham,26,1997,11.2,800,786,10,9,4,0,9,0,0,0,0,0,674,4,26
Daniel Bentley,ENG,GK,Wolves,30,1993,4.3,144,98,46,13,0,0,0,0,0,0,0,0,96,0,0
Jóhann Berg Guðmundsson,ISL,"MF,FW",Burnley,32,1990,13.2,544,465,77,28,4,5,70,7,39,18,12,5,396,2,14
Sander Berge,NOR,MF,Burnley,25,1998,33.4,1562,1529,31,21,7,10,12,1,0,0,0,0,1376,2,14
Luke Berry,ENG,"MF,DF",Luton Town,31,1992,3.6,99,83,16,4,0,0,8,2,6,5,1,0,64,0,3
Beto,GNB,FW,Everton,25,1998,10.6,180,179,1,0,1,1,5,1,0,0,0,0,108,0,6
Jordan Beyer,GER,DF,Burnley,23,2000,13.7,861,840,19,14,1,5,0,4,0,0,0,0,766,2,9
Philip Billing,DEN,MF,Bournemouth,27,1996,15.5,537,518,17,4,0,6,29,5,6,3,1,0,404,2,17
Yves Bissouma,MLI,MF,Tottenham,26,1996,23.0,1842,1787,51,48,3,4,1,3,0,0,0,0,1689,4,19
Benicio Boaitey,ENG,"FW,DF",Brighton,19,2004,0.4,20,19,1,0,0,0,0,1,0,0,0,0,13,0,0
Oscar Bobb,NOR,"FW,MF",Manchester City,20,2003,3.4,177,169,8,3,3,0,5,4,1,0,0,0,155,0,5
Jayden Bogle,ENG,DF,Sheffield Utd,23,2000,31.0,969,803,164,8,1,3,40,155,0,0,0,0,684,2,32
Willy Boly,CIV,DF,Nott'ham Forest,32,1991,16.0,671,599,69,13,1,1,1,56,0,0,0,0,502,3,10
Sven Botman,NED,DF,Newcastle Utd,23,2000,15.3,1017,981,36,32,0,5,0,2,0,0,0,0,921,0,3
Jarrod Bowen,ENG,FW,West Ham,26,1996,33.5,702,641,59,2,5,3,75,3,32,27,0,0,484,2,52
Conor Bradley,NIR,DF,Liverpool,20,2003,8.4,530,445,85,10,3,1,18,75,0,0,0,0,419,0,16
Jarrad Branthwaite,ENG,DF,Everton,21,2002,34.6,1385,1366,13,6,0,6,1,7,0,0,0,0,1105,6,12
Ben Brereton,CHI,"FW,MF",Sheffield Utd,24,1999,12.3,266,247,19,0,0,0,9,4,1,0,0,0,201,0,8
Rhian Brewster,ENG,"FW,MF",Sheffield Utd,23,2000,3.8,76,73,3,0,0,0,3,0,0,0,0,0,52,0,1
Armando Broja,ALB,FW,Chelsea,21,2001,5.0,94,87,7,1,0,0,1,0,0,0,0,0,83,0,0
Armando Broja,ALB,FW,Fulham,21,2001,1.0,27,26,1,0,0,0,1,0,0,0,0,0,19,0,1
Andre Brooks,ENG,"MF,DF",Sheffield Utd,19,2003,10.4,260,251,9,2,0,2,8,5,0,0,0,0,196,0,12
David Brooks,WAL,"FW,MF",Bournemouth,26,1997,3.1,132,120,12,1,1,1,15,5,6,5,0,0,95,0,6
Jacob Brown,SCO,"MF,FW",Luton Town,25,1998,11.3,247,238,7,0,0,0,10,6,0,0,0,0,136,2,18
Josh Brownhill,ENG,MF,Burnley,27,1995,25.0,1106,998,103,29,4,3,57,16,50,23,8,2,850,5,18
Jacob Bruun Larsen,DEN,"MF,FW",Burnley,24,1998,13.9,526,455,69,15,1,3,62,5,46,14,17,2,378,2,18
Hugo Bueno,ESP,"DF,MF",Wolves,20,2002,8.2,406,358,46,1,0,1,29,45,0,0,0,0,318,2,18
Santiago Bueno,URU,DF,Wolves,24,1998,9.1,480,468,12,7,0,1,2,2,0,0,0,0,426,0,5
Facundo Buonanotte,ARG,"FW,MF",Brighton,18,2004,15.2,478,467,11,6,1,1,6,3,1,1,0,0,404,0,9
Reece Burke,ENG,DF,Luton Town,26,1996,18.4,719,689,29,9,0,2,13,20,0,0,0,0,547,1,15
Dan Burn,ENG,DF,Newcastle Utd,31,1992,30.3,1667,1471,190,38,1,4,11,150,0,0,0,0,1351,6,25
Mason Burstow,ENG,FW,Chelsea,19,2003,0.1,4,3,1,0,0,0,0,0,0,0,0,0,3,0,1
Moisés Caicedo,ECU,MF,Chelsea,21,2001,31.8,2119,2065,45,39,12,12,10,3,0,0,0,0,1907,9,29
Tom Cairney,SCO,MF,Fulham,32,1991,16.5,1272,1239,27,15,2,1,25,0,2,1,1,0,1126,6,13
Dominic Calvert-Lewin,ENG,FW,Everton,26,1997,24.1,440,437,1,0,1,0,3,1,0,0,0,0,248,2,15
Thomas Cannon,IRL,FW,Everton,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,BRA,DF,Aston Villa,30,1993,20.2,1340,1293,47,41,0,6,1,0,0,0,0,0,1184,0,4
Cesare Casadei,ITA,"FW,MF",Chelsea,20,2003,0.9,65,65,0,0,0,0,0,0,0,0,0,0,53,0,1
Casemiro,BRA,"MF,DF",Manchester Utd,31,1992,22.0,1425,1385,34,28,4,6,13,0,0,0,0,0,1165,6,18
Kaelan Casey,ENG,DF,West Ham,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matty Cash,POL,DF,Aston Villa,25,1997,23.8,1225,1043,181,24,0,3,39,157,0,0,0,0,985,1,24
Timothy Castagne,BEL,DF,Fulham,27,1995,29.3,1662,1373,286,27,2,2,50,259,0,0,0,0,1350,3,55
Jonny Castro,ESP,MF,Wolves,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevoh Chalobah,ENG,DF,Chelsea,24,1999,10.6,783,746,36,13,1,0,0,22,0,0,0,0,700,1,1
Calum Chambers,ENG,"MF,DF",Aston Villa,28,1995,1.7,113,113,0,0,0,1,0,0,0,0,0,0,100,0,2
Youssef Chermiti,POR,FW,Everton,19,2004,2.3,58,57,1,0,0,0,0,0,0,0,0,0,35,0,0
Ben Chilwell,ENG,DF,Chelsea,26,1996,8.4,495,416,73,11,0,0,43,41,21,9,11,0,373,6,19
Tawanda Chirewa,ZIM,"MF,FW",Wolves,19,2003,1.6,58,54,3,1,0,0,4,0,0,0,0,0,46,1,2
Leon Chiwome,ENG,FW,Wolves,17,2006,1.9,22,18,4,0,0,0,0,0,0,0,0,0,19,0,1
Tahith Chong,CUW,"MF,FW",Luton Town,23,1999,22.0,550,515,31,4,5,6,35,11,0,0,0,0,428,4,21
Ryan Christie,SCO,MF,Bournemouth,28,1995,32.3,1300,1217,78,22,17,18,73,2,30,29,0,0,988,5,26
Carney Chukwuemeka,ENG,"MF,FW",Chelsea,19,2003,2.5,134,134,0,0,2,0,1,0,0,0,0,0,115,0,4
Bobby Clark,ENG,MF,Liverpool,18,2005,1.0,49,49,0,0,0,0,0,0,0,0,0,0,38,0,2
Jordan Clark,ENG,MF,Luton Town,29,1993,14.5,513,475,36,13,1,6,23,5,0,0,0,0,369,2,18
Nathaniel Clyne,ENG,DF,Crystal Palace,32,1991,14.9,600,539,58,3,0,0,9,55,0,0,0,0,495,3,16
Séamus Coleman,IRL,DF,Everton,34,1988,7.4,306,232,70,1,0,1,13,69,0,0,0,0,207,4,11
Nathan Collins,IRL,DF,Brentford,22,2001,29.5,1552,1423,123,46,2,13,4,74,0,0,0,0,1261,6,16
Levi Colwill,ENG,DF,Chelsea,20,2003,20.0,1163,1033,126,28,4,0,12,94,0,0,0,0,965,4,17
Lewis Cook,ENG,MF,Bournemouth,26,1997,31.0,1487,1290,195,88,2,3,132,10,93,81,5,1,1135,2,25
Jack Cork,ENG,MF,Burnley,34,1989,0.3,33,31,2,2,0,0,1,0,0,0,0,0,25,0,2
Maxwel Cornet,CIV,"MF,FW",West Ham,26,1996,1.2,49,48,1,0,0,0,1,0,0,0,0,0,36,0,2
Vladimír Coufal,CZE,DF,West Ham,30,1992,34.8,1665,1317,337,17,2,4,106,319,1,0,0,0,1154,11,56
Philippe Coutinho,BRA,"MF,FW",Aston Villa,31,1992,0.3,24,23,1,0,0,0,0,0,0,0,0,0,20,0,0
Aaron Cresswell,ENG,"DF,FW",West Ham,33,1989,4.8,308,245,63,9,0,4,11,50,4,1,3,0,254,0,3
Marc Cucurella,ESP,DF,Chelsea,25,1998,19.8,1196,1043,153,30,1,2,16,123,0,0,0,0,1036,0,26
Josh Cullen,IRL,MF,Burnley,27,1996,22.9,1373,1311,57,42,5,2,26,1,14,5,6,0,1173,5,19
Matheus Cunha,BRA,"FW,MF",Wolves,24,1999,27.1,831,769,56,8,8,7,24,15,3,1,0,0,658,6,19
Sam Curtis,IRL,DF,Sheffield Utd,17,2005,0.3,10,8,2,0,0,0,1,2,0,0,0,0,6,0,1
Mahmoud Dahoud,GER,MF,Brighton,27,1996,5.0,328,326,2,2,1,0,3,0,0,0,0,0,284,0,8
Ameen Al-Dakhil,BEL,DF,Burnley,21,2002,11.7,637,590,45,11,2,2,3,34,0,0,0,0,537,2,6
Diogo Dalot,POR,DF,Manchester Utd,24,1999,35.3,1830,1546,277,21,1,7,80,251,5,2,3,0,1486,7,39
Mikkel Damsgaard,DEN,MF,Brentford,23,2000,9.4,432,409,21,5,10,3,29,7,7,4,3,0,300,2,19
Danilo,BRA,MF,Nott'ham Forest,22,2001,19.9,757,716,35,7,4,9,26,1,19,19,0,0,588,6,15
Arnaut Danjuma,NED,"MF,FW",Everton,26,1997,6.6,152,147,5,0,1,1,10,2,1,1,0,0,102,0,8
Jayden Danns,ENG,FW,Liverpool,17,2006,0.1,7,7,0,0,1,0,0,0,0,0,0,0,5,0,0
Josh Dasilva,ENG,"DF,FW",Brentford,24,1998,0.3,19,17,2,0,0,0,6,0,2,2,0,0,10,0,1
David Datro Fofana,CIV,FW,Burnley,20,2002,9.8,173,167,4,0,1,0,3,0,0,0,0,0,117,2,8
Ben Davies,WAL,DF,Tottenham,30,1993,12.1,850,788,61,34,3,3,10,27,0,0,0,0,766,1,10
Tom Davies,ENG,MF,Sheffield Utd,25,1998,2.5,99,92,5,2,1,0,4,1,0,0,0,0,68,2,5
Craig Dawson,ENG,DF,Wolves,33,1990,24.5,1277,1236,38,29,2,22,1,1,0,0,0,0,1104,3,9
Kevin De Bruyne,BEL,MF,Manchester City,32,1991,13.6,971,840,124,23,11,6,136,24,69,29,16,5,732,7,27
Bobby De Cordova-Reid,JAM,FW,Fulham,30,1993,15.8,487,474,12,2,2,1,35,9,1,0,0,0,364,1,16
Hannes Delcroix,HAI,DF,Burnley,24,1999,6.5,350,320,29,3,0,0,5,26,0,0,0,0,300,1,2
