Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
404,Marvin Senaya,tg TOG,DF,Auxerre,24-329,2001,12,12,1037,11.5,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.9,17,29,23,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
405,Djibril Sidibé,fr FRA,"DF,MF",Toulouse,33-147,1992,16,12,1003,11.1,2,3,5,1,1,2,1,0,1.9,0.4,1.7,2.0,15,44,50,0.18,0.27,0.45,0.09,0.36,0.17,0.15,0.32,0.03,0.18,Matches
406,Francisco Sierralta,cl CHI,DF,Auxerre,28-231,1997,10,9,861,9.6,1,0,1,1,0,0,2,0,1.0,1.0,0.1,1.1,1,16,2,0.10,0.00,0.10,0.10,0.10,0.11,0.01,0.12,0.11,0.12,Matches
407,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,28-145,1997,13,10,955,10.6,0,0,0,0,0,0,2,0,0.1,0.1,0.8,0.9,17,60,48,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches
408,Abdallah Sima,sn SEN,MF,Lens,24-189,2001,7,1,157,1.7,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.3,4,2,13,0.57,0.00,0.57,0.57,0.57,0.13,0.04,0.17,0.13,0.17,Matches
409,Moses Simon,ng NGA,"FW,MF",Paris FC,30-164,1995,16,14,1146,12.7,3,2,5,3,0,0,0,0,2.2,2.2,2.1,4.3,61,26,121,0.24,0.16,0.39,0.24,0.39,0.18,0.16,0.34,0.18,0.34,Matches
410,Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,26-015,1999,16,16,1346,15.0,6,2,8,3,3,4,2,0,6.0,2.8,2.6,5.4,21,40,105,0.40,0.13,0.53,0.20,0.33,0.40,0.17,0.57,0.19,0.36,Matches
411,Telli Siwe,fr FRA,DF,Auxerre,21-009,2004,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
412,Florian Sotoca,fr FRA,"MF,FW",Lens,35-059,1990,11,0,87,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.8,0.9,2,4,2,0.00,0.00,0.00,0.00,0.00,0.08,0.83,0.91,0.08,0.91,Matches
413,Sambou Soumano,sn SEN,FW,Lorient,24-354,2001,16,7,664,7.4,4,2,6,4,0,1,2,0,4.9,3.9,0.9,4.8,9,11,31,0.54,0.27,0.81,0.54,0.81,0.66,0.12,0.78,0.53,0.65,Matches
414,Issa Soumaré,sn SEN,"FW,MF",Le Havre,25-074,2000,16,16,1440,16.0,3,2,5,2,1,3,1,0,8.6,6.1,2.4,8.5,42,37,107,0.19,0.12,0.31,0.12,0.25,0.54,0.15,0.69,0.38,0.53,Matches
