Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Pierre-Emerick Aubameyang,GAB,FW,Marseille,36-188,1989,10.5,182,232,78.4,2420,609,109,132,82.6,57,70,81.4,4,6,66.7,5,2.5,2.4,2.5,15,11,10,1,22
Arthur Avom,CMR,MF,Lorient,21-008,2004,14.1,608,740,82.2,10844,3206,271,302,89.7,256,304,84.2,66,95,69.5,1,1.7,2.2,-0.7,20,63,20,3,80
Chidozie Awaziem,NGA,DF,Nantes,28-356,1997,15.8,850,988,86.0,18685,7039,217,242,89.7,487,509,95.7,139,216,64.4,0,0.3,0.5,-0.3,7,60,5,0,45
Oussama El Azzouzi,MAR,"MF,DF",Auxerre,24-208,2001,6.1,235,258,91.1,4180,1103,117,124,94.4,83,92,90.2,31,34,91.2,0,0.2,0.3,-0.2,4,32,4,0,32
Samson Baidoo,AUT,DF,Lens,21-267,2004,14.5,652,703,92.7,12556,4142,196,212,92.5,389,402,96.8,60,79,75.9,1,0.6,0.3,0.4,2,38,0,0,35
Theo Bair,CAN,"MF,FW",Auxerre,26-118,1999,0.1,3,4,75.0,41,10,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
Darryl Bakola,FRA,MF,Marseille,18-023,2007,0.6,34,40,85.0,685,198,11,13,84.6,20,20,100.0,3,6,50.0,0,0.0,0.0,0.0,0,6,0,0,7
Dilane Bakwa,FRA,"DF,MF",Strasbourg,23-119,2002,1.2,40,50,80.0,712,151,21,23,91.3,15,19,78.9,4,7,57.1,2,0.4,0.8,1.6,3,2,2,0,6
Leonardo Balerdi,ARG,DF,Marseille,26-331,1999,9.1,660,701,94.2,11516,3795,268,272,98.5,333,342,97.4,49,71,69.0,1,0.1,0.2,0.9,3,42,3,0,29
Fodé Ballo-Touré,SEN,DF,Metz,28-354,1997,4.6,212,248,85.5,3116,625,123,129,95.3,73,88,83.0,8,15,53.3,0,0.6,1.0,-0.6,3,9,4,2,11
Folarin Balogun,USA,FW,Monaco,24-173,2001,8.4,119,166,71.7,1442,261,76,92,82.6,24,36,66.7,5,8,62.5,1,1.4,0.8,-0.4,7,4,5,0,16
Abdoulaye Bamba,CIV,DF,Angers,35-242,1990,0.1,5,8,62.5,68,9,3,4,75.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Aladji Bamba,FRA,MF,Monaco,19-162,2006,1.5,114,124,91.9,1815,472,53,60,88.3,49,49,100.0,8,9,88.9,0,0.0,0.2,0.0,0,11,1,0,10
Mohamed Bamba,CIV,FW,Lorient,24-013,2001,6.9,83,116,71.6,1196,199,46,59,78.0,22,30,73.3,5,7,71.4,1,1.1,0.8,-0.1,5,3,1,0,5
Valentín Barco,ARG,"MF,DF",Strasbourg,21-153,2004,12.8,672,821,81.9,11064,3724,332,364,91.2,261,308,84.7,54,105,51.4,4,3.5,4.0,0.5,19,61,29,3,105
Bradley Barcola,FRA,FW,Paris S-G,23-112,2002,8.7,300,359,83.6,4345,1096,188,204,92.2,86,104,82.7,16,21,76.2,0,1.9,2.2,-1.9,19,16,21,1,38
