Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
32,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,36-188,1989,10.5,317,7,25,135,161,44,317,9,4,44.4,5,55.6,200,944,492,16,13,9,22,6,240,60,Matches
33,Arthur Avom,cm CMR,MF,Lorient,21-008,2004,14.1,881,32,220,464,215,26,881,29,16,55.2,9,31.0,553,2930,1421,30,16,4,26,15,581,32,Matches
34,Chidozie Awaziem,ng NGA,DF,Nantes,28-356,1997,15.8,1182,263,740,432,19,10,1182,7,4,57.1,3,42.9,653,3174,1834,6,4,0,7,2,711,0,Matches
35,Oussama El Azzouzi,ma MAR,"MF,DF",Auxerre,24-208,2001,6.1,316,18,93,163,61,9,316,9,3,33.3,6,66.7,178,881,468,6,6,0,4,5,211,6,Matches
36,Samson Baidoo,at AUT,DF,Lens,21-267,2004,14.5,867,138,471,368,33,17,867,6,6,100.0,0,0.0,419,1801,847,2,1,0,5,1,539,1,Matches
37,Theo Bair,ca CAN,"MF,FW",Auxerre,26-118,1999,0.1,7,1,1,2,4,0,7,0,0,,0,,3,10,1,0,0,0,2,2,6,2,Matches
38,Darryl Bakola,fr FRA,MF,Marseille,18-023,2007,0.6,55,2,13,28,16,1,55,1,1,100.0,0,0.0,42,270,125,2,2,0,4,2,45,5,Matches
39,Dilane Bakwa,fr FRA,"DF,MF",Strasbourg,23-119,2002,1.2,69,1,9,19,42,5,69,11,5,45.5,4,36.4,51,527,250,10,10,2,4,1,50,17,Matches
40,Leonardo Balerdi,ar ARG,DF,Marseille,26-331,1999,9.1,812,80,366,413,38,9,812,6,4,66.7,2,33.3,548,2077,1126,1,1,0,6,1,601,2,Matches
41,Fodé Ballo-Touré,sn SEN,DF,Metz,28-354,1997,4.6,289,13,102,131,57,7,289,11,5,45.5,4,36.4,175,943,527,13,4,0,10,3,198,23,Matches
42,Folarin Balogun,us USA,FW,Monaco,24-173,2001,8.4,238,5,12,104,125,58,237,17,10,58.8,7,41.2,141,949,491,19,11,18,16,16,188,69,Matches
43,Abdoulaye Bamba,ci CIV,DF,Angers,35-242,1990,0.1,9,1,1,5,3,0,9,0,0,,0,,4,7,3,0,0,0,0,0,5,2,Matches
44,Aladji Bamba,fr FRA,MF,Monaco,19-162,2006,1.5,148,4,27,110,12,0,148,1,0,0.0,1,100.0,79,345,158,1,0,0,2,4,111,2,Matches
45,Mohamed Bamba,ci CIV,FW,Lorient,24-013,2001,6.9,178,7,27,94,59,20,177,6,3,50.0,2,33.3,89,362,184,5,2,3,19,3,117,22,Matches
46,Valentín Barco,ar ARG,"MF,DF",Strasbourg,21-153,2004,12.8,959,30,223,495,253,17,959,42,16,38.1,24,57.1,645,2668,1488,22,30,3,17,14,709,48,Matches
47,Bradley Barcola,fr FRA,FW,Paris S-G,23-112,2002,8.7,490,5,32,141,328,69,490,47,18,38.3,28,59.6,334,2140,1145,39,19,28,19,8,405,131,Matches
48,Melvin Bard,fr FRA,"DF,MF",Nice,25-047,2000,15.0,956,73,352,445,171,9,956,17,11,64.7,5,29.4,574,3013,1688,30,26,2,21,13,603,50,Matches
49,Haris Belkebla,dz ALG,MF,Angers,31-329,1994,15.8,793,48,242,469,90,6,793,22,12,54.5,9,40.9,430,1684,589,5,6,2,33,8,518,7,Matches
50,Yassin Belkhdim,fr FRA,"MF,FW",Angers,23-312,2002,14.0,600,26,178,289,141,21,600,7,2,28.6,5,71.4,288,1152,453,11,5,3,17,9,395,43,Matches
51,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,20-310,2005,0.5,32,0,4,20,8,1,32,2,1,50.0,0,0.0,21,103,49,2,0,0,1,1,25,4,Matches
52,Yassine Benhattab,fr FRA,"MF,FW",Nantes,23-035,2002,5.3,233,8,49,86,102,16,233,15,8,53.3,7,46.7,153,1152,498,15,13,7,25,4,157,34,Matches
53,Nabil Bentaleb,dz ALG,MF,Lille,31-029,1994,5.8,494,28,119,294,84,3,493,3,2,66.7,0,0.0,272,1061,523,6,6,1,3,7,340,6,Matches
54,Lucas Beraldo,br BRA,DF,Paris S-G,22-029,2003,7.1,766,101,343,384,40,7,766,0,0,,0,,457,1491,769,1,1,0,4,0,587,1,Matches
55,Anthony Bermont,fr FRA,"DF,MF",Lens,20-316,2005,0.5,51,0,11,19,23,6,51,2,2,100.0,0,0.0,32,276,183,6,5,3,1,1,43,7,Matches
56,Mika Biereth,dk DEN,"FW,MF",Monaco,22-318,2003,8.3,213,5,12,81,121,40,213,9,3,33.3,6,66.7,118,435,111,4,4,2,21,16,155,55,Matches
57,Emmanuel Biumla,fr FRA,DF,Angers,20-229,2005,1.5,93,18,60,33,0,0,93,0,0,,0,,46,214,110,0,0,0,2,1,59,1,Matches
58,Ludovic Blas,fr FRA,"MF,DF",Rennes,27-357,1997,7.5,402,7,57,154,194,22,400,23,11,47.8,10,43.5,218,1230,602,22,14,4,12,10,278,60,Matches
59,Arnaud Bodart,be BEL,GK,Lille,27-287,1998,2.0,78,42,78,0,0,0,78,0,0,,0,,53,267,183,0,0,0,0,0,44,0,Matches
60,Jeremie Boga,ci CIV,"FW,MF",Nice,28-354,1997,7.2,265,2,37,101,134,19,265,29,13,44.8,13,44.8,175,1565,813,25,27,4,9,5,194,33,Matches
61,Morgan Bokelé Mputu,cm CMR,"FW,DF",Metz,21-285,2004,2.4,127,3,27,55,47,8,127,9,3,33.3,4,44.4,81,676,279,12,10,4,6,4,105,11,Matches
62,Moïse Bombito,ca CAN,DF,Nice,25-268,2000,1.6,78,14,47,30,1,0,78,0,0,,0,,42,240,160,1,0,0,0,1,43,0,Matches
63,Ayyoub Bouaddi,fr FRA,MF,Lille,18-082,2007,11.5,561,22,116,299,151,30,561,23,16,69.6,7,30.4,327,1835,791,21,8,4,23,8,350,38,Matches
64,Badredine Bouanani,dz ALG,MF,Nice,21-015,2004,1.0,62,0,7,25,31,8,62,4,1,25.0,3,75.0,47,212,91,3,1,1,2,0,53,12,Matches
65,Hicham Boudaoui,dz ALG,MF,Nice,26-091,1999,10.2,484,36,112,262,116,14,484,18,7,38.9,9,50.0,288,1537,795,18,11,3,20,14,332,30,Matches
66,Justin Bourgault,fr FRA,"MF,DF",Brest,20-100,2005,0.2,10,1,3,5,2,0,10,1,1,100.0,0,0.0,4,5,0,0,0,0,0,0,5,2,Matches
67,Bilal Brahimi,dz ALG,FW,Nice,25-284,2000,0.0,5,0,0,0,5,1,5,0,0,,0,,5,27,13,1,0,1,0,0,5,2,Matches
68,Lilian Brassier,fr FRA,DF,Rennes,26-051,1999,10.1,740,63,334,346,61,8,740,11,5,45.5,5,45.5,390,2137,1236,17,12,1,11,6,497,10,Matches
69,Marius Broholm,no NOR,"FW,MF",Lille,20-362,2004,1.7,103,1,3,37,65,9,102,6,3,50.0,3,50.0,69,471,257,13,9,2,6,2,73,23,Matches
70,Paris Brunner,de GER,"FW,MF",Monaco,19-311,2006,1.1,35,0,1,17,17,7,35,3,1,33.3,2,66.7,19,148,108,5,2,0,6,1,29,13,Matches
71,Andrija Bulatović,me MNE,MF,Lens,18-361,2006,1.7,114,4,21,56,39,2,114,5,2,40.0,3,60.0,46,182,71,2,2,0,3,1,64,5,Matches
72,Vincent Burlet,be BEL,DF,Lille,20-091,2005,0.2,18,0,6,5,7,0,18,1,0,0.0,1,100.0,13,68,43,0,1,0,0,0,15,2,Matches
73,Pape Cabral,fr FRA,MF,Monaco,18-337,2007,0.9,67,6,20,28,19,2,67,2,1,50.0,1,50.0,36,188,46,0,2,1,0,2,47,0,Matches
74,Noah Cadiou,gp GLP,MF,Lorient,27-058,1998,3.9,232,14,68,117,51,2,232,6,4,66.7,2,33.3,142,725,336,5,3,1,6,3,162,8,Matches
75,Mathieu Cafaro,fr FRA,"FW,MF",Paris FC,28-273,1997,1.4,65,1,7,15,43,7,65,2,1,50.0,1,50.0,37,194,75,3,1,2,2,1,50,22,Matches
76,Adama Camara,fr FRA,MF,Paris FC,29-066,1996,11.8,591,34,161,336,99,17,591,10,6,60.0,4,40.0,265,1310,525,4,6,3,18,9,393,32,Matches
77,Amady Camara,ml MLI,"MF,FW",Nantes,20-209,2005,1.8,89,0,14,40,38,7,89,4,1,25.0,3,75.0,64,410,215,8,5,2,7,6,64,20,Matches
78,Lamine Camara,sn SEN,MF,Monaco,21-356,2004,6.7,512,5,89,308,125,4,512,19,10,52.6,8,42.1,251,1342,638,14,9,1,19,4,338,13,Matches
79,Mahdi Camara,fr FRA,MF,Rennes,27-176,1998,11.9,572,12,78,333,166,20,572,17,9,52.9,6,35.3,322,1706,934,28,21,7,21,8,402,53,Matches
80,Ousmane Camara,ml MLI,DF,Angers,22-292,2003,14.7,826,174,516,310,5,3,826,4,2,50.0,2,50.0,452,1991,854,1,0,0,6,0,527,0,Matches
81,Axel Camblan,fr FRA,"FW,MF",Brest,22-115,2003,0.1,5,0,0,0,5,0,5,0,0,,0,,5,13,0,0,0,0,1,0,5,2,Matches
82,Jaydee Canvot,fr FRA,"MF,DF",Toulouse,19-147,2006,2.0,129,10,47,68,14,1,129,3,2,66.7,1,33.3,80,325,185,1,1,1,0,0,94,2,Matches
83,Pierrick Capelle,fr FRA,MF,Angers,38-252,1987,0.7,34,2,13,10,11,0,34,0,0,,0,,12,118,75,2,1,0,0,1,22,4,Matches
84,Igor Carioca,br BRA,DF,Lorient,29-124,1996,6.5,390,18,125,171,95,4,390,3,1,33.3,2,66.7,226,991,512,11,13,2,8,0,238,17,Matches
85,Patrik Carlgren,se SWE,GK,Nantes,33-349,1992,1.0,40,36,40,0,0,0,40,0,0,,0,,24,173,115,0,0,0,0,0,13,0,Matches
86,Kevin Carlos,es ESP,FW,Nice,24-257,2001,6.1,148,5,16,81,55,22,148,7,2,28.6,5,71.4,83,409,137,4,2,2,18,8,114,26,Matches
87,Josué Casimir,ht HAI,"MF,DF",Auxerre,24-090,2001,10.3,453,9,90,179,196,18,452,10,4,40.0,5,50.0,234,1428,686,22,18,8,22,8,281,58,Matches
88,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,25-337,2000,14.0,777,24,166,463,162,9,776,19,8,42.1,10,52.6,396,2030,1069,11,12,1,13,10,414,20,Matches
89,Fabien Centonze,fr FRA,DF,Nantes,29-341,1996,1.3,96,5,21,51,25,2,96,11,3,27.3,8,72.7,39,333,226,8,4,1,1,0,40,7,Matches
90,Brendan Chardonnet,fr FRA,DF,Brest,31-001,1994,13.3,842,101,466,350,28,12,842,1,0,0.0,1,100.0,512,2280,1339,6,4,0,4,0,565,3,Matches
91,Samir Chergui,dz ALG,DF,Paris FC,26-320,1999,10.8,646,54,258,293,97,23,646,5,3,60.0,2,40.0,272,894,461,2,3,2,11,2,429,27,Matches
92,Sidiki Cherif,fr FRA,FW,Angers,19-008,2006,10.9,329,3,33,184,119,39,329,33,10,30.3,22,66.7,209,1544,757,31,17,10,35,17,241,62,Matches
