Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Mohamed Bamba,CIV,FW,Lorient,24-013,2001,6.9,3,2,2,1,0,1,3,33.3,2,4,0,4,1,4,6,0
Valentín Barco,ARG,"MF,DF",Strasbourg,21-153,2004,12.8,29,18,15,9,5,18,21,85.7,3,11,0,11,9,38,10,0
Bradley Barcola,FRA,FW,Paris S-G,23-112,2002,8.7,13,7,3,5,5,5,13,38.5,8,5,1,4,5,18,3,0
Melvin Bard,FRA,"DF,MF",Nice,25-047,2000,15.0,21,12,17,2,2,7,19,36.8,12,20,11,9,19,40,50,2
Haris Belkebla,ALG,MF,Angers,31-329,1994,15.8,35,21,16,17,2,21,38,55.3,17,19,7,12,16,51,22,1
Yassin Belkhdim,FRA,"MF,FW",Angers,23-312,2002,14.0,40,28,18,20,2,11,19,57.9,8,18,3,15,19,59,22,0
Eliesse Ben Seghir,MAR,"MF,FW",Monaco,20-310,2005,0.5,2,0,1,0,1,0,1,0.0,1,1,0,1,0,2,0,1
Yassine Benhattab,FRA,"MF,FW",Nantes,23-035,2002,5.3,10,6,7,2,1,2,4,50.0,2,2,0,2,0,10,3,2
Nabil Bentaleb,ALG,MF,Lille,31-029,1994,5.8,4,2,0,4,0,2,6,33.3,4,5,3,2,2,6,19,0
Lucas Beraldo,BRA,DF,Paris S-G,22-029,2003,7.1,10,6,8,2,0,6,11,54.5,5,10,5,5,7,17,42,0
Anthony Bermont,FRA,"DF,MF",Lens,20-316,2005,0.5,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
Mika Biereth,DEN,"FW,MF",Monaco,22-318,2003,8.3,6,3,1,1,4,3,9,33.3,6,8,1,7,0,6,4,0
Emmanuel Biumla,FRA,DF,Angers,20-229,2005,1.5,4,2,3,1,0,3,5,60.0,2,1,0,1,1,5,8,2
Ludovic Blas,FRA,"MF,DF",Rennes,27-357,1997,7.5,5,4,0,4,1,3,13,23.1,10,10,1,9,7,12,8,0
Arnaud Bodart,BEL,GK,Lille,27-287,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Jeremie Boga,CIV,"FW,MF",Nice,28-354,1997,7.2,4,4,0,3,1,3,4,75.0,1,2,0,2,3,7,2,1
Morgan Bokelé Mputu,CMR,"FW,DF",Metz,21-285,2004,2.4,5,4,3,2,0,2,5,40.0,3,3,1,2,1,6,2,0
Moïse Bombito,CAN,DF,Nice,25-268,2000,1.6,2,2,1,1,0,2,2,100.0,0,3,3,0,2,4,6,0
Ayyoub Bouaddi,FRA,MF,Lille,18-082,2007,11.5,21,13,6,8,7,11,16,68.8,5,23,5,18,10,31,14,1
Badredine Bouanani,ALG,MF,Nice,21-015,2004,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
Hicham Boudaoui,ALG,MF,Nice,26-091,1999,10.2,13,9,6,7,0,7,13,53.8,6,6,4,2,13,26,17,1
Justin Bourgault,FRA,"MF,DF",Brest,20-100,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Bilal Brahimi,ALG,FW,Nice,25-284,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lilian Brassier,FRA,DF,Rennes,26-051,1999,10.1,16,5,9,6,1,8,9,88.9,1,18,14,4,14,30,29,0
Marius Broholm,NOR,"FW,MF",Lille,20-362,2004,1.7,5,5,2,2,1,2,5,40.0,3,1,0,1,0,5,2,0
Paris Brunner,GER,"FW,MF",Monaco,19-311,2006,1.1,1,1,0,0,1,0,2,0.0,2,0,0,0,1,2,0,0
Andrija Bulatović,MNE,MF,Lens,18-361,2006,1.7,10,3,5,3,2,4,8,50.0,4,4,1,3,1,11,3,0
Vincent Burlet,BEL,DF,Lille,20-091,2005,0.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Pape Cabral,FRA,MF,Monaco,18-337,2007,0.9,2,1,2,0,0,1,3,33.3,2,1,0,1,1,3,4,0
Noah Cadiou,GLP,MF,Lorient,27-058,1998,3.9,9,4,4,5,0,2,5,40.0,3,8,5,3,6,15,7,0
Mathieu Cafaro,FRA,"FW,MF",Paris FC,28-273,1997,1.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Adama Camara,FRA,MF,Paris FC,29-066,1996,11.8,26,15,9,15,2,9,16,56.3,7,15,5,10,15,41,25,1
Amady Camara,MLI,"MF,FW",Nantes,20-209,2005,1.8,4,3,2,2,0,2,4,50.0,2,0,0,0,1,5,0,0
Lamine Camara,SEN,MF,Monaco,21-356,2004,6.7,11,5,3,7,1,3,7,42.9,4,8,1,7,17,28,3,2
Mahdi Camara,FRA,MF,Rennes,27-176,1998,11.9,27,15,6,19,2,12,17,70.6,5,15,2,13,16,43,17,1
Ousmane Camara,MLI,DF,Angers,22-292,2003,14.7,23,16,21,1,1,9,13,69.2,4,21,16,5,16,39,96,0
Axel Camblan,FRA,"FW,MF",Brest,22-115,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jaydee Canvot,FRA,"MF,DF",Toulouse,19-147,2006,2.0,2,1,1,0,1,2,3,66.7,1,5,2,3,0,2,9,0
Pierrick Capelle,FRA,MF,Angers,38-252,1987,0.7,1,1,0,0,1,1,2,50.0,1,0,0,0,1,2,2,0
