Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Chidozie Awaziem,NGA,DF,Nantes,28-356,1997,15.8,1,6,3,50.0,0.38,0.19,0.17,0.33,16.8,1,0,0,0.5,0.5,0.09,0.5,0.5
Oussama El Azzouzi,MAR,"MF,DF",Auxerre,24-208,2001,6.1,1,4,1,25.0,0.66,0.16,0.25,1.0,20.9,0,0,0,0.5,0.5,0.11,0.5,0.5
Samson Baidoo,AUT,DF,Lens,21-267,2004,14.5,2,15,4,26.7,1.03,0.28,0.13,0.5,12.0,0,0,0,1.4,1.4,0.09,0.6,0.6
Theo Bair,CAN,"MF,FW",Auxerre,26-118,1999,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Darryl Bakola,FRA,MF,Marseille,18-023,2007,0.6,0,3,1,33.3,4.66,1.55,0.0,0.0,25.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Dilane Bakwa,FRA,"DF,MF",Strasbourg,23-119,2002,1.2,1,2,1,50.0,1.68,0.84,0.5,1.0,15.4,0,0,0,0.1,0.1,0.07,0.9,0.9
Leonardo Balerdi,ARG,DF,Marseille,26-331,1999,9.1,0,8,2,25.0,0.88,0.22,0.0,0.0,14.2,0,0,0,0.9,0.9,0.12,-0.9,-0.9
Fodé Ballo-Touré,SEN,DF,Metz,28-354,1997,4.6,0,3,1,33.3,0.66,0.22,0.0,0.0,17.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Folarin Balogun,USA,FW,Monaco,24-173,2001,8.4,4,25,8,32.0,2.98,0.95,0.12,0.38,14.0,0,1,1,5.0,4.3,0.17,-1.0,-1.3
Abdoulaye Bamba,CIV,DF,Angers,35-242,1990,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Aladji Bamba,FRA,MF,Monaco,19-162,2006,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Mohamed Bamba,CIV,FW,Lorient,24-013,2001,6.9,1,9,5,55.6,1.31,0.73,0.11,0.2,17.9,0,0,1,2.2,1.4,0.16,-1.2,-0.4
Valentín Barco,ARG,"MF,DF",Strasbourg,21-153,2004,12.8,1,16,4,25.0,1.25,0.31,0.06,0.25,19.6,3,0,0,1.4,1.4,0.09,-0.4,-0.4
Bradley Barcola,FRA,FW,Paris S-G,23-112,2002,8.7,5,34,17,50.0,3.9,1.95,0.15,0.29,16.3,0,0,0,3.9,3.9,0.12,1.1,1.1
Melvin Bard,FRA,"DF,MF",Nice,25-047,2000,15.0,1,10,3,30.0,0.67,0.2,0.1,0.33,22.9,0,0,0,0.4,0.4,0.04,0.6,0.6
Haris Belkebla,ALG,MF,Angers,31-329,1994,15.8,0,4,0,0.0,0.25,0.0,0.0,,23.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Yassin Belkhdim,FRA,"MF,FW",Angers,23-312,2002,14.0,2,18,7,38.9,1.28,0.5,0.11,0.29,19.8,0,0,0,1.3,1.3,0.07,0.7,0.7
Eliesse Ben Seghir,MAR,"MF,FW",Monaco,20-310,2005,0.5,0,1,0,0.0,2.0,0.0,0.0,,22.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Yassine Benhattab,FRA,"MF,FW",Nantes,23-035,2002,5.3,0,4,1,25.0,0.75,0.19,0.0,0.0,17.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Nabil Bentaleb,ALG,MF,Lille,31-029,1994,5.8,2,14,4,28.6,2.42,0.69,0.07,0.25,29.0,1,1,1,1.1,0.4,0.03,0.9,0.6
Lucas Beraldo,BRA,DF,Paris S-G,22-029,2003,7.1,1,3,1,33.3,0.42,0.14,0.33,1.0,8.4,0,0,0,0.4,0.4,0.15,0.6,0.6
Anthony Bermont,FRA,"DF,MF",Lens,20-316,2005,0.5,0,1,0,0.0,1.87,0.0,0.0,,13.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Mika Biereth,DEN,"FW,MF",Monaco,22-318,2003,8.3,2,16,5,31.3,1.93,0.6,0.13,0.4,12.4,0,0,0,3.2,3.2,0.2,-1.2,-1.2
Emmanuel Biumla,FRA,DF,Angers,20-229,2005,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ludovic Blas,FRA,"MF,DF",Rennes,27-357,1997,7.5,3,19,5,26.3,2.54,0.67,0.05,0.2,25.0,1,2,2,3.2,1.6,0.08,-0.2,-0.6
Arnaud Bodart,BEL,GK,Lille,27-287,1998,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jeremie Boga,CIV,"FW,MF",Nice,28-354,1997,7.2,2,15,5,33.3,2.09,0.7,0.13,0.4,18.6,1,0,0,1.6,1.6,0.11,0.4,0.4
Morgan Bokelé Mputu,CMR,"FW,DF",Metz,21-285,2004,2.4,0,3,1,33.3,1.23,0.41,0.0,0.0,16.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3
Moïse Bombito,CAN,DF,Nice,25-268,2000,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ayyoub Bouaddi,FRA,MF,Lille,18-082,2007,11.5,0,10,1,10.0,0.87,0.09,0.0,0.0,20.3,0,0,0,1.4,1.4,0.14,-1.4,-1.4
Badredine Bouanani,ALG,MF,Nice,21-015,2004,1.0,0,1,0,0.0,0.97,0.0,0.0,,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Hicham Boudaoui,ALG,MF,Nice,26-091,1999,10.2,1,15,7,46.7,1.48,0.69,0.07,0.14,21.1,0,0,0,1.5,1.5,0.1,-0.5,-0.5
Justin Bourgault,FRA,"MF,DF",Brest,20-100,2005,0.2,0,1,0,0.0,5.63,0.0,0.0,,24.0,0,0,0,0.0,0.0,0.04,0.0,0.0
Bilal Brahimi,ALG,FW,Nice,25-284,2000,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lilian Brassier,FRA,DF,Rennes,26-051,1999,10.1,0,1,0,0.0,0.1,0.0,0.0,,5.9,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Marius Broholm,NOR,"FW,MF",Lille,20-362,2004,1.7,1,3,2,66.7,1.78,1.18,0.0,0.0,21.4,0,1,1,0.9,0.2,0.06,0.1,-0.2
Paris Brunner,GER,"FW,MF",Monaco,19-311,2006,1.1,0,2,0,0.0,1.84,0.0,0.0,,12.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Andrija Bulatović,MNE,MF,Lens,18-361,2006,1.7,0,1,0,0.0,0.58,0.0,0.0,,8.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Vincent Burlet,BEL,DF,Lille,20-091,2005,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Pape Cabral,FRA,MF,Monaco,18-337,2007,0.9,0,3,2,66.7,3.51,2.34,0.0,0.0,18.4,0,0,0,0.5,0.5,0.18,-0.5,-0.5
Noah Cadiou,GLP,MF,Lorient,27-058,1998,3.9,0,4,1,25.0,1.03,0.26,0.0,0.0,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Mathieu Cafaro,FRA,"FW,MF",Paris FC,28-273,1997,1.4,0,5,1,20.0,3.63,0.73,0.0,0.0,25.1,1,0,0,0.3,0.3,0.05,-0.3,-0.3
Adama Camara,FRA,MF,Paris FC,29-066,1996,11.8,1,13,3,23.1,1.1,0.25,0.08,0.33,16.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6
Amady Camara,MLI,"MF,FW",Nantes,20-209,2005,1.8,0,5,0,0.0,2.78,0.0,0.0,,18.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Lamine Camara,SEN,MF,Monaco,21-356,2004,6.7,0,8,0,0.0,1.19,0.0,0.0,,24.6,3,0,0,0.4,0.4,0.05,-0.4,-0.4
Mahdi Camara,FRA,MF,Rennes,27-176,1998,11.9,1,6,4,66.7,0.5,0.34,0.17,0.25,18.8,0,0,0,0.9,0.9,0.15,0.1,0.1
