Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Himad Abdelli,ALG,MF,Angers,26-036,1999,10.5,751,23,195,445,125,9,749,32,15,46.9,17,53.1,426,2425,1523,39,26,1,13,11,526,12
Ali Abdi,TUN,"DF,MF",Nice,32-003,1993,5.2,234,16,69,100,66,6,234,11,4,36.4,6,54.5,114,636,352,12,6,2,12,0,136,18
Salis Abdul Samed,GHA,MF,Nice,25-272,2000,5.6,304,8,68,206,31,3,304,3,1,33.3,2,66.7,189,968,393,5,4,2,8,5,228,5
Saud Abdulhamid,KSA,DF,Lens,26-158,1999,2.4,173,6,37,65,72,8,173,6,1,16.7,4,66.7,63,262,129,3,0,2,4,1,104,24
Laurent Abergel,FRA,MF,Lorient,32-325,1993,14.5,993,65,301,562,136,8,993,14,6,42.9,8,57.1,626,2682,1513,17,14,2,8,8,734,13
Matthis Abline,FRA,"FW,MF",Nantes,22-270,2003,13.9,382,5,47,138,215,70,381,65,31,47.7,32,49.2,245,2193,1364,51,28,25,32,19,268,79
Abner,BRA,DF,Lyon,25-210,2000,9.0,490,19,128,216,148,20,490,7,3,42.9,4,57.1,258,1246,841,18,9,3,6,7,330,41
Francis Abu,GHA,MF,Toulouse,24-240,2001,5.8,297,12,81,180,39,6,297,4,3,75.0,1,25.0,145,439,157,1,2,0,2,4,169,10
Giorgi Abuashvili,GEO,"FW,MF",Metz,22-318,2003,3.2,177,6,36,80,62,6,177,11,3,27.3,8,72.7,100,566,328,11,5,3,6,10,112,20
Nathaniel Adjei,GHA,DF,Lorient,23-124,2002,0.1,5,0,1,4,0,0,5,0,0,,0,,3,5,1,0,0,0,0,0,4,0
Nayef Aguerd,MAR,DF,Marseille,29-268,1996,10.7,1094,88,405,660,33,6,1094,1,0,0.0,1,100.0,793,3552,1891,9,9,0,6,3,833,2
Ruben Aguilar,FRA,DF,Lens,32-241,1993,13.8,937,39,212,395,338,35,937,11,4,36.4,5,45.5,424,1922,1117,33,22,6,17,4,582,104
Abdelhamid Ait Boudlal,MAR,DF,Rennes,19-251,2006,7.2,446,53,245,173,31,6,446,6,2,33.3,4,66.7,243,1293,767,8,8,2,14,2,297,7
Tosin Aiyegun,BEN,"MF,FW",Lorient,27-180,1998,7.9,200,7,24,89,89,28,199,22,8,36.4,12,54.5,136,824,382,12,9,3,5,9,154,33
Ludovic Ajorque,FRA,FW,Brest,31-301,1994,14.6,490,17,42,245,213,66,490,11,8,72.7,3,27.3,257,910,346,11,6,4,38,11,366,65
Maghnes Akliouche,FRA,"FW,MF",Monaco,23-301,2002,13.4,742,10,71,350,334,53,742,30,10,33.3,17,56.7,433,2672,1385,44,34,16,40,22,523,93
Clément Akpa,CIV,DF,Auxerre,24-029,2001,13.7,866,85,438,383,54,3,866,10,6,60.0,1,10.0,546,2548,1379,8,7,0,9,1,587,4
Mohamed Ali Cho,FRA,FW,Nice,21-338,2004,6.9,260,1,26,115,126,29,260,20,6,30.0,13,65.0,181,1427,736,29,19,9,25,13,205,54
Jim Allevinah,GAB,"FW,DF",Angers,30-299,1995,1.0,35,2,11,17,9,2,35,6,1,16.7,5,83.3,22,111,33,1,0,1,2,1,21,1
Kelvin Amian,FRA,DF,Nantes,27-318,1998,16.0,885,70,361,391,138,9,885,4,2,50.0,1,25.0,425,1796,858,18,10,1,10,11,476,30
Mohamed Amine Sbai,FRA,FW,Angers,25-048,2000,7.1,354,3,45,162,157,28,354,40,17,42.5,22,55.0,221,1890,1017,36,25,15,24,17,242,50
Michael Amir Murillo,PAN,DF,Marseille,29-315,1996,9.4,574,19,103,273,200,25,574,17,7,41.2,9,52.9,357,1383,729,19,14,6,13,7,383,69
Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,19-158,2006,5.2,284,2,34,118,136,16,284,20,11,55.0,7,35.0,207,1349,769,32,23,7,11,9,212,52
Mathis Amougou,FRA,MF,Strasbourg,19-339,2006,2.9,169,3,40,94,36,3,169,6,2,33.3,4,66.7,116,518,295,7,6,2,3,1,124,11
Benjamin André,FRA,MF,Lille,35-142,1990,12.9,827,29,159,460,214,35,827,13,5,38.5,6,46.2,468,2030,971,16,23,3,16,14,578,45
Youssef El-Arabi,MAR,FW,Nantes,38-323,1987,6.0,216,10,32,129,58,18,215,15,4,26.7,11,73.3,125,520,210,7,2,1,25,4,134,21
Carlens Arcus,HAI,DF,Angers,29-178,1996,14.2,903,45,391,392,128,6,903,4,1,25.0,3,75.0,436,1926,1043,18,16,2,6,4,548,23
Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,22-257,2003,12.4,697,10,80,300,321,59,697,29,10,34.5,18,62.1,430,2433,1272,39,27,13,22,9,481,74
Joel Asoro,SWE,FW,Metz,26-240,1999,2.3,51,1,4,23,24,6,51,4,1,25.0,3,75.0,24,123,23,0,1,1,4,1,35,5
Dehmaine Assoumani,FRA,MF,Nantes,20-250,2005,7.1,328,15,76,150,108,8,328,20,10,50.0,9,45.0,171,877,398,11,7,1,12,8,189,26
Otavio Ataide,BRA,DF,Paris FC,23-246,2002,12.4,1049,183,613,411,33,6,1049,5,5,100.0,0,0.0,608,3257,1920,11,5,0,8,6,777,3
Pierre-Emerick Aubameyang,GAB,FW,Marseille,36-188,1989,10.5,317,7,25,135,161,44,317,9,4,44.4,5,55.6,200,944,492,16,13,9,22,6,240,60
Arthur Avom,CMR,MF,Lorient,21-008,2004,14.1,881,32,220,464,215,26,881,29,16,55.2,9,31.0,553,2930,1421,30,16,4,26,15,581,32
Chidozie Awaziem,NGA,DF,Nantes,28-356,1997,15.8,1182,263,740,432,19,10,1182,7,4,57.1,3,42.9,653,3174,1834,6,4,0,7,2,711,0
Oussama El Azzouzi,MAR,"MF,DF",Auxerre,24-208,2001,6.1,316,18,93,163,61,9,316,9,3,33.3,6,66.7,178,881,468,6,6,0,4,5,211,6
Samson Baidoo,AUT,DF,Lens,21-267,2004,14.5,867,138,471,368,33,17,867,6,6,100.0,0,0.0,419,1801,847,2,1,0,5,1,539,1
Theo Bair,CAN,"MF,FW",Auxerre,26-118,1999,0.1,7,1,1,2,4,0,7,0,0,,0,,3,10,1,0,0,0,2,2,6,2
Darryl Bakola,FRA,MF,Marseille,18-023,2007,0.6,55,2,13,28,16,1,55,1,1,100.0,0,0.0,42,270,125,2,2,0,4,2,45,5
Dilane Bakwa,FRA,"DF,MF",Strasbourg,23-119,2002,1.2,69,1,9,19,42,5,69,11,5,45.5,4,36.4,51,527,250,10,10,2,4,1,50,17
Leonardo Balerdi,ARG,DF,Marseille,26-331,1999,9.1,812,80,366,413,38,9,812,6,4,66.7,2,33.3,548,2077,1126,1,1,0,6,1,601,2
Fodé Ballo-Touré,SEN,DF,Metz,28-354,1997,4.6,289,13,102,131,57,7,289,11,5,45.5,4,36.4,175,943,527,13,4,0,10,3,198,23
Folarin Balogun,USA,FW,Monaco,24-173,2001,8.4,238,5,12,104,125,58,237,17,10,58.8,7,41.2,141,949,491,19,11,18,16,16,188,69
Abdoulaye Bamba,CIV,DF,Angers,35-242,1990,0.1,9,1,1,5,3,0,9,0,0,,0,,4,7,3,0,0,0,0,0,5,2
Aladji Bamba,FRA,MF,Monaco,19-162,2006,1.5,148,4,27,110,12,0,148,1,0,0.0,1,100.0,79,345,158,1,0,0,2,4,111,2
Mohamed Bamba,CIV,FW,Lorient,24-013,2001,6.9,178,7,27,94,59,20,177,6,3,50.0,2,33.3,89,362,184,5,2,3,19,3,117,22
Valentín Barco,ARG,"MF,DF",Strasbourg,21-153,2004,12.8,959,30,223,495,253,17,959,42,16,38.1,24,57.1,645,2668,1488,22,30,3,17,14,709,48
Bradley Barcola,FRA,FW,Paris S-G,23-112,2002,8.7,490,5,32,141,328,69,490,47,18,38.3,28,59.6,334,2140,1145,39,19,28,19,8,405,131
Melvin Bard,FRA,"DF,MF",Nice,25-047,2000,15.0,956,73,352,445,171,9,956,17,11,64.7,5,29.4,574,3013,1688,30,26,2,21,13,603,50
Haris Belkebla,ALG,MF,Angers,31-329,1994,15.8,793,48,242,469,90,6,793,22,12,54.5,9,40.9,430,1684,589,5,6,2,33,8,518,7
Yassin Belkhdim,FRA,"MF,FW",Angers,23-312,2002,14.0,600,26,178,289,141,21,600,7,2,28.6,5,71.4,288,1152,453,11,5,3,17,9,395,43
Eliesse Ben Seghir,MAR,"MF,FW",Monaco,20-310,2005,0.5,32,0,4,20,8,1,32,2,1,50.0,0,0.0,21,103,49,2,0,0,1,1,25,4
Yassine Benhattab,FRA,"MF,FW",Nantes,23-035,2002,5.3,233,8,49,86,102,16,233,15,8,53.3,7,46.7,153,1152,498,15,13,7,25,4,157,34
Nabil Bentaleb,ALG,MF,Lille,31-029,1994,5.8,494,28,119,294,84,3,493,3,2,66.7,0,0.0,272,1061,523,6,6,1,3,7,340,6
Lucas Beraldo,BRA,DF,Paris S-G,22-029,2003,7.1,766,101,343,384,40,7,766,0,0,,0,,457,1491,769,1,1,0,4,0,587,1
Anthony Bermont,FRA,"DF,MF",Lens,20-316,2005,0.5,51,0,11,19,23,6,51,2,2,100.0,0,0.0,32,276,183,6,5,3,1,1,43,7
Mika Biereth,DEN,"FW,MF",Monaco,22-318,2003,8.3,213,5,12,81,121,40,213,9,3,33.3,6,66.7,118,435,111,4,4,2,21,16,155,55
Emmanuel Biumla,FRA,DF,Angers,20-229,2005,1.5,93,18,60,33,0,0,93,0,0,,0,,46,214,110,0,0,0,2,1,59,1
Ludovic Blas,FRA,"MF,DF",Rennes,27-357,1997,7.5,402,7,57,154,194,22,400,23,11,47.8,10,43.5,218,1230,602,22,14,4,12,10,278,60
Arnaud Bodart,BEL,GK,Lille,27-287,1998,2.0,78,42,78,0,0,0,78,0,0,,0,,53,267,183,0,0,0,0,0,44,0
Jeremie Boga,CIV,"FW,MF",Nice,28-354,1997,7.2,265,2,37,101,134,19,265,29,13,44.8,13,44.8,175,1565,813,25,27,4,9,5,194,33
Morgan Bokelé Mputu,CMR,"FW,DF",Metz,21-285,2004,2.4,127,3,27,55,47,8,127,9,3,33.3,4,44.4,81,676,279,12,10,4,6,4,105,11
Moïse Bombito,CAN,DF,Nice,25-268,2000,1.6,78,14,47,30,1,0,78,0,0,,0,,42,240,160,1,0,0,0,1,43,0
Ayyoub Bouaddi,FRA,MF,Lille,18-082,2007,11.5,561,22,116,299,151,30,561,23,16,69.6,7,30.4,327,1835,791,21,8,4,23,8,350,38
Badredine Bouanani,ALG,MF,Nice,21-015,2004,1.0,62,0,7,25,31,8,62,4,1,25.0,3,75.0,47,212,91,3,1,1,2,0,53,12
Hicham Boudaoui,ALG,MF,Nice,26-091,1999,10.2,484,36,112,262,116,14,484,18,7,38.9,9,50.0,288,1537,795,18,11,3,20,14,332,30
Justin Bourgault,FRA,"MF,DF",Brest,20-100,2005,0.2,10,1,3,5,2,0,10,1,1,100.0,0,0.0,4,5,0,0,0,0,0,0,5,2
Bilal Brahimi,ALG,FW,Nice,25-284,2000,0.0,5,0,0,0,5,1,5,0,0,,0,,5,27,13,1,0,1,0,0,5,2
Lilian Brassier,FRA,DF,Rennes,26-051,1999,10.1,740,63,334,346,61,8,740,11,5,45.5,5,45.5,390,2137,1236,17,12,1,11,6,497,10
Marius Broholm,NOR,"FW,MF",Lille,20-362,2004,1.7,103,1,3,37,65,9,102,6,3,50.0,3,50.0,69,471,257,13,9,2,6,2,73,23
Paris Brunner,GER,"FW,MF",Monaco,19-311,2006,1.1,35,0,1,17,17,7,35,3,1,33.3,2,66.7,19,148,108,5,2,0,6,1,29,13
Andrija Bulatović,MNE,MF,Lens,18-361,2006,1.7,114,4,21,56,39,2,114,5,2,40.0,3,60.0,46,182,71,2,2,0,3,1,64,5
Vincent Burlet,BEL,DF,Lille,20-091,2005,0.2,18,0,6,5,7,0,18,1,0,0.0,1,100.0,13,68,43,0,1,0,0,0,15,2
Pape Cabral,FRA,MF,Monaco,18-337,2007,0.9,67,6,20,28,19,2,67,2,1,50.0,1,50.0,36,188,46,0,2,1,0,2,47,0
Noah Cadiou,GLP,MF,Lorient,27-058,1998,3.9,232,14,68,117,51,2,232,6,4,66.7,2,33.3,142,725,336,5,3,1,6,3,162,8
Mathieu Cafaro,FRA,"FW,MF",Paris FC,28-273,1997,1.4,65,1,7,15,43,7,65,2,1,50.0,1,50.0,37,194,75,3,1,2,2,1,50,22
Adama Camara,FRA,MF,Paris FC,29-066,1996,11.8,591,34,161,336,99,17,591,10,6,60.0,4,40.0,265,1310,525,4,6,3,18,9,393,32
Amady Camara,MLI,"MF,FW",Nantes,20-209,2005,1.8,89,0,14,40,38,7,89,4,1,25.0,3,75.0,64,410,215,8,5,2,7,6,64,20
Lamine Camara,SEN,MF,Monaco,21-356,2004,6.7,512,5,89,308,125,4,512,19,10,52.6,8,42.1,251,1342,638,14,9,1,19,4,338,13
Mahdi Camara,FRA,MF,Rennes,27-176,1998,11.9,572,12,78,333,166,20,572,17,9,52.9,6,35.3,322,1706,934,28,21,7,21,8,402,53
Ousmane Camara,MLI,DF,Angers,22-292,2003,14.7,826,174,516,310,5,3,826,4,2,50.0,2,50.0,452,1991,854,1,0,0,6,0,527,0
Axel Camblan,FRA,"FW,MF",Brest,22-115,2003,0.1,5,0,0,0,5,0,5,0,0,,0,,5,13,0,0,0,0,1,0,5,2
Jaydee Canvot,FRA,"MF,DF",Toulouse,19-147,2006,2.0,129,10,47,68,14,1,129,3,2,66.7,1,33.3,80,325,185,1,1,1,0,0,94,2
Pierrick Capelle,FRA,MF,Angers,38-252,1987,0.7,34,2,13,10,11,0,34,0,0,,0,,12,118,75,2,1,0,0,1,22,4
Igor Carioca,BRA,DF,Lorient,29-124,1996,6.5,390,18,125,171,95,4,390,3,1,33.3,2,66.7,226,991,512,11,13,2,8,0,238,17
Patrik Carlgren,SWE,GK,Nantes,33-349,1992,1.0,40,36,40,0,0,0,40,0,0,,0,,24,173,115,0,0,0,0,0,13,0
Kevin Carlos,ESP,FW,Nice,24-257,2001,6.1,148,5,16,81,55,22,148,7,2,28.6,5,71.4,83,409,137,4,2,2,18,8,114,26
Josué Casimir,HAI,"MF,DF",Auxerre,24-090,2001,10.3,453,9,90,179,196,18,452,10,4,40.0,5,50.0,234,1428,686,22,18,8,22,8,281,58
Cristian Cásseres Jr.,VEN,MF,Toulouse,25-337,2000,14.0,777,24,166,463,162,9,776,19,8,42.1,10,52.6,396,2030,1069,11,12,1,13,10,414,20
Fabien Centonze,FRA,DF,Nantes,29-341,1996,1.3,96,5,21,51,25,2,96,11,3,27.3,8,72.7,39,333,226,8,4,1,1,0,40,7
Brendan Chardonnet,FRA,DF,Brest,31-001,1994,13.3,842,101,466,350,28,12,842,1,0,0.0,1,100.0,512,2280,1339,6,4,0,4,0,565,3
Samir Chergui,ALG,DF,Paris FC,26-320,1999,10.8,646,54,258,293,97,23,646,5,3,60.0,2,40.0,272,894,461,2,3,2,11,2,429,27
Sidiki Cherif,FRA,FW,Angers,19-008,2006,10.9,329,3,33,184,119,39,329,33,10,30.3,22,66.7,209,1544,757,31,17,10,35,17,241,62
Lucas Chevalier,FRA,GK,Paris S-G,24-047,2001,14.0,395,336,390,5,0,0,395,0,0,,0,,258,1050,658,0,0,0,0,0,235,0
Ben Chilwell,ENG,DF,Strasbourg,29-002,1996,8.6,557,28,193,295,73,2,557,9,6,66.7,3,33.3,314,1193,608,9,10,0,15,3,359,13
Joris Chotard,FRA,MF,Brest,24-090,2001,14.0,673,51,176,402,97,5,673,5,3,60.0,2,40.0,336,1364,715,5,7,1,12,2,384,13
Djaoui Cissé,FRA,MF,Rennes,21-326,2004,7.9,506,6,91,253,167,15,506,19,7,36.8,12,63.2,253,1366,667,20,8,7,22,9,342,31
Mamoudou Cissokho,FRA,FW,Auxerre,18-003,2007,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Jonathan Clauss,FRA,"DF,MF",Nice,33-089,1992,11.8,857,38,191,365,311,20,857,17,14,82.4,3,17.6,449,2099,1190,31,21,1,19,6,508,84
Maxime Colin,FRA,DF,Metz,34-038,1991,8.9,561,29,242,254,69,4,561,5,4,80.0,1,20.0,308,1456,692,8,8,2,6,6,337,6
Francis Coquelin,FRA,MF,Nantes,34-224,1991,1.7,82,3,34,44,6,2,82,3,3,100.0,0,0.0,51,142,37,0,0,0,1,0,53,0
Derek Cornelius,CAN,DF,Marseille,28-028,1997,0.6,22,7,13,9,0,0,22,0,0,,0,,9,27,9,0,0,0,0,0,11,0
Félix Correia,POR,"FW,MF",Lille,24-335,2001,11.6,627,9,67,246,317,35,627,26,7,26.9,17,65.4,372,1742,957,29,27,9,16,11,433,113
Grégoire Coudert,FRA,GK,Brest,26-264,1999,6.4,239,201,239,0,0,0,239,0,0,,0,,146,832,504,0,0,0,0,0,113,0
