Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Melvin Bard,FRA,"DF,MF",Nice,25-047,2000,15.0,794,690,101,13,2,3,47,84,0,0,0,0,614,3,20
Haris Belkebla,ALG,MF,Angers,31-329,1994,15.8,629,608,19,16,0,1,2,3,0,0,0,0,541,2,11
Yassin Belkhdim,FRA,"MF,FW",Angers,23-312,2002,14.0,452,444,7,4,0,4,24,2,1,0,0,0,358,1,18
Eliesse Ben Seghir,MAR,"MF,FW",Monaco,20-310,2005,0.5,26,25,1,1,0,1,1,0,0,0,0,0,19,0,0
Yassine Benhattab,FRA,"MF,FW",Nantes,23-035,2002,5.3,168,160,7,1,1,0,25,1,5,3,2,0,107,1,8
Nabil Bentaleb,ALG,MF,Lille,31-029,1994,5.8,438,408,29,19,5,4,13,2,8,3,2,0,371,1,4
Lucas Beraldo,BRA,DF,Paris S-G,22-029,2003,7.1,684,665,19,7,1,3,0,1,0,0,0,0,649,0,2
Anthony Bermont,FRA,"DF,MF",Lens,20-316,2005,0.5,46,44,2,0,0,0,3,2,0,0,0,0,34,0,2
Mika Biereth,DEN,"FW,MF",Monaco,22-318,2003,8.3,142,121,19,0,3,0,6,2,0,0,0,0,85,2,6
Emmanuel Biumla,FRA,DF,Angers,20-229,2005,1.5,73,71,1,1,0,0,0,0,0,0,0,0,61,1,2
Ludovic Blas,FRA,"MF,DF",Rennes,27-357,1997,7.5,312,283,26,6,1,6,26,2,13,5,6,0,252,3,6
Arnaud Bodart,BEL,GK,Lille,27-287,1998,2.0,77,68,9,2,0,0,0,0,0,0,0,0,62,0,0
Jeremie Boga,CIV,"FW,MF",Nice,28-354,1997,7.2,211,193,18,4,1,2,12,1,9,1,5,0,169,0,9
Morgan Bokelé Mputu,CMR,"FW,DF",Metz,21-285,2004,2.4,99,95,3,1,0,1,6,2,0,0,0,0,77,1,0
Moïse Bombito,CAN,DF,Nice,25-268,2000,1.6,64,60,4,1,0,0,0,0,0,0,0,0,54,0,0
Ayyoub Bouaddi,FRA,MF,Lille,18-082,2007,11.5,427,418,8,6,0,1,6,2,0,0,0,0,357,1,10
Badredine Bouanani,ALG,MF,Nice,21-015,2004,1.0,52,51,1,1,2,0,5,0,0,0,0,0,38,0,0
Hicham Boudaoui,ALG,MF,Nice,26-091,1999,10.2,370,358,9,8,5,4,13,0,0,0,0,0,302,3,10
Justin Bourgault,FRA,"MF,DF",Brest,20-100,2005,0.2,7,4,3,0,0,0,0,3,0,0,0,0,7,0,0
Bilal Brahimi,ALG,FW,Nice,25-284,2000,0.0,5,5,0,0,0,0,2,0,0,0,0,0,3,0,0
Lilian Brassier,FRA,DF,Rennes,26-051,1999,10.1,642,573,69,13,0,2,10,53,0,0,0,0,520,0,9
Marius Broholm,NOR,"FW,MF",Lille,20-362,2004,1.7,76,73,3,1,0,0,6,2,0,0,0,0,55,0,3
Paris Brunner,GER,"FW,MF",Monaco,19-311,2006,1.1,20,18,1,0,1,0,1,0,0,0,0,0,11,1,1
Andrija Bulatović,MNE,MF,Lens,18-361,2006,1.7,87,77,10,1,1,0,10,0,9,0,8,0,67,0,4
Vincent Burlet,BEL,DF,Lille,20-091,2005,0.2,16,15,1,0,0,0,1,1,0,0,0,0,15,0,0
Pape Cabral,FRA,MF,Monaco,18-337,2007,0.9,52,52,0,0,0,0,0,0,0,0,0,0,45,0,1
Noah Cadiou,GLP,MF,Lorient,27-058,1998,3.9,185,184,1,1,0,3,2,0,0,0,0,0,154,0,2
Mathieu Cafaro,FRA,"FW,MF",Paris FC,28-273,1997,1.4,52,45,7,1,0,0,7,2,4,3,0,0,40,0,2
Adama Camara,FRA,MF,Paris FC,29-066,1996,11.8,459,448,8,7,1,1,3,1,0,0,0,0,398,3,4
Amady Camara,MLI,"MF,FW",Nantes,20-209,2005,1.8,66,59,7,0,0,0,16,5,1,1,0,0,40,0,3
Lamine Camara,SEN,MF,Monaco,21-356,2004,6.7,427,391,36,16,1,2,25,1,19,13,5,0,350,0,5
Mahdi Camara,FRA,MF,Rennes,27-176,1998,11.9,453,441,10,2,2,0,14,2,0,0,0,0,393,2,7
Ousmane Camara,MLI,DF,Angers,22-292,2003,14.7,646,632,12,11,0,0,1,0,0,0,0,0,575,2,2
Axel Camblan,FRA,"FW,MF",Brest,22-115,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Jaydee Canvot,FRA,"MF,DF",Toulouse,19-147,2006,2.0,106,106,0,0,0,0,0,0,0,0,0,0,97,0,0
Pierrick Capelle,FRA,MF,Angers,38-252,1987,0.7,28,27,1,0,1,1,4,0,1,1,0,0,21,0,2
Igor Carioca,BRA,DF,Lorient,29-124,1996,6.5,329,284,43,12,0,0,16,28,1,0,1,0,278,2,2
Patrik Carlgren,SWE,GK,Nantes,33-349,1992,1.0,38,24,14,5,0,0,0,0,0,0,0,0,20,0,0
Kevin Carlos,ESP,FW,Nice,24-257,2001,6.1,96,86,9,0,0,0,2,0,0,0,0,0,61,1,2
Josué Casimir,HAI,"MF,DF",Auxerre,24-090,2001,10.3,352,299,53,10,1,2,39,20,23,2,12,0,255,0,9
