Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,25-062,2000,10.1,1,20,8,40.0,1.98,0.79,0.05,0.13,15.9,0,0,0,2.1,2.1,0.11,-1.1,-1.1,Matches
2,Zach Abbott,eng ENG,DF,Nott'ham Forest,19-224,2006,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,Joshua Acheampong,eng ENG,DF,Chelsea,19-232,2006,3.9,1,3,2,66.7,0.77,0.52,0.33,0.50,8.1,0,0,0,0.6,0.6,0.20,+0.4,+0.4,Matches
4,Tyler Adams,us USA,MF,Bournemouth,26-312,1999,13.3,2,8,6,75.0,0.60,0.45,0.25,0.33,23.5,0,0,0,0.5,0.5,0.06,+1.5,+1.5,Matches
5,Tosin Adarabioyo,eng ENG,DF,Chelsea,28-090,1997,6.2,0,2,0,0.0,0.32,0.00,0.00,,5.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
6,Simon Adingra,ci CIV,"FW,MF",Sunderland,23-356,2002,4.2,0,1,0,0.0,0.24,0.00,0.00,,14.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
7,Amine Adli,ma MAR,"FW,MF",Bournemouth,25-227,2000,4.4,1,8,4,50.0,1.83,0.91,0.13,0.25,16.0,1,0,0,1.0,1.0,0.12,0.0,0.0,Matches
8,Emmanuel Agbadou,ci CIV,DF,Wolves,28-189,1997,11.2,0,9,3,33.3,0.80,0.27,0.00,0.00,19.2,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
9,Nayef Aguerd,ma MAR,DF,West Ham,29-268,1996,2.0,0,2,0,0.0,1.00,0.00,0.00,,9.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
10,Ola Aina,ng NGA,DF,Nott'ham Forest,29-076,1996,3.0,0,2,0,0.0,0.67,0.00,0.00,,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
11,Rayan Aït-Nouri,dz ALG,DF,Manchester City,24-200,2001,2.3,0,2,0,0.0,0.88,0.00,0.00,,24.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
12,Kristoffer Ajer,no NOR,DF,Brentford,27-250,1998,6.8,0,7,2,28.6,1.03,0.29,0.00,0.00,15.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
13,Nathan Aké,nl NED,DF,Manchester City,30-308,1995,2.5,0,3,0,0.0,1.19,0.00,0.00,,10.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
14,Carlos Alcaraz,ar ARG,"MF,FW",Everton,23-023,2002,6.6,0,13,3,23.1,1.97,0.45,0.00,0.00,16.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
15,Omar Alderete,py PAR,DF,Sunderland,28-362,1996,12.4,1,12,6,50.0,0.97,0.48,0.08,0.17,14.2,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
16,Alisson,br BRA,GK,Liverpool,33-082,1992,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,Ethan Ampadu,wls WAL,MF,Leeds United,25-100,2000,14.7,1,9,1,11.1,0.61,0.07,0.11,1.00,23.7,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
18,Joachim Andersen,dk DEN,DF,Fulham,29-206,1996,15.5,0,6,0,0.0,0.39,0.00,0.00,,12.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
19,Elliot Anderson,eng ENG,MF,Nott'ham Forest,23-047,2002,17.0,1,17,4,23.5,1.00,0.24,0.00,0.00,20.8,1,1,1,1.8,1.0,0.06,-0.8,-1.0,Matches
20,André,br BRA,MF,Wolves,24-160,2001,13.8,0,5,0,0.0,0.36,0.00,0.00,,29.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
21,Jaidon Anthony,eng ENG,"MF,FW",Burnley,26-022,1999,12.5,4,17,9,52.9,1.36,0.72,0.24,0.44,14.7,0,0,0,2.4,2.4,0.14,+1.6,+1.6,Matches
