Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Brenden Aaronson,USA,"FW,MF",Leeds United,25-062,2000,16,10,911,10.1,1,2,3,1,0,0,1,0,2.1,2.1,1.5,3.6,21,26,55,0.1,0.2,0.3,0.1,0.3,0.21,0.15,0.35,0.21,0.35
Zach Abbott,ENG,DF,Nott'ham Forest,19-224,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Acheampong,ENG,DF,Chelsea,19-232,2006,5,4,349,3.9,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,4,11,0,0.26,0.0,0.26,0.26,0.26,0.16,0.0,0.16,0.16,0.16
Tyler Adams,USA,MF,Bournemouth,26-312,1999,15,15,1195,13.3,2,1,3,2,0,0,5,0,0.5,0.5,0.1,0.5,12,61,7,0.15,0.08,0.23,0.15,0.23,0.03,0.01,0.04,0.03,0.04
Tosin Adarabioyo,ENG,DF,Chelsea,28-090,1997,9,5,561,6.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,18,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Simon Adingra,CIV,"FW,MF",Sunderland,23-356,2002,10,5,382,4.2,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,17,5,41,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.17,0.03,0.17
Amine Adli,MAR,"FW,MF",Bournemouth,25-227,2000,13,3,394,4.4,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,10,13,31,0.23,0.0,0.23,0.23,0.23,0.22,0.05,0.27,0.22,0.27
Emmanuel Agbadou,CIV,DF,Wolves,28-189,1997,13,11,1011,11.2,0,0,0,0,0,0,1,1,0.5,0.5,0.2,0.6,5,37,7,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06
Nayef Aguerd,MAR,DF,West Ham,29-268,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,9,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Ola Aina,NGA,DF,Nott'ham Forest,29-076,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,5,11,8,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
Rayan Aït-Nouri,ALG,DF,Manchester City,24-200,2001,5,3,204,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,7,7,8,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12
Kristoffer Ajer,NOR,DF,Brentford,27-250,1998,11,7,613,6.8,0,1,1,0,0,0,1,0,0.5,0.5,0.7,1.2,6,20,9,0.0,0.15,0.15,0.0,0.15,0.07,0.1,0.18,0.07,0.18
Nathan Aké,NED,DF,Manchester City,30-308,1995,7,1,227,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,4,20,2,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.14,0.11,0.14
Carlos Alcaraz,ARG,"MF,FW",Everton,23-023,2002,14,5,595,6.6,0,1,1,0,0,0,3,0,0.9,0.9,0.8,1.7,7,17,22,0.0,0.15,0.15,0.0,0.15,0.13,0.13,0.25,0.13,0.25
Omar Alderete,PAR,DF,Sunderland,28-362,1996,13,12,1118,12.4,1,1,2,1,0,0,2,0,1.0,1.0,0.1,1.1,12,47,3,0.08,0.08,0.16,0.08,0.16,0.08,0.01,0.09,0.08,0.09
Alisson,BRA,GK,Liverpool,33-082,1992,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Ampadu,WAL,MF,Leeds United,25-100,2000,15,15,1319,14.7,1,0,1,1,0,0,4,0,0.8,0.8,0.1,0.9,19,60,15,0.07,0.0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06
Joachim Andersen,DEN,DF,Fulham,29-206,1996,16,16,1391,15.5,0,0,0,0,0,0,2,0,0.5,0.5,0.8,1.3,9,66,4,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.09,0.03,0.09
Elliot Anderson,ENG,MF,Nott'ham Forest,23-047,2002,17,17,1530,17.0,1,1,2,0,1,1,3,0,1.8,1.0,2.1,3.1,24,141,47,0.06,0.06,0.12,0.0,0.06,0.1,0.12,0.23,0.06,0.18
André,BRA,MF,Wolves,24-160,2001,17,14,1245,13.8,0,0,0,0,0,0,4,0,0.2,0.2,0.3,0.5,9,48,6,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
Jaidon Anthony,ENG,"MF,FW",Burnley,26-022,1999,17,14,1125,12.5,4,1,5,4,0,0,3,0,2.4,2.4,0.6,2.9,25,17,63,0.32,0.08,0.4,0.32,0.4,0.19,0.05,0.23,0.19,0.23
Alphonse Areola,FRA,GK,West Ham,32-299,1993,13,13,1170,13.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Jhon Arias,COL,"FW,MF",Wolves,28-093,1997,16,10,812,9.0,0,0,0,0,0,0,1,0,2.7,2.7,0.5,3.1,16,27,37,0.0,0.0,0.0,0.0,0.0,0.3,0.05,0.35,0.3,0.35
Harrison Armstrong,ENG,FW,Everton,18-338,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tolu Arokodare,NGA,FW,Wolves,25-030,2000,13,3,343,3.8,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,4,1,18,0.26,0.0,0.26,0.26,0.26,0.16,0.06,0.22,0.16,0.22
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,28-133,1997,5,1,154,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,1,7,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.2,0.11,0.2
Yasin Ayari,SWE,MF,Brighton,22-078,2003,15,12,1169,13.0,1,0,1,1,0,0,0,0,1.8,1.8,0.4,2.1,11,40,18,0.08,0.0,0.08,0.08,0.08,0.14,0.03,0.16,0.14,0.16
Benoît Badiashile,FRA,DF,Chelsea,24-272,2001,4,2,156,1.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dilane Bakwa,FRA,"FW,MF",Nott'ham Forest,23-119,2002,4,2,174,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,6,9,22,0.0,0.0,0.0,0.0,0.0,0.07,0.2,0.27,0.07,0.27
Carlos Baleba,CMR,MF,Brighton,21-354,2004,16,14,896,10.0,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,10,24,8,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Daniel Ballard,NIR,DF,Sunderland,26-092,1999,15,12,1122,12.5,2,0,2,2,0,0,2,0,1.4,1.4,0.7,2.1,6,29,4,0.16,0.0,0.16,0.16,0.16,0.11,0.06,0.17,0.11,0.17
Ross Barkley,ENG,MF,Aston Villa,32-018,1993,7,0,121,1.3,1,0,1,1,0,0,0,0,0.4,0.4,0.5,0.9,5,9,4,0.74,0.0,0.74,0.74,0.74,0.29,0.37,0.65,0.29,0.65
Ashley Barnes,ENG,FW,Burnley,36-054,1989,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvey Barnes,ENG,FW,Newcastle Utd,28-014,1997,16,7,740,8.2,3,0,3,3,0,0,0,0,3.5,3.5,1.2,4.7,31,28,80,0.36,0.0,0.36,0.36,0.36,0.42,0.14,0.57,0.42,0.57
Thierno Barry,FRA,FW,Everton,23-063,2002,17,10,824,9.2,1,0,1,1,0,0,2,0,2.7,2.7,0.4,3.1,6,5,44,0.11,0.0,0.11,0.11,0.11,0.3,0.04,0.34,0.3,0.34
Calvin Bassey,NGA,DF,Fulham,25-357,1999,16,15,1359,15.1,1,0,1,1,0,0,3,0,0.6,0.6,0.1,0.7,19,51,4,0.07,0.0,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05
