Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Thierno Barry,FRA,FW,Everton,23-063,2002,9.2,1,16,2,12.5,1.75,0.22,0.06,0.5,9.4,0,0,0,2.7,2.7,0.17,-1.7,-1.7
Calvin Bassey,NGA,DF,Fulham,25-357,1999,15.1,1,5,1,20.0,0.33,0.07,0.2,1.0,17.6,0,0,0,0.6,0.6,0.12,0.4,0.4
Altay Bayındır,TUR,GK,Manchester Utd,27-253,1998,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jean-Ricner Bellegarde,HAI,"MF,FW",Wolves,27-179,1998,7.7,1,15,4,26.7,1.96,0.52,0.07,0.25,23.0,1,0,0,0.8,0.8,0.06,0.2,0.2
Rodrigo Bentancur,URU,MF,Tottenham,28-181,1997,11.7,1,8,1,12.5,0.68,0.09,0.13,1.0,18.6,0,0,0,0.4,0.4,0.05,0.6,0.6
Sander Berge,NOR,MF,Fulham,27-312,1998,16.2,0,4,2,50.0,0.25,0.12,0.0,0.0,17.3,0,0,0,0.6,0.6,0.15,-0.6,-0.6
Lucas Bergvall,SWE,MF,Tottenham,19-324,2006,7.4,1,8,3,37.5,1.08,0.4,0.13,0.33,11.1,0,0,0,0.8,0.8,0.1,0.2,0.2
Beto,GNB,FW,Everton,27-326,1998,7.9,1,17,4,23.5,2.15,0.51,0.06,0.25,9.0,0,0,0,4.3,4.3,0.25,-3.3,-3.3
Jaka Bijol,SVN,DF,Leeds United,26-321,1999,6.9,1,2,1,50.0,0.29,0.14,0.5,1.0,7.5,0,0,0,0.2,0.2,0.1,0.8,0.8
Marco Bizot,NED,GK,Aston Villa,34-288,1991,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Oscar Bobb,NOR,"MF,FW",Manchester City,22-164,2003,5.2,0,4,0,0.0,0.77,0.0,0.0,,14.7,0,0,0,0.4,0.4,0.1,-0.4,-0.4
Lamare Bogarde,NED,MF,Aston Villa,21-352,2004,3.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jayden Bogle,ENG,DF,Leeds United,25-149,2000,16.5,0,9,2,22.2,0.55,0.12,0.0,0.0,18.3,0,0,0,0.7,0.7,0.08,-0.7,-0.7
Sebastiaan Bornauw,BEL,DF,Leeds United,26-276,1999,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Olivier Boscagli,FRA,DF,Brighton,28-035,1997,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Sven Botman,NED,DF,Newcastle Utd,25-345,2000,7.3,0,2,1,50.0,0.27,0.14,0.0,0.0,9.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Jarrod Bowen,ENG,"FW,MF",West Ham,29-003,1996,17.0,5,43,16,37.2,2.53,0.94,0.12,0.31,16.5,1,0,0,3.5,3.5,0.08,1.5,1.5
Conor Bradley,NIR,DF,Liverpool,22-167,2003,7.1,0,3,0,0.0,0.42,0.0,0.0,,20.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Brian Brobbey,NED,FW,Sunderland,23-325,2002,4.5,2,6,4,66.7,1.34,0.89,0.33,0.5,10.6,0,0,0,0.8,0.8,0.13,1.2,1.2
Armando Broja,ALB,FW,Burnley,24-104,2001,3.6,1,8,5,62.5,2.25,1.41,0.13,0.2,11.4,0,0,0,1.4,1.4,0.18,-0.4,-0.4
David Brooks,WAL,"FW,MF",Bournemouth,28-168,1997,8.0,0,28,7,25.0,3.49,0.87,0.0,0.0,16.4,2,0,0,2.5,2.5,0.09,-2.5,-2.5
Jacob Bruun Larsen,DEN,"FW,MF",Burnley,27-095,1998,8.0,0,11,4,36.4,1.38,0.5,0.0,0.0,22.7,5,0,0,0.6,0.6,0.05,-0.6,-0.6
Emi Buendía,ARG,"MF,FW",Aston Villa,28-363,1996,6.2,4,19,4,21.1,3.06,0.65,0.21,1.0,19.3,2,0,0,1.5,1.5,0.08,2.5,2.5
Hugo Bueno,ESP,"DF,MF",Wolves,23-096,2002,9.2,0,3,1,33.3,0.32,0.11,0.0,0.0,18.8,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Santiago Bueno,URU,DF,Wolves,27-044,1998,8.4,1,2,2,100.0,0.24,0.24,0.5,0.5,8.6,0,0,0,0.8,0.8,0.4,0.2,0.2
Facundo Buonanotte,ARG,MF,Chelsea,21-000,2004,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Dan Burn,ENG,DF,Newcastle Utd,33-228,1992,13.9,0,3,0,0.0,0.22,0.0,0.0,,10.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Bradley Burrowes,ENG,DF,Aston Villa,17-294,2008,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Sam Byram,ENG,DF,Leeds United,32-098,1993,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Moisés Caicedo,ECU,MF,Chelsea,24-051,2001,11.9,3,11,4,36.4,0.92,0.34,0.27,0.75,22.8,0,0,0,0.6,0.6,0.05,2.4,2.4
Tom Cairney,SCO,MF,Fulham,34-337,1991,2.6,0,7,0,0.0,2.73,0.0,0.0,,20.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Riccardo Calafiori,ITA,DF,Arsenal,23-218,2002,13.9,1,22,5,22.7,1.58,0.36,0.05,0.2,14.6,0,0,0,2.5,2.5,0.11,-1.5,-1.5
Dominic Calvert-Lewin,ENG,FW,Leeds United,28-282,1997,11.4,7,32,15,46.9,2.8,1.31,0.19,0.4,11.9,0,1,1,6.4,5.6,0.19,0.6,0.4
