Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
170,Viktor Gyökeres,se SWE,FW,Arsenal,27-202,1998,15,12,1016,11.3,5,0,5,3,2,2,3,0,5.5,3.9,1.1,5.1,11,13,64,0.44,0.00,0.44,0.27,0.27,0.49,0.10,0.59,0.35,0.45,Matches
171,Erling Haaland,no NOR,FW,Manchester City,25-155,2000,17,17,1461,16.2,19,4,23,18,1,2,0,0,16.4,14.8,2.4,17.2,26,11,50,1.17,0.25,1.42,1.11,1.36,1.01,0.15,1.16,0.91,1.06,Matches
172,Lewis Hall,eng ENG,DF,Newcastle Utd,21-106,2004,10,6,612,6.8,0,1,1,0,0,0,1,0,0.3,0.3,0.4,0.7,8,43,22,0.00,0.15,0.15,0.00,0.15,0.04,0.06,0.10,0.04,0.10,Matches
173,Jack Harrison,eng ENG,"FW,DF",Leeds United,29-033,1996,11,1,269,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,8,10,17,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.23,0.09,0.23,Matches
174,Quilindschy Hartman,nl NED,DF,Burnley,24-039,2001,15,15,1337,14.9,0,4,4,0,0,0,1,0,0.2,0.2,1.5,1.7,6,44,43,0.00,0.27,0.27,0.00,0.27,0.01,0.10,0.11,0.01,0.11,Matches
175,Jorrel Hato,nl NED,DF,Chelsea,19-291,2006,4,2,168,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
176,Kai Havertz,de GER,FW,Arsenal,26-195,1999,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
177,Ayden Heaven,eng ENG,DF,Manchester Utd,19-092,2006,6,4,323,3.6,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,1,6,1,0.00,0.28,0.28,0.00,0.28,0.01,0.10,0.11,0.01,0.11,Matches
178,Jan Paul van Hecke,nl NED,DF,Brighton,25-198,2000,16,16,1440,16.0,3,1,4,3,0,0,3,0,1.6,1.6,0.2,1.8,45,117,5,0.19,0.06,0.25,0.19,0.25,0.10,0.01,0.11,0.10,0.11,Matches
179,Hwang Hee-chan,kr KOR,FW,Wolves,29-331,1996,12,7,585,6.5,1,0,1,1,0,0,2,0,1.1,1.1,0.2,1.2,12,17,39,0.15,0.00,0.15,0.15,0.15,0.17,0.02,0.19,0.17,0.19,Matches
180,Dean Henderson,eng ENG,GK,Crystal Palace,28-286,1997,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
181,Jordan Henderson,eng ENG,MF,Brentford,35-189,1990,16,14,1220,13.6,1,3,4,1,0,0,3,0,0.3,0.3,1.6,2.0,6,69,16,0.07,0.22,0.30,0.07,0.30,0.02,0.12,0.15,0.02,0.15,Matches
182,Rico Henry,jm JAM,DF,Brentford,28-168,1997,13,3,448,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.3,15,12,24,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
183,Mads Hermansen,dk DEN,GK,West Ham,25-165,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
184,Aaron Hickey,sct SCO,DF,Brentford,23-196,2002,10,5,416,4.6,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,13,11,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
185,James Hill,eng ENG,DF,Bournemouth,23-347,2002,9,2,306,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,17,8,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
186,Piero Hincapié,ec ECU,DF,Arsenal,23-348,2002,8,6,565,6.3,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,7,21,5,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
