Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Brenden Aaronson,USA,"FW,MF",Leeds United,25-062,2000,10.1,436,9,73,193,177,26,436,34,11,32.4,19,55.9,220,1351,590,21,14,4,32,23,248,55
Zach Abbott,ENG,DF,Nott'ham Forest,19-224,2006,0.5,35,3,14,16,5,0,35,0,0,,0,,8,38,13,0,0,0,1,0,15,1
Joshua Acheampong,ENG,DF,Chelsea,19-232,2006,3.9,330,28,133,179,21,4,330,9,8,88.9,0,0.0,241,1151,622,4,5,0,0,3,255,0
Tyler Adams,USA,MF,Bournemouth,26-312,1999,13.3,851,50,238,497,123,7,851,10,4,40.0,5,50.0,455,2112,1048,12,17,0,16,5,502,7
Tosin Adarabioyo,ENG,DF,Chelsea,28-090,1997,6.2,649,76,317,321,11,3,649,0,0,,0,,381,1562,987,3,1,0,1,1,467,0
Simon Adingra,CIV,"FW,MF",Sunderland,23-356,2002,4.2,159,4,21,53,86,7,159,12,4,33.3,7,58.3,108,781,407,17,9,2,10,8,114,41
Amine Adli,MAR,"FW,MF",Bournemouth,25-227,2000,4.4,226,6,43,89,98,17,226,10,4,40.0,5,50.0,120,652,385,10,7,0,8,3,133,31
Emmanuel Agbadou,CIV,DF,Wolves,28-189,1997,11.2,777,107,366,365,52,10,777,5,4,80.0,1,20.0,437,2010,946,5,11,0,9,4,505,7
Nayef Aguerd,MAR,DF,West Ham,29-268,1996,2.0,143,14,62,72,9,2,143,1,1,100.0,0,0.0,71,405,222,2,2,0,1,0,93,0
Ola Aina,NGA,DF,Nott'ham Forest,29-076,1996,3.0,203,13,70,75,62,3,203,11,3,27.3,8,72.7,82,362,212,5,4,1,0,5,108,8
Rayan Aït-Nouri,ALG,DF,Manchester City,24-200,2001,2.3,172,10,61,67,44,2,172,8,2,25.0,6,75.0,81,441,184,7,2,0,4,2,101,8
Kristoffer Ajer,NOR,DF,Brentford,27-250,1998,6.8,303,25,111,143,53,21,303,9,2,22.2,6,66.7,133,750,465,6,4,0,11,2,160,9
Nathan Aké,NED,DF,Manchester City,30-308,1995,2.5,202,12,78,104,20,3,202,1,0,0.0,1,100.0,142,793,484,4,3,0,1,0,156,2
Carlos Alcaraz,ARG,"MF,FW",Everton,23-023,2002,6.6,330,4,41,169,124,21,330,10,5,50.0,3,30.0,163,868,398,7,11,2,24,7,202,22
Omar Alderete,PAR,DF,Sunderland,28-362,1996,12.4,683,91,323,317,46,23,683,10,7,70.0,2,20.0,404,2458,1574,12,10,0,5,7,441,3
Alisson,BRA,GK,Liverpool,33-082,1992,12.0,454,321,438,17,0,0,454,0,0,,0,,317,1281,779,0,0,0,0,0,281,0
Ethan Ampadu,WAL,MF,Leeds United,25-100,2000,14.7,986,42,251,589,159,8,986,11,7,63.6,3,27.3,470,2343,1175,19,13,1,14,7,564,15
Joachim Andersen,DEN,DF,Fulham,29-206,1996,15.5,1330,175,676,608,47,22,1330,4,4,100.0,0,0.0,766,3818,2311,9,6,1,7,1,907,4
Elliot Anderson,ENG,MF,Nott'ham Forest,23-047,2002,17.0,1459,43,313,814,352,34,1458,43,21,48.8,19,44.2,875,4500,2098,24,25,6,40,26,991,47
André,BRA,MF,Wolves,24-160,2001,13.8,774,59,224,470,93,3,774,17,7,41.2,7,41.2,413,1865,843,9,9,0,14,14,467,6
Jaidon Anthony,ENG,"MF,FW",Burnley,26-022,1999,12.5,538,16,95,245,207,37,538,35,8,22.9,20,57.1,280,1705,834,25,12,9,47,21,321,63
Alphonse Areola,FRA,GK,West Ham,32-299,1993,13.0,460,372,452,8,0,0,460,0,0,,0,,202,1032,579,0,0,0,0,0,155,0
Jhon Arias,COL,"FW,MF",Wolves,28-093,1997,9.0,432,12,66,201,175,30,432,19,8,42.1,7,36.8,213,1198,587,16,15,3,20,15,243,37
Harrison Armstrong,ENG,FW,Everton,18-338,2007,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Tolu Arokodare,NGA,FW,Wolves,25-030,2000,3.8,146,13,18,58,70,22,146,12,6,50.0,6,50.0,67,292,91,4,5,3,30,8,101,18
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,28-133,1997,1.7,47,2,4,24,20,5,47,1,0,0.0,1,100.0,30,124,39,1,3,0,11,2,36,7
Yasin Ayari,SWE,MF,Brighton,22-078,2003,13.0,782,31,194,424,177,18,782,34,11,32.4,20,58.8,471,2016,844,11,17,2,17,9,533,18
Benoît Badiashile,FRA,DF,Chelsea,24-272,2001,1.7,164,18,76,84,4,0,164,0,0,,0,,113,452,220,1,0,0,1,0,117,0
Dilane Bakwa,FRA,"FW,MF",Nott'ham Forest,23-119,2002,1.9,127,3,18,34,78,6,127,11,2,18.2,8,72.7,79,501,196,6,6,3,4,1,92,22
Carlos Baleba,CMR,MF,Brighton,21-354,2004,10.0,483,26,117,294,81,1,483,13,7,53.8,5,38.5,279,1248,575,10,11,1,17,11,281,8
Daniel Ballard,NIR,DF,Sunderland,26-092,1999,12.5,706,126,395,262,53,39,706,0,0,,0,,388,2335,1424,6,5,0,4,1,423,4
Ross Barkley,ENG,MF,Aston Villa,32-018,1993,1.3,68,4,16,36,17,5,68,2,0,0.0,1,50.0,35,282,158,5,4,0,2,3,44,4
Ashley Barnes,ENG,FW,Burnley,36-054,1989,0.1,8,0,0,6,2,0,8,1,1,100.0,0,0.0,3,4,3,0,1,0,2,0,7,1
Harvey Barnes,ENG,FW,Newcastle Utd,28-014,1997,8.2,306,9,25,104,183,48,306,22,6,27.3,15,68.2,213,1450,759,31,18,13,19,9,232,80
Thierno Barry,FRA,FW,Everton,23-063,2002,9.2,269,10,21,119,130,38,269,14,5,35.7,9,64.3,119,535,190,6,8,4,38,5,203,44
Calvin Bassey,NGA,DF,Fulham,25-357,1999,15.1,1116,135,568,506,46,6,1116,14,7,50.0,5,35.7,705,3840,2279,19,7,1,9,10,773,4
Altay Bayındır,TUR,GK,Manchester Utd,27-253,1998,6.0,208,165,207,1,0,0,208,1,1,100.0,0,0.0,142,645,374,0,0,0,2,0,126,0
Jean-Ricner Bellegarde,HAI,"MF,FW",Wolves,27-179,1998,7.7,372,11,46,190,141,15,372,25,12,48.0,7,28.0,214,1541,841,26,19,5,18,14,238,22
Rodrigo Bentancur,URU,MF,Tottenham,28-181,1997,11.7,696,51,215,376,112,17,696,14,7,50.0,6,42.9,332,1601,676,7,3,0,15,5,415,16
Sander Berge,NOR,MF,Fulham,27-312,1998,16.2,929,48,262,554,114,9,929,6,1,16.7,5,83.3,529,2853,1417,23,16,3,11,11,628,10
Lucas Bergvall,SWE,MF,Tottenham,19-324,2006,7.4,327,9,52,154,127,19,327,15,11,73.3,3,20.0,169,1238,600,13,14,2,14,4,187,30
Beto,GNB,FW,Everton,27-326,1998,7.9,224,21,34,80,112,41,224,18,2,11.1,14,77.8,98,387,81,3,2,2,36,14,149,31
Jaka Bijol,SVN,DF,Leeds United,26-321,1999,6.9,500,70,267,216,18,12,500,2,2,100.0,0,0.0,297,1616,1008,3,0,0,4,0,334,0
Marco Bizot,NED,GK,Aston Villa,34-288,1991,4.0,171,137,169,2,0,0,171,0,0,,0,,114,458,190,0,0,0,1,0,94,0
Oscar Bobb,NOR,"MF,FW",Manchester City,22-164,2003,5.2,274,3,21,97,161,29,274,28,16,57.1,10,35.7,183,998,487,17,12,13,10,8,208,55
Lamare Bogarde,NED,MF,Aston Villa,21-352,2004,3.6,219,18,62,129,31,2,219,8,2,25.0,4,50.0,144,723,381,5,4,0,4,2,161,2
Jayden Bogle,ENG,DF,Leeds United,25-149,2000,16.5,761,38,210,362,200,26,761,34,12,35.3,19,55.9,376,2293,1150,30,25,7,23,18,410,62
Sebastiaan Bornauw,BEL,DF,Leeds United,26-276,1999,0.0,4,0,0,4,0,0,4,0,0,,0,,1,0,0,0,0,0,0,0,2,0
Olivier Boscagli,FRA,DF,Brighton,28-035,1997,1.6,174,15,69,88,18,1,174,0,0,,0,,125,605,375,6,2,0,0,0,123,4
Sven Botman,NED,DF,Newcastle Utd,25-345,2000,7.3,497,83,286,192,21,13,497,1,1,100.0,0,0.0,288,1223,525,1,1,1,5,1,300,3
Jarrod Bowen,ENG,"FW,MF",West Ham,29-003,1996,17.0,592,18,81,208,320,73,592,63,26,41.3,31,49.2,331,2616,1281,56,29,29,38,29,403,119
Conor Bradley,NIR,DF,Liverpool,22-167,2003,7.1,510,20,144,213,157,17,510,21,4,19.0,13,61.9,283,1469,788,18,10,2,9,4,307,30
Brian Brobbey,NED,FW,Sunderland,23-325,2002,4.5,108,3,17,44,48,12,108,4,0,0.0,2,50.0,59,210,79,2,0,2,18,7,77,17
Armando Broja,ALB,FW,Burnley,24-104,2001,3.6,109,4,12,39,60,22,109,10,0,0.0,9,90.0,46,272,116,5,1,3,8,12,80,15
David Brooks,WAL,"FW,MF",Bournemouth,28-168,1997,8.0,430,2,50,153,238,48,430,28,11,39.3,15,53.6,271,1596,865,22,18,9,19,5,314,79
Jacob Bruun Larsen,DEN,"FW,MF",Burnley,27-095,1998,8.0,335,11,48,115,178,24,335,27,7,25.9,20,74.1,194,1070,516,15,14,6,13,6,210,53
Emi Buendía,ARG,"MF,FW",Aston Villa,28-363,1996,6.2,325,11,56,142,133,31,325,13,4,30.8,9,69.2,162,844,546,16,12,5,6,17,189,25
Hugo Bueno,ESP,"DF,MF",Wolves,23-096,2002,9.2,577,17,146,233,207,25,577,30,13,43.3,16,53.3,272,1697,846,32,11,7,18,10,306,56
Santiago Bueno,URU,DF,Wolves,27-044,1998,8.4,480,52,195,253,35,11,480,0,0,,0,,248,1314,753,4,1,0,1,1,300,1
Facundo Buonanotte,ARG,MF,Chelsea,21-000,2004,0.5,30,0,1,12,17,4,30,1,0,0.0,1,100.0,16,64,9,0,1,0,2,0,21,5
Dan Burn,ENG,DF,Newcastle Utd,33-228,1992,13.9,849,85,378,367,110,25,849,2,2,100.0,0,0.0,407,1583,702,5,4,1,11,4,462,24
Bradley Burrowes,ENG,DF,Aston Villa,17-294,2008,0.2,12,0,3,3,6,0,12,2,0,0.0,1,50.0,7,68,23,1,1,0,0,0,6,4
Sam Byram,ENG,DF,Leeds United,32-098,1993,0.1,1,0,1,0,0,0,1,0,0,,0,,1,3,1,0,0,0,0,0,1,0
Moisés Caicedo,ECU,MF,Chelsea,24-051,2001,11.9,843,35,188,537,126,4,843,20,7,35.0,8,40.0,500,2163,1115,10,10,0,7,8,574,7
Tom Cairney,SCO,MF,Fulham,34-337,1991,2.6,197,6,48,98,53,5,197,2,0,0.0,2,100.0,119,579,312,3,5,0,6,2,150,3
Riccardo Calafiori,ITA,DF,Arsenal,23-218,2002,13.9,842,39,205,388,255,38,842,21,12,57.1,5,23.8,378,2075,1108,23,20,4,8,5,464,56
Dominic Calvert-Lewin,ENG,FW,Leeds United,28-282,1997,11.4,302,10,20,124,159,56,301,17,6,35.3,11,64.7,153,711,243,8,5,5,36,16,234,53
Jaydee Canvot,FRA,DF,Crystal Palace,19-147,2006,1.3,88,13,54,26,8,3,88,0,0,,0,,44,230,146,2,2,0,2,1,48,2
Fabio Carvalho,POR,"FW,MF",Brentford,23-115,2002,1.1,42,1,3,23,17,2,42,3,1,33.3,2,66.7,16,97,31,2,1,0,1,1,20,6
Casemiro,BRA,MF,Manchester Utd,33-303,1992,11.0,740,34,170,445,131,28,740,4,3,75.0,1,25.0,336,1123,526,7,11,1,13,5,454,18
Matty Cash,POL,DF,Aston Villa,28-138,1997,16.7,1022,68,332,424,274,15,1022,13,4,30.8,5,38.5,567,2732,1130,24,22,3,7,10,606,67
Timothy Castagne,BEL,"DF,FW",Fulham,30-018,1995,6.0,346,23,135,111,100,11,346,2,1,50.0,1,50.0,167,627,243,6,4,1,4,1,202,34
Trevoh Chalobah,ENG,DF,Chelsea,26-171,1999,15.3,1309,144,548,704,63,10,1309,9,5,55.6,2,22.2,838,3138,1740,15,7,0,8,4,929,3
Rayan Cherki,FRA,"MF,FW",Manchester City,22-128,2003,6.2,511,5,51,225,239,33,511,37,14,37.8,19,51.4,354,1927,1033,35,28,15,18,9,396,53
Federico Chiesa,ITA,"FW,MF",Liverpool,28-059,1997,1.8,115,4,15,42,59,18,115,5,1,20.0,4,80.0,55,304,181,6,1,3,7,2,65,14
Tawanda Chirewa,ZIM,"MF,FW",Wolves,22-073,2003,0.2,6,1,2,4,0,0,6,0,0,,0,,2,7,0,0,0,0,1,0,1,0
Ryan Christie,SCO,MF,Bournemouth,30-304,1995,3.3,248,11,39,119,96,13,248,20,9,45.0,8,40.0,151,892,452,8,12,2,8,4,167,9
Samuel Chukwueze,NGA,FW,Fulham,26-215,1999,4.4,232,7,36,86,111,27,232,27,14,51.9,9,33.3,155,1183,544,19,9,9,6,8,168,44
Nathaniel Clyne,ENG,DF,Crystal Palace,34-262,1991,2.5,102,5,36,33,33,2,102,2,1,50.0,1,50.0,44,155,81,3,3,0,3,0,48,13
Séamus Coleman,IRL,"DF,FW",Everton,37-073,1988,0.1,6,0,2,3,1,0,6,0,0,,0,,2,2,1,0,0,0,0,0,3,0
Nathan Collins,IRL,DF,Brentford,24-237,2001,16.2,1046,180,570,420,62,36,1046,5,2,40.0,2,40.0,522,2610,1488,7,4,1,9,8,625,3
Lewis Cook,ENG,"DF,MF",Bournemouth,28-323,1997,3.4,304,13,62,174,73,3,304,2,2,100.0,0,0.0,184,1136,766,14,10,0,4,2,181,9
Diego Coppola,ITA,DF,Brighton,21-360,2003,1.2,78,10,36,37,5,0,78,1,1,100.0,0,0.0,57,221,77,2,1,0,0,0,54,0
Marc Cucurella,ESP,DF,Chelsea,27-154,1998,16.0,1080,45,324,540,223,33,1080,3,1,33.3,1,33.3,567,2109,1282,24,12,3,14,4,672,45
Jorge Cuenca,ESP,DF,Fulham,26-036,1999,2.9,195,35,131,58,6,3,195,2,2,100.0,0,0.0,131,510,289,0,3,0,1,0,133,0
Josh Cullen,IRL,MF,Burnley,29-260,1996,16.2,997,50,246,608,149,5,997,8,2,25.0,4,50.0,494,1612,653,6,8,1,13,10,606,11
Jair Cunha,BRA,DF,Nott'ham Forest,20-291,2005,1.0,60,8,40,18,2,0,60,1,1,100.0,0,0.0,34,102,59,0,0,0,0,0,34,0
Matheus Cunha,BRA,"MF,FW",Manchester Utd,26-210,1999,11.4,565,11,63,255,256,54,565,41,21,51.2,20,48.8,343,2352,1209,39,29,16,35,27,401,56
Diogo Dalot,POR,DF,Manchester Utd,26-280,1999,11.6,692,39,162,275,257,22,692,16,7,43.8,7,43.8,314,1627,827,24,12,6,17,6,378,77
Mikkel Damsgaard,DEN,MF,Brentford,25-173,2000,11.5,609,12,98,289,231,26,609,28,8,28.6,18,64.3,298,1396,662,18,18,7,27,14,353,49
Kevin Danso,AUT,DF,Tottenham,27-095,1998,5.5,442,63,217,191,35,3,442,0,0,,0,,232,1206,717,3,3,0,3,3,263,0
Karl Darlow,WAL,GK,Leeds United,35-076,1990,5.0,213,168,211,3,0,0,213,0,0,,0,,143,656,425,0,0,0,0,0,113,0
Ben Davies,WAL,DF,Tottenham,32-243,1993,0.4,25,1,9,10,6,0,25,0,0,,0,,13,55,25,1,1,0,0,1,14,0
Maxim De Cuyper,BEL,"DF,FW",Brighton,25-001,2000,8.5,494,21,124,207,165,15,494,8,4,50.0,4,50.0,276,1159,610,15,10,2,6,4,320,42
Liam Delap,ENG,FW,Chelsea,22-318,2003,3.9,94,4,6,33,57,20,94,5,3,60.0,1,20.0,70,340,149,8,4,4,13,8,86,26
Sepp van den Berg,NED,DF,Brentford,24-003,2001,17.0,950,174,499,414,41,24,950,0,0,,0,,446,2394,1392,13,2,0,7,2,563,9
Justin Devenny,NIR,"MF,FW",Crystal Palace,22-073,2003,2.4,113,1,17,56,43,13,112,7,2,28.6,5,71.4,62,329,188,7,6,2,7,6,77,13
Kiernan Dewsbury-Hall,ENG,MF,Everton,27-108,1998,14.0,672,24,109,269,304,36,672,20,12,60.0,7,35.0,367,1713,865,23,25,6,21,19,409,58
