Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Brenden Aaronson,USA,"FW,MF",Leeds United,25-062,2000,10.1,269,243,22,3,2,0,18,5,0,0,0,0,211,4,8
Zach Abbott,ENG,DF,Nott'ham Forest,19-224,2006,0.5,26,18,8,1,0,0,0,7,0,0,0,0,17,0,0
Joshua Acheampong,ENG,DF,Chelsea,19-232,2006,3.9,296,284,12,7,0,0,0,1,0,0,0,0,273,0,2
Tyler Adams,USA,MF,Bournemouth,26-312,1999,13.3,695,671,24,22,1,2,0,2,0,0,0,0,605,0,10
Tosin Adarabioyo,ENG,DF,Chelsea,28-090,1997,6.2,579,551,25,10,3,1,0,3,0,0,0,0,523,3,4
Simon Adingra,CIV,"FW,MF",Sunderland,23-356,2002,4.2,106,105,1,0,1,0,20,1,0,0,0,0,70,0,10
Amine Adli,MAR,"FW,MF",Bournemouth,25-227,2000,4.4,160,149,9,1,2,1,11,5,2,2,0,0,116,2,6
Emmanuel Agbadou,CIV,DF,Wolves,28-189,1997,11.2,633,597,33,21,2,5,14,11,0,0,0,0,510,3,6
Nayef Aguerd,MAR,DF,West Ham,29-268,1996,2.0,119,113,6,2,0,3,2,2,0,0,0,0,106,0,1
Ola Aina,NGA,DF,Nott'ham Forest,29-076,1996,3.0,157,131,26,5,0,1,13,20,1,0,0,0,125,0,5
Rayan Aït-Nouri,ALG,DF,Manchester City,24-200,2001,2.3,127,106,21,2,0,0,2,19,0,0,0,0,111,0,6
Kristoffer Ajer,NOR,DF,Brentford,27-250,1998,6.8,213,193,19,0,0,1,3,19,0,0,0,0,151,1,3
Nathan Aké,NED,DF,Manchester City,30-308,1995,2.5,181,164,17,6,0,2,2,5,0,0,0,0,162,0,0
Carlos Alcaraz,ARG,"MF,FW",Everton,23-023,2002,6.6,255,242,10,3,2,3,5,0,3,0,1,0,199,3,7
Omar Alderete,PAR,DF,Sunderland,28-362,1996,12.4,533,524,7,6,3,8,5,1,0,0,0,0,446,2,4
Alisson,BRA,GK,Liverpool,33-082,1992,12.0,437,387,50,23,0,1,0,0,0,0,0,0,357,0,0
Ethan Ampadu,WAL,MF,Leeds United,25-100,2000,14.7,831,737,93,33,2,2,12,60,0,0,0,0,675,1,7
Joachim Andersen,DEN,DF,Fulham,29-206,1996,15.5,1129,1054,71,52,0,26,6,9,0,0,0,0,967,4,4
Elliot Anderson,ENG,MF,Nott'ham Forest,23-047,2002,17.0,1246,1129,116,43,5,11,78,6,50,25,19,0,1030,1,17
André,BRA,MF,Wolves,24-160,2001,13.8,626,589,34,22,0,4,24,1,11,5,6,0,553,3,7
Jaidon Anthony,ENG,"MF,FW",Burnley,26-022,1999,12.5,350,303,46,1,3,0,26,9,12,9,1,1,246,1,12
Alphonse Areola,FRA,GK,West Ham,32-299,1993,13.0,417,244,172,48,0,0,0,0,0,0,0,0,227,1,0
Jhon Arias,COL,"FW,MF",Wolves,28-093,1997,9.0,304,272,32,4,0,2,28,2,16,12,2,0,257,0,6
