Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
725,Vinícius,br BRA,FW,Botafogo (RJ),22,1999,9.7,140,188,74.5,1873,587,84,104,80.8,47,58,81.0,2,5,40.0,0,0.8,0.2,-0.8,10,13,5,1,21,Matches
726,Caio Vinícius,br BRA,MF,Goiás,23,1999,17.3,399,495,80.6,6927,1631,164,194,84.5,194,224,86.6,32,47,68.1,0,0.3,0.6,-0.3,5,28,3,1,42,Matches
727,Mateus Vital,br BRA,"FW,MF",Corinthians,23,1998,8.2,269,339,79.4,3427,841,177,195,90.8,72,93,77.4,6,18,33.3,2,0.8,1.0,+1.2,10,17,11,2,31,Matches
728,Vitão,br BRA,DF,Internacional,21,2000,31.0,1056,1241,85.1,22251,7775,267,294,90.8,630,683,92.2,148,238,62.2,0,0.0,0.2,0.0,1,63,2,0,41,Matches
729,Vitinho,br BRA,FW,Ath Paranaense,22,1999,15.9,312,422,73.9,4470,1039,192,232,82.8,100,128,78.1,10,24,41.7,0,0.8,0.8,-0.8,8,24,17,3,42,Matches
730,Vitinho,br BRA,"FW,MF",Flamengo,28,1993,5.3,161,198,81.3,2482,656,87,99,87.9,62,74,83.8,8,12,66.7,0,0.6,0.9,-0.6,7,18,4,0,23,Matches
731,Vitinho,br BRA,"FW,MF",Avaí,21,2000,4.0,73,96,76.0,1177,363,37,46,80.4,28,35,80.0,7,9,77.8,0,0.2,0.1,-0.2,2,6,1,0,8,Matches
732,João Vitor,br BRA,MF,Coritiba,21,2000,0.1,1,1,100.0,10,4,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
733,Vladimir,br BRA,GK,Avaí,32,1989,22.5,551,668,82.5,13249,8148,123,124,99.2,306,308,99.4,119,230,51.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
734,Max Walef,br BRA,GK,Fortaleza,28,1993,5.0,75,98,76.5,2054,1425,15,15,100.0,32,33,97.0,27,49,55.1,0,0.0,0.0,0.0,0,1,0,0,0,Matches
735,Walter,br BRA,GK,Cuiabá,34,1987,27.4,537,730,73.6,17249,12619,76,77,98.7,213,217,98.2,246,433,56.8,0,0.0,0.0,0.0,0,9,0,0,0,Matches
736,Wanderson,br BRA,DF,Atl Goianiense,30,1991,27.2,969,1112,87.1,20894,7507,237,259,91.5,580,629,92.2,145,204,71.1,0,0.3,0.5,-0.3,5,52,1,0,57,Matches
737,Wanderson,br BRA,"FW,MF",Internacional,27,1994,17.8,436,555,78.6,6066,1413,263,293,89.8,145,182,79.7,14,35,40.0,3,3.1,3.3,-0.1,24,15,30,11,55,Matches
738,Warley,br BRA,"FW,MF",Coritiba,22,1999,6.2,156,217,71.9,2198,576,90,105,85.7,46,65,70.8,7,19,36.8,0,0.4,0.4,-0.4,6,5,4,0,11,Matches
739,Welington,br BRA,"DF,FW",São Paulo,20,2001,18.6,826,1095,75.4,13861,4865,415,454,91.4,321,430,74.7,76,148,51.4,6,2.4,3.1,+3.6,39,45,43,15,106,Matches
740,José Welison,br BRA,MF,Fortaleza,26,1995,19.1,728,886,82.2,14751,4029,267,319,83.7,319,355,89.9,126,164,76.8,0,0.9,1.6,-0.9,13,103,11,4,90,Matches
741,Weliton,cl CHI,MF,Juventude,16,2005,0.0,1,1,100.0,11,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
742,Wellington,br BRA,DF,Avaí,26,1995,3.0,108,131,82.4,2337,907,18,22,81.8,77,84,91.7,13,23,56.5,0,0.0,0.0,0.0,1,14,0,0,4,Matches
743,Welliton,br BRA,"MF,FW",RB Bragantino,21,2000,1.1,38,51,74.5,577,138,21,26,80.8,12,16,75.0,3,5,60.0,0,0.3,0.4,-0.3,3,1,3,1,5,Matches
744,Wendell,br BRA,MF,Ceará,19,2002,0.1,2,3,66.7,27,5,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
745,Werton,br BRA,FW,Flamengo,18,2003,0.3,5,7,71.4,71,34,1,2,50.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,3,Matches
746,Wescley,br BRA,MF,Ceará,30,1991,0.8,20,23,87.0,371,100,8,9,88.9,10,11,90.9,2,2,100.0,0,0.0,0.0,0.0,1,3,0,0,8,Matches
747,Wesley,br BRA,"MF,FW",Corinthians,16,2005,0.1,7,7,100.0,71,10,7,7,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
748,Wesley,br BRA,FW,Palmeiras,22,1999,7.2,143,218,65.6,2496,558,68,90,75.6,61,83,73.5,14,25,56.0,1,1.1,1.0,-0.1,8,13,5,2,32,Matches
