Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Abner,BRA,DF,Ath Paranaense,21,2000,23.4,1283,1019,261,27,1,7,49,229,5,2,3,0,986,3,27
Adryelson,BRA,DF,Botafogo (RJ),23,1998,16.1,662,634,28,24,0,5,0,4,0,0,0,0,540,0,3
Adson,BRA,"FW,MF",Corinthians,21,2000,13.8,633,623,7,2,5,2,15,2,3,0,1,0,522,3,19
Airton,BRA,FW,Atl Goianiense,22,1999,19.3,444,405,34,5,4,1,81,3,26,5,19,0,277,5,29
Carlos Alberto,BRA,"FW,MF",América (MG),19,2002,1.7,24,19,5,0,0,0,3,2,0,0,0,0,13,0,1
Yuri Alberto,BRA,FW,Corinthians,20,2001,16.1,385,367,13,0,2,2,9,1,0,0,0,0,255,5,13
Ale,BRA,MF,América (MG),31,1990,21.4,1110,1045,63,40,1,10,23,22,0,0,0,0,939,2,21
Alexandre Alemão,BRA,FW,Internacional,23,1998,22.3,455,419,31,0,2,4,12,0,0,0,0,0,298,5,27
Alerrandro,BRA,FW,RB Bragantino,22,2000,10.3,149,127,22,0,3,0,2,0,0,0,0,0,116,0,7
Alesson,BRA,"MF,FW",Cuiabá,22,1999,11.4,278,272,4,0,0,0,33,2,2,0,1,0,192,2,16
Alex,BRA,DF,Santos,22,1999,3.7,163,157,6,6,0,0,0,0,0,0,0,0,142,0,0
Caio Alexandre,BRA,MF,Fortaleza,22,1999,11.0,579,547,28,24,2,6,5,2,2,0,0,0,489,4,8
Matheus Alexandre,BRA,DF,Coritiba,22,1999,15.6,702,569,132,14,0,3,39,118,0,0,0,0,590,1,13
Alexsander,BRA,DF,Fluminense,18,2003,2.5,138,119,19,2,0,2,5,17,0,0,0,0,115,0,1
Alisson,BRA,"MF,FW",São Paulo,28,1993,10.5,451,431,20,5,0,1,33,11,4,2,2,0,372,0,11
Allan,BRA,MF,Atlético Mineiro,24,1997,30.4,2081,2011,67,52,0,24,11,12,0,0,0,0,1772,3,15
Henrique Almeida,BRA,FW,América (MG),30,1991,16.6,344,310,33,1,1,2,5,2,0,0,0,0,250,1,17
Júnior Alonso,PAR,DF,Atlético Mineiro,28,1993,28.9,2141,1992,144,47,0,12,7,21,0,0,0,0,1872,5,9
Diego Alves,BRA,GK,Flamengo,36,1985,4.7,103,75,28,0,0,0,0,0,0,0,0,0,97,0,0
Felipe Alves Raymundo,BRA,GK,São Paulo,33,1988,17.0,556,405,149,31,0,2,0,0,0,0,0,0,407,2,0
Felipe Alves Raymundo,BRA,GK,Juventude,33,1988,1.0,40,23,17,1,0,0,0,0,0,0,0,0,33,0,0
Rodrigo Alves Soares,BRA,DF,Juventude,29,1992,31.0,1683,1408,269,45,1,22,110,211,13,1,11,0,1360,6,21
Anderson,BRA,GK,Ath Paranaense,23,1998,5.0,135,72,63,14,0,0,0,0,0,0,0,0,74,0,0
Thonny Anderson,BRA,MF,Coritiba,24,1997,8.1,365,336,25,8,2,0,29,3,12,8,4,0,261,4,10
André,BRA,MF,Fluminense,20,2001,33.5,2458,2404,50,44,5,19,5,6,0,0,0,0,2268,4,33
André,BRA,FW,Cuiabá,31,1990,8.1,165,149,15,0,0,0,2,1,0,0,0,0,112,1,4
Andrey,BRA,MF,Avaí,19,2002,0.3,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
Ângelo,BRA,"FW,MF",Santos,17,2004,17.0,522,500,18,4,5,2,51,7,7,3,0,0,348,4,25
Brayan Angulo,ECU,"FW,MF",Santos,26,1995,5.3,117,110,5,0,1,0,1,0,0,0,0,0,85,2,2
Apodi,BRA,"MF,FW",Goiás,35,1986,10.1,146,134,11,0,0,1,12,7,0,0,0,0,99,1,2
Guilherme Arana,BRA,DF,Atlético Mineiro,24,1997,19.1,1515,1311,202,33,2,11,89,155,14,1,13,0,1300,2,26
Willian Arão,BRA,"MF,DF",Flamengo,29,1992,10.2,587,569,18,16,0,5,4,2,0,0,0,0,519,0,5
Michel Araujo,URU,"FW,MF",Fluminense,25,1996,0.9,85,82,3,1,1,0,7,2,0,0,0,0,70,0,3
Robert Arboleda,ECU,DF,São Paulo,30,1991,8.0,423,390,33,19,0,3,0,0,0,0,0,0,370,0,2
Jhon Arias,COL,"FW,MF",Fluminense,24,1997,29.6,1850,1639,206,55,2,8,172,44,107,34,39,1,1535,5,35
