Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Nonoca,BRA,MF,Avaí,23,1998,21,12,1036,11.5,0,0,0,0,0,0,5,0,1.0,1.0,0.4,1.3,18,41,6,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.12,0.08,0.12
Gabriel Novaes,BRA,"FW,MF",RB Bragantino,22,1999,13,2,385,4.3,1,0,1,1,0,0,2,0,1.5,1.5,0.4,1.9,2,2,27,0.23,0.0,0.23,0.23,0.23,0.34,0.1,0.45,0.34,0.45
Thales Oleques,BRA,DF,Avaí,27,1994,9,6,558,6.2,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,9,19,18,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07
Bruno Oliveira,BRA,"MF,FW",Santos,23,1998,14,4,446,5.0,0,1,1,0,0,0,2,0,0.4,0.4,2.1,2.5,9,36,21,0.0,0.2,0.2,0.0,0.2,0.08,0.42,0.5,0.08,0.5
Yuri Oliveira Lima,BRA,MF,Juventude,27,1994,22,19,1515,16.8,0,0,0,0,0,0,6,1,0.6,0.6,0.5,1.1,12,84,12,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07
Leo Ortiz,BRA,DF,RB Bragantino,26,1996,22,21,1923,21.4,1,2,3,1,0,0,4,0,0.8,0.8,0.8,1.6,26,135,4,0.05,0.09,0.14,0.05,0.14,0.04,0.04,0.08,0.04,0.08
Kelvin Osorio,COL,"MF,DF",Cuiabá,28,1993,18,10,945,10.5,0,0,0,0,0,0,2,0,0.7,0.7,1.2,1.9,22,53,65,0.0,0.0,0.0,0.0,0.0,0.07,0.11,0.18,0.07,0.18
Otávio,BRA,MF,Atlético Mineiro,27,1994,24,11,1160,12.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,4,58,11,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
Luiz Otávio,BRA,DF,Ceará,33,1988,23,22,1821,20.2,1,0,1,1,0,0,8,1,2.0,2.0,0.4,2.4,4,44,5,0.05,0.0,0.05,0.05,0.05,0.1,0.02,0.12,0.1,0.12
Rómulo Otero,VEN,"MF,FW",Fortaleza,29,1992,7,2,231,2.6,1,1,2,1,0,0,0,0,0.4,0.4,0.6,1.0,3,18,15,0.39,0.39,0.78,0.39,0.78,0.15,0.24,0.4,0.15,0.4
Luis Oyama,BRA,MF,Botafogo (RJ),25,1997,16,14,1081,12.0,0,0,0,0,0,0,1,0,0.5,0.5,0.8,1.3,18,73,17,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.1,0.04,0.1
Pablo,BRA,FW,Ath Paranaense,29,1992,25,17,1493,16.6,4,1,5,4,0,0,6,0,4.9,4.9,1.9,6.7,9,31,66,0.24,0.06,0.3,0.24,0.3,0.29,0.11,0.41,0.29,0.41
Pablo,BRA,DF,Flamengo,30,1991,23,22,1947,21.6,0,0,0,0,0,0,5,0,1.3,1.3,0.6,1.9,9,53,1,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09
Juan Pablo,BRA,"DF,MF",Goiás,19,2002,4,3,172,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,4,4,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11
Juan Pablo Ramírez,COL,"MF,FW",América (MG),24,1997,16,2,402,4.5,1,1,2,1,0,0,3,0,0.9,0.9,0.4,1.4,7,26,26,0.22,0.22,0.45,0.22,0.45,0.21,0.09,0.3,0.21,0.3
Bruno Pacheco,BRA,DF,Ceará,30,1991,28,27,2352,26.1,1,2,3,1,0,0,5,1,0.3,0.3,1.9,2.2,69,111,98,0.04,0.08,0.11,0.04,0.11,0.01,0.07,0.09,0.01,0.09
Igor Paixão,BRA,"FW,MF",Coritiba,21,2000,18,17,1552,17.2,4,4,8,4,0,0,3,0,5.0,5.0,5.5,10.5,80,36,137,0.23,0.23,0.46,0.23,0.46,0.29,0.32,0.61,0.29,0.61
Pará,BRA,MF,Juventude,19,2002,3,1,80,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nino Paraíba,BRA,DF,Ceará,36,1986,33,25,2217,24.6,1,1,2,1,0,0,11,0,1.0,1.0,3.4,4.5,90,100,156,0.04,0.04,0.08,0.04,0.08,0.04,0.14,0.18,0.04,0.18
Guilherme Parede,BRA,"FW,MF",Juventude,26,1995,16,4,594,6.6,2,1,3,2,0,0,3,0,1.1,1.1,0.5,1.6,8,18,50,0.3,0.15,0.45,0.3,0.45,0.17,0.07,0.24,0.17,0.24
Weslley Patati,BRA,FW,Santos,18,2003,1,0,22,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24
Patrick,BRA,"MF,FW",São Paulo,29,1992,31,24,1964,21.8,5,4,9,5,0,0,6,0,2.8,2.8,3.5,6.3,42,72,162,0.23,0.18,0.41,0.23,0.41,0.13,0.16,0.29,0.13,0.29
Alan Patrick,BRA,"MF,FW",Internacional,30,1991,26,20,1576,17.5,6,4,10,5,1,2,3,0,7.2,5.6,2.9,8.5,54,114,106,0.34,0.23,0.57,0.29,0.51,0.41,0.17,0.57,0.32,0.48
Luan Patrick,BRA,DF,América (MG),20,2002,10,9,808,9.0,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.5,11,27,14,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
