Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Abner,BRA,DF,Ath Paranaense,21,2000,23.4,986,1283,76.9,17089,6919,469,533,88.0,412,517,79.7,91,181,50.3,2,2.2,1.7,-0.2,31,105,16,6,139
Adryelson,BRA,DF,Botafogo (RJ),23,1998,16.1,540,662,81.6,10461,4038,184,208,88.5,285,327,87.2,56,93,60.2,0,0.3,0.1,-0.3,3,15,0,0,20
Adson,BRA,"FW,MF",Corinthians,21,2000,13.8,522,633,82.5,6877,1510,318,351,90.6,158,185,85.4,15,29,51.7,0,0.8,1.5,-0.8,14,34,29,2,72
Airton,BRA,FW,Atl Goianiense,22,1999,19.3,277,444,62.4,4218,1157,150,197,76.1,85,128,66.4,21,46,45.7,4,2.8,3.0,1.2,30,20,17,9,29
Carlos Alberto,BRA,"FW,MF",América (MG),19,2002,1.7,13,24,54.2,138,29,9,13,69.2,3,4,75.0,0,1,0.0,0,0.1,0.0,-0.1,1,0,0,0,0
Yuri Alberto,BRA,FW,Corinthians,20,2001,16.1,255,385,66.2,3007,529,170,235,72.3,58,88,65.9,1,3,33.3,1,1.6,1.4,-0.6,17,10,10,1,29
Ale,BRA,MF,América (MG),31,1990,21.4,939,1110,84.6,16696,5100,422,485,87.0,386,428,90.2,106,135,78.5,2,1.5,1.4,0.5,21,125,15,3,144
Alexandre Alemão,BRA,FW,Internacional,23,1998,22.3,298,455,65.5,4212,924,175,230,76.1,89,131,67.9,17,25,68.0,5,2.4,1.9,2.6,21,24,19,3,46
Alerrandro,BRA,FW,RB Bragantino,22,2000,10.3,116,149,77.9,1609,196,66,78,84.6,40,48,83.3,3,5,60.0,1,0.7,0.7,0.3,7,4,3,1,8
Alesson,BRA,"MF,FW",Cuiabá,22,1999,11.4,192,278,69.1,2793,855,115,147,78.2,64,85,75.3,7,17,41.2,0,1.3,0.7,-1.3,15,10,9,3,29
Alex,BRA,DF,Santos,22,1999,3.7,142,163,87.1,2531,754,59,64,92.2,74,83,89.2,7,14,50.0,0,0.0,0.0,0.0,0,6,0,0,6
Caio Alexandre,BRA,MF,Fortaleza,22,1999,11.0,489,579,84.5,8960,2953,198,213,93.0,239,271,88.2,46,76,60.5,0,0.4,0.6,-0.4,9,57,5,0,69
