Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Felipe Augusto,BRA,FW,Corinthians,17,2004,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Leo Augusto Pereira,BRA,"FW,MF",Atl Goianiense,21,2000,12.6,18,1.42,13,0,3,1,1,0,1,0.08,1,0,0,0,0,0
Renato Augusto,BRA,MF,Corinthians,33,1988,15.6,82,5.26,58,14,4,3,3,0,6,0.39,5,1,0,0,0,0
Auremir,BRA,MF,Goiás,30,1991,16.4,17,1.04,11,0,1,0,5,0,0,0.0,0,0,0,0,0,0
Auro,BRA,DF,Santos,26,1996,4.3,11,2.55,9,0,1,1,0,0,1,0.23,1,0,0,0,0,0
Danilo Avelar,BRA,DF,América (MG),32,1989,9.6,18,1.88,13,2,0,0,1,2,2,0.21,2,0,0,0,0,0
Felipe Azevedo,BRA,"MF,FW",América (MG),35,1987,25.3,80,3.17,63,9,4,2,1,1,2,0.08,2,0,0,0,0,0
Matheus Babi,BRA,"FW,MF",Ath Paranaense,24,1997,0.9,4,4.24,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fabrício Baiano,BRA,"FW,MF",Fortaleza,29,1992,0.6,1,1.55,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fabián Balbuena,PAR,DF,Corinthians,30,1991,12.0,7,0.58,5,0,0,1,0,1,0,0.0,0,0,0,0,0,0
Robson Bambu,BRA,DF,Corinthians,24,1997,4.4,1,0.23,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Léo Baptistão,BRA,"FW,MF",Santos,29,1992,12.6,33,2.61,18,0,5,6,3,1,4,0.32,1,0,2,1,0,0
Gabriel Baralhas,BRA,MF,Atl Goianiense,23,1998,24.0,59,2.46,47,0,4,2,3,3,5,0.21,4,0,0,0,1,0
Danilo Barbosa,BRA,MF,Botafogo (RJ),25,1996,1.8,9,4.88,6,0,1,1,0,1,0,0.0,0,0,0,0,0,0
Gabriel Barbosa,BRA,FW,Flamengo,25,1996,22.7,68,2.99,53,3,2,6,4,0,6,0.26,4,0,1,1,0,0
Lucas Barbosa,BRA,"FW,MF",Santos,20,2001,8.6,22,2.56,22,0,0,0,0,0,2,0.23,2,0,0,0,0,0
Danilo Barcelos,BRA,"DF,MF",Goiás,30,1991,11.4,22,1.92,8,12,0,2,0,0,3,0.26,2,1,0,0,0,0
Leandro Barcia,URU,FW,Atl Goianiense,29,1992,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Barreto,BRA,MF,Botafogo (RJ),26,1995,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fellipe Bastos,BRA,MF,Goiás,31,1990,9.6,53,5.52,32,12,3,4,1,1,5,0.52,4,0,0,1,0,0
