Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
228,Willian Farias,br BRA,MF,Coritiba,33,1989,10.7,551,33,156,348,54,1,551,18,14,77.8,4,22.2,298,1588,694,6,3,0,11,6,332,2,Matches
229,Luiz Felipe,br BRA,DF,Santos,29,1993,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
230,Marcos Felipe,br BRA,GK,Bahia,26,1996,37.0,1249,1106,1248,1,0,0,1249,0,0,,0,,640,3288,2164,0,1,0,1,0,498,0,Matches
231,Matheus Felipe,br BRA,DF,Ath Paranaense,24,1998,5.9,295,45,160,129,8,1,295,1,0,0.0,1,100.0,152,667,314,4,3,0,2,1,184,0,Matches
232,Danilo Fernandes,br BRA,GK,Bahia,34,1988,0.4,18,17,18,0,0,0,18,0,0,,0,,10,41,23,0,0,0,0,0,4,0,Matches
233,Lucas Fernandes,br BRA,MF,Botafogo (RJ),25,1997,5.3,313,6,45,167,106,13,313,14,5,35.7,5,35.7,179,1235,528,14,8,3,12,5,216,27,Matches
234,Matheus Fernandes,br BRA,MF,RB Bragantino,24,1998,26.0,1575,40,287,1009,302,14,1575,51,30,58.8,17,33.3,859,3992,2046,41,44,2,42,24,936,46,Matches
235,Nathan Fernandes,br BRA,"FW,MF",Grêmio,17,2005,4.2,171,3,18,53,105,20,171,23,16,69.6,4,17.4,128,1080,504,14,12,10,19,6,134,40,Matches
236,Gatito Fernández,py PAR,GK,Botafogo (RJ),34,1988,0.5,15,13,15,0,0,0,15,0,0,,0,,9,39,24,0,0,0,0,0,3,0,Matches
237,Leonardo Fernández,uy URU,"MF,FW",Fluminense,24,1998,7.3,552,6,73,223,264,10,551,41,19,46.3,18,43.9,346,1952,916,25,19,6,19,19,415,69,Matches
238,Rodrigo Fernández,uy URU,MF,Santos,27,1996,22.4,1119,48,276,723,136,8,1119,22,9,40.9,11,50.0,634,3375,1795,18,17,2,22,11,634,8,Matches
239,Fernandinho,br BRA,MF,Ath Paranaense,37,1985,21.5,1387,52,273,936,196,16,1386,35,19,54.3,12,34.3,856,4212,2131,35,39,4,19,19,989,52,Matches
240,Fernando,br BRA,FW,Cruzeiro,17,2005,0.1,11,1,2,5,4,0,11,0,0,,0,,3,9,0,0,0,0,0,0,4,1,Matches
241,Fernando,br BRA,DF,Ath Paranaense,23,1999,5.3,373,12,99,188,87,1,373,3,1,33.3,2,66.7,199,1129,668,17,12,1,11,2,220,31,Matches
242,Nahuel Ferraresi,ve VEN,FW,São Paulo,24,1998,0.0,3,0,2,1,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
243,Ferreira,br BRA,"FW,MF",Grêmio,25,1997,12.7,702,9,94,288,345,49,702,75,35,46.7,35,46.7,488,3584,1969,53,40,17,36,19,526,128,Matches
244,Sebastián Ferreira,py PAR,"FW,MF",Vasco da Gama,24,1998,4.9,155,0,9,66,81,19,155,5,3,60.0,2,40.0,91,362,112,3,3,0,12,7,115,20,Matches
245,Figueiredo,br BRA,"FW,MF",Vasco da Gama,21,2001,7.3,359,9,55,140,172,31,359,42,21,50.0,19,45.2,216,1306,500,15,16,2,16,13,254,64,Matches
246,Tobias Figueiredo,pt POR,DF,Fortaleza,28,1994,3.8,212,22,99,107,6,2,212,1,1,100.0,0,0.0,112,533,305,1,1,0,1,0,146,0,Matches
247,Matheus França,br BRA,"MF,FW",Flamengo,18,2004,4.1,217,1,17,77,124,29,217,21,11,52.4,9,42.9,141,983,450,16,10,9,9,9,164,43,Matches
