Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
1,Nicolás Acevedo,uy URU,MF,Bahia,23,1999,21.9,1030,1238,83.2,17306,5450,495,545,90.8,423,497,85.1,82,118,69.5,0,1.2,1.8,-1.2,16,105,11,3,112,Matches
2,Luiz Adriano,br BRA,FW,Internacional,35,1987,14.8,208,253,82.2,2628,429,128,147,87.1,58,66,87.9,6,8,75.0,1,1.3,1.7,-0.3,12,15,3,0,23,Matches
3,Adriel,br BRA,GK,Grêmio,22,2001,2.0,28,63,44.4,1101,947,3,3,100.0,10,10,100.0,15,50,30.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
4,Adryelson,br BRA,DF,Botafogo (RJ),24,1998,33.3,1303,1524,85.5,25681,9385,417,470,88.7,727,818,88.9,148,211,70.1,1,0.3,0.5,+0.7,2,33,1,0,56,Matches
5,Adson,br BRA,"FW,MF",Corinthians,22,2000,9.5,315,390,80.8,4729,1213,185,209,88.5,94,123,76.4,21,32,65.6,1,1.0,1.4,0.0,15,32,13,1,53,Matches
6,Adyson,br BRA,"FW,MF",América (MG),17,2005,2.7,97,140,69.3,1609,650,48,56,85.7,37,51,72.5,8,20,40.0,0,0.4,0.7,-0.4,10,8,13,4,17,Matches
7,Washington Aguerre,uy URU,GK,América (MG),29,1993,2.0,31,41,75.6,816,564,7,7,100.0,12,12,100.0,11,21,52.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches
8,Carlos Alberto,br BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,63,75,84.0,947,216,33,36,91.7,24,29,82.8,4,5,80.0,0,0.2,0.8,-0.2,2,2,4,1,9,Matches
9,Yuri Alberto,br BRA,FW,Corinthians,21,2001,30.2,418,581,71.9,5458,802,261,327,79.8,120,159,75.5,11,20,55.0,3,2.7,1.5,+0.3,22,20,6,0,28,Matches
10,Ale,br BRA,MF,América (MG),32,1990,15.8,770,878,87.7,12931,4158,361,405,89.1,326,356,91.6,61,70,87.1,0,1.2,0.8,-1.2,16,88,8,3,110,Matches
