Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
460,Bruno Mezenga,br BRA,"FW,MF",Santos,34,1988,1.9,0,5,1,20.0,2.68,0.54,0.00,0.00,13.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
461,Carlos Miguel,br BRA,GK,Corinthians,24,1998,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
462,Fernando Miguel,br BRA,GK,Fortaleza,37,1985,5.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
463,Mikael,br BRA,FW,América (MG),23,1999,1.7,0,8,2,25.0,4.71,1.18,0.00,0.00,23.7,2,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
464,Lucas Milla,br BRA,MF,Grêmio,20,2003,3.4,0,3,0,0.0,0.89,0.00,0.00,,19.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
465,Mina,br BRA,DF,Goiás,19,2003,0.5,0,2,0,0.0,4.00,0.00,0.00,,8.5,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
466,Lucas Mineiro,br BRA,MF,Cuiabá,26,1996,6.8,0,5,0,0.0,0.74,0.00,0.00,,21.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
467,Vinicius Mingotti,br BRA,FW,Bahia,23,2000,7.3,2,12,6,50.0,1.64,0.82,0.17,0.33,13.3,0,0,0,1.9,1.9,0.16,+0.1,+0.1,Matches
468,Miranda,br BRA,DF,Vasco da Gama,23,2000,4.3,0,4,1,25.0,0.93,0.23,0.00,0.00,11.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
469,Moises,br BRA,"MF,FW",Fortaleza,26,1996,4.1,3,17,12,70.6,4.17,2.94,0.18,0.25,15.3,0,0,0,2.5,2.5,0.15,+0.5,+0.5,Matches
470,Rodrigo Moledo,br BRA,DF,Internacional,35,1987,5.3,0,1,1,100.0,0.19,0.19,0.00,0.00,14.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
471,Rafael Monteiro,br BRA,MF,Fluminense,18,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
472,Júnior Moraes,ua UKR,DF,Corinthians,35,1987,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
473,João Moreira,pt POR,DF,São Paulo,18,2004,0.8,0,1,1,100.0,1.29,1.29,0.00,0.00,24.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
474,Everton Morelli,br BRA,MF,Goiás,25,1997,28.7,3,32,6,18.8,1.11,0.21,0.09,0.50,21.3,0,0,0,1.6,1.6,0.05,+1.4,+1.4,Matches
475,Alfredo Morelos,co COL,"FW,MF",Santos,26,1996,0.9,0,3,2,66.7,3.51,2.34,0.00,0.00,18.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
476,Marcelino Moreno,ar ARG,MF,Coritiba,28,1994,25.6,2,35,13,37.1,1.37,0.51,0.06,0.15,21.2,5,0,0,1.9,1.9,0.05,+0.1,+0.1,Matches
477,Pedro Morisco,br BRA,GK,Coritiba,19,2004,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
478,Gabriel Moscardo,br BRA,MF,Corinthians,17,2005,12.6,1,9,2,22.2,0.72,0.16,0.11,0.50,25.2,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
479,Henry Mosquera,co COL,"FW,MF",RB Bragantino,21,2001,11.8,2,28,7,25.0,2.38,0.59,0.07,0.29,20.6,0,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches
480,Gustavo Mosquito,br BRA,"FW,MF",Corinthians,25,1997,3.4,1,3,2,66.7,0.88,0.58,0.33,0.50,16.1,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
481,Hugo Moura,br BRA,MF,Ath Paranaense,25,1998,14.7,0,11,1,9.1,0.75,0.07,0.00,0.00,28.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
482,Lucas Moura,br BRA,"FW,MF",São Paulo,30,1992,9.6,1,15,5,33.3,1.56,0.52,0.07,0.20,21.8,5,0,0,1.0,1.0,0.07,0.0,0.0,Matches
483,Neto Moura,br BRA,MF,Cruzeiro,26,1996,5.5,0,7,1,14.3,1.26,0.18,0.00,0.00,22.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
484,Lucas Mugni,ar ARG,"MF,FW",Bahia,31,1992,4.0,0,4,2,50.0,1.00,0.50,0.00,0.00,24.2,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
485,Murillo,br BRA,DF,Corinthians,20,2002,12.9,0,7,1,14.3,0.54,0.08,0.00,0.00,15.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
486,Andrey Ramos do Nascimento,br BRA,MF,Coritiba,24,1998,12.5,1,20,6,30.0,1.60,0.48,0.05,0.17,30.8,6,0,0,0.6,0.6,0.03,+0.4,+0.4,Matches
487,Bruno Nascimento,br BRA,"FW,MF",Cruzeiro,25,1997,31.3,8,76,27,35.5,2.43,0.86,0.08,0.22,21.2,8,2,4,9.5,6.4,0.08,-1.5,-0.4,Matches
488,Matheus Nascimento,br BRA,"FW,MF",Botafogo (RJ),18,2004,1.1,1,3,2,66.7,2.76,1.84,0.33,0.50,9.4,0,0,0,0.8,0.8,0.28,+0.2,+0.2,Matches
489,Nata,br BRA,"FW,DF",Grêmio,21,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
490,Natan,br BRA,DF,RB Bragantino,21,2001,9.3,0,5,1,20.0,0.54,0.11,0.00,0.00,11.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
491,Natanael,br BRA,DF,Coritiba,21,2002,27.8,0,17,8,47.1,0.61,0.29,0.00,0.00,21.3,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
492,Nathan,br BRA,DF,Santos,21,2001,5.5,0,2,0,0.0,0.37,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
493,Nathan,br BRA,"MF,FW",Grêmio,26,1996,7.6,1,18,6,33.3,2.37,0.79,0.06,0.17,21.3,1,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
494,Rafael Navarro,br BRA,FW,Palmeiras,22,2000,1.4,1,4,2,50.0,2.88,1.44,0.25,0.50,8.2,0,0,0,1.2,1.2,0.30,-0.2,-0.2,Matches
