Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
223,Bruno Fabiano Alves,br BRA,DF,Grêmio,31,1991,27.2,899,854,43,40,0,0,3,1,0,0,0,0,751,2,3,Matches
224,Fabinho,br BRA,MF,Palmeiras,20,2002,6.5,316,311,4,3,1,12,2,1,0,0,0,0,261,1,7,Matches
225,Fábio,br BRA,GK,Fluminense,42,1980,35.0,1049,717,330,35,0,3,0,1,0,0,0,0,940,2,2,Matches
226,Fábio,br BRA,"DF,MF",Grêmio,32,1990,9.7,473,397,76,3,0,2,40,73,0,0,0,0,359,0,9,Matches
227,Fagner,br BRA,DF,Corinthians,33,1989,23.3,1571,1227,341,50,7,10,119,255,36,0,36,0,1207,3,25,Matches
228,Willian Farias,br BRA,MF,Coritiba,33,1989,10.7,452,438,14,12,2,3,1,2,0,0,0,0,384,0,8,Matches
229,Luiz Felipe,br BRA,DF,Santos,29,1993,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
230,Marcos Felipe,br BRA,GK,Bahia,26,1996,37.0,1138,762,373,122,0,6,0,0,0,0,0,0,793,3,1,Matches
231,Matheus Felipe,br BRA,DF,Ath Paranaense,24,1998,5.9,245,230,14,11,0,4,0,3,0,0,0,0,205,1,1,Matches
232,Danilo Fernandes,br BRA,GK,Bahia,34,1988,0.4,14,9,5,1,0,0,0,0,0,0,0,0,9,0,0,Matches
233,Lucas Fernandes,br BRA,MF,Botafogo (RJ),25,1997,5.3,255,212,42,15,0,2,29,0,24,6,16,0,209,1,3,Matches
234,Matheus Fernandes,br BRA,MF,RB Bragantino,24,1998,26.0,1259,1223,34,24,4,4,11,7,0,0,0,0,1037,2,27,Matches
235,Nathan Fernandes,br BRA,"FW,MF",Grêmio,17,2005,4.2,113,113,0,0,0,0,4,0,0,0,0,0,84,0,4,Matches
236,Gatito Fernández,py PAR,GK,Botafogo (RJ),34,1988,0.5,13,9,4,1,0,0,0,0,0,0,0,0,11,0,0,Matches
237,Leonardo Fernández,uy URU,"MF,FW",Fluminense,24,1998,7.3,433,368,62,23,0,11,68,11,27,8,13,3,308,3,13,Matches
238,Rodrigo Fernández,uy URU,MF,Santos,27,1996,22.4,899,851,46,44,0,21,6,2,0,0,0,0,707,2,10,Matches
239,Fernandinho,br BRA,MF,Ath Paranaense,37,1985,21.5,1222,1154,66,53,8,22,13,13,0,0,0,0,1029,2,15,Matches
240,Fernando,br BRA,FW,Cruzeiro,17,2005,0.1,5,5,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
241,Fernando,br BRA,DF,Ath Paranaense,23,1999,5.3,322,264,57,3,0,2,21,54,0,0,0,0,260,1,5,Matches
242,Nahuel Ferraresi,ve VEN,FW,São Paulo,24,1998,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
243,Ferreira,br BRA,"FW,MF",Grêmio,25,1997,12.7,523,498,20,3,3,3,28,3,11,2,4,0,416,5,17,Matches
244,Sebastián Ferreira,py PAR,"FW,MF",Vasco da Gama,24,1998,4.9,116,106,10,2,1,0,2,1,0,0,0,0,89,0,7,Matches
245,Figueiredo,br BRA,"FW,MF",Vasco da Gama,21,2001,7.3,248,231,17,4,0,3,21,4,4,4,0,0,164,0,8,Matches
246,Tobias Figueiredo,pt POR,DF,Fortaleza,28,1994,3.8,183,180,3,3,0,1,0,0,0,0,0,0,158,0,1,Matches
247,Matheus França,br BRA,"MF,FW",Flamengo,18,2004,4.1,152,147,5,1,1,2,8,1,1,0,0,0,111,0,8,Matches
