Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Kaiky,BRA,DF,Almería,18,2004,6.5,224,208,16,15,0,9,1,1,0,0,0,0,182,0,2
Lee Kang-in,KOR,"MF,FW",Mallorca,21,2001,31.4,1103,883,207,81,7,15,201,12,90,36,43,0,772,13,35
Jon Karrikaburu,ESP,FW,Real Sociedad,19,2002,1.0,18,18,0,0,1,0,1,0,0,0,0,0,11,0,0
Kenedy,BRA,"FW,DF",Valladolid,26,1996,3.1,86,80,5,0,0,1,5,2,1,0,0,0,57,1,4
Franck Kessié,CIV,MF,Barcelona,25,1996,11.0,457,441,13,6,2,5,5,3,1,0,0,0,391,3,5
Kiké,ESP,FW,Osasuna,32,1989,11.3,244,229,13,0,0,1,7,1,0,0,0,0,167,2,9
Justin Kluivert,NED,"FW,MF",Valencia,23,1999,16.1,399,345,49,8,0,2,64,6,31,5,10,0,276,5,12
Koke,ESP,MF,Atlético Madrid,30,1992,28.3,2038,1964,59,52,8,17,24,4,0,0,0,0,1784,15,30
Luca Koleosho,ITA,"FW,DF",Espanyol,17,2004,0.7,28,28,0,0,0,0,3,0,0,0,0,0,18,0,2
Geoffrey Kondogbia,CTA,MF,Atlético Madrid,29,1993,11.2,634,620,14,13,0,11,0,1,0,0,0,0,567,0,2
Jules Koundé,FRA,DF,Barcelona,23,1998,27.0,2024,1840,180,50,4,11,36,130,0,0,0,0,1775,4,25
Toni Kroos,GER,MF,Real Madrid,32,1990,23.9,2482,2246,223,123,4,41,122,15,84,27,30,1,2255,13,12
Takefusa Kubo,JPN,"FW,MF",Real Sociedad,21,2001,27.1,875,823,42,5,3,5,72,5,29,10,12,1,621,10,35
César de la Hoz,ESP,MF,Almería,30,1992,18.6,556,538,13,13,1,6,3,0,0,0,0,0,435,5,7
Luca de la Torre,USA,MF,Celta Vigo,24,1998,16.5,613,600,5,4,2,2,21,1,0,0,0,0,510,8,19
Érik Lamela,ARG,"FW,MF",Sevilla,30,1992,20.5,770,732,30,6,1,0,33,6,15,5,3,0,588,8,33
Cyle Larin,CAN,FW,Valladolid,27,1995,16.3,247,241,6,0,1,2,6,0,0,0,0,0,170,0,16
