Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Abner,BRA,DF,Betis,22,2000,6.7,8,1.18,5,1,1,1,0,0,1,0.15,1,0,0,0,0,0
Álvaro Aceves,ESP,GK,Valladolid,19,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marcos Acuña,ARG,DF,Sevilla,30,1991,21.2,65,3.04,45,14,3,3,0,0,4,0.19,4,0,0,0,0,0
Julen Agirrezabala,ESP,GK,Athletic Club,21,2000,7.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Álvaro Aguado,ESP,MF,Valladolid,26,1996,21.0,76,3.62,56,13,3,0,4,0,4,0.19,2,2,0,0,0,0
Joseph Aidoo,GHA,DF,Celta Vigo,26,1995,34.7,10,0.29,8,0,0,1,0,1,0,0.0,0,0,0,0,0,0
Sergio Akieme,ESP,DF,Almería,24,1997,25.5,36,1.41,29,1,1,3,0,2,3,0.12,2,0,1,0,0,0
Babatunde Akinsola,NGA,FW,Valladolid,19,2003,0.1,1,8.18,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Paul Akouokou,CIV,"MF,DF",Betis,24,1997,5.0,2,0.4,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0
David Alaba,AUT,DF,Real Madrid,30,1992,20.4,27,1.32,23,3,0,1,0,0,4,0.2,3,0,0,1,0,0
Ángel Alarcón,ESP,"FW,MF",Barcelona,18,2004,0.3,1,3.46,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Tomás Alarcón,CHI,MF,Cádiz,23,1999,2.5,4,1.61,2,1,0,0,1,0,0,0.0,0,0,0,0,0,0
Jordi Alba,ESP,DF,Barcelona,33,1989,15.8,59,3.74,52,5,1,1,0,0,6,0.38,5,1,0,0,0,0
Raúl Albiol,ESP,DF,Villarreal,36,1985,23.5,12,0.51,12,0,0,0,0,0,0,0.0,0,0,0,0,0,0
