Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Abner,BRA,DF,Betis,22,2000,6.7,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0
Álvaro Aceves,ESP,GK,Valladolid,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
Marcos Acuña,ARG,DF,Sevilla,30,1991,21.2,10,3,0,32,34,1,147,23,36,0,1,0,141,30,18,62.5
Julen Agirrezabala,ESP,GK,Athletic Club,21,2000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0
Álvaro Aguado,ESP,MF,Valladolid,26,1996,21.0,4,0,0,13,33,0,57,13,15,0,1,0,130,15,17,46.9
Joseph Aidoo,GHA,DF,Celta Vigo,26,1995,34.7,6,1,1,18,18,0,2,31,36,0,1,0,214,63,63,50.0
Sergio Akieme,ESP,DF,Almería,24,1997,25.5,5,0,0,20,18,0,70,14,16,0,0,0,127,14,15,48.3
Babatunde Akinsola,NGA,FW,Valladolid,19,2003,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
Paul Akouokou,CIV,"MF,DF",Betis,24,1997,5.0,3,0,0,7,4,0,0,12,9,0,0,0,27,6,7,46.2
David Alaba,AUT,DF,Real Madrid,30,1992,20.4,3,0,0,9,3,0,26,14,11,0,1,0,94,11,8,57.9
Ángel Alarcón,ESP,"FW,MF",Barcelona,18,2004,0.3,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0.0
Tomás Alarcón,CHI,MF,Cádiz,23,1999,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0
Jordi Alba,ESP,DF,Barcelona,33,1989,15.8,6,1,1,11,4,10,91,11,18,0,0,0,118,8,15,34.8
Raúl Albiol,ESP,DF,Villarreal,36,1985,23.5,6,0,0,17,13,1,1,14,17,0,0,0,108,38,25,60.3
Rubén Alcaraz,ESP,MF,Cádiz,31,1991,22.7,11,1,1,45,33,0,44,19,31,0,1,0,159,30,29,50.8
Omar Alderete,PAR,DF,Getafe,25,1996,22.7,9,0,0,35,10,0,7,26,20,0,0,0,141,61,31,66.3
Iván Alejo,ESP,"MF,FW",Cádiz,27,1995,14.6,13,1,1,38,44,2,108,5,21,0,1,0,76,25,17,59.5
Carles Aleñá,ESP,"MF,FW",Getafe,24,1998,23.5,12,1,1,60,50,3,43,4,10,0,1,0,120,15,38,28.3
Alejandro Alfaro,ESP,MF,Elche,20,2002,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Ángel Algobia,ESP,MF,Getafe,23,1999,12.6,3,0,0,31,10,0,11,3,13,0,0,0,68,7,21,25.0
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,18,2004,6.5,1,0,0,11,12,3,30,2,10,1,0,0,34,5,15,25.0
Domingos André Ribeiro Almeida,POR,MF,Valencia,22,2000,28.2,3,0,0,31,40,1,127,20,42,0,0,0,161,14,29,32.6
Marcos Alonso,ESP,DF,Barcelona,31,1990,13.0,3,0,0,10,8,0,23,11,10,0,1,0,85,26,10,72.2
Carlos Álvarez,ESP,MF,Sevilla,18,2003,0.1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
Gastón Álvarez,URU,DF,Getafe,22,2000,16.7,7,1,0,27,12,0,23,15,30,0,1,0,53,31,31,50.0
Yeray Álvarez,ESP,DF,Athletic Club,27,1995,25.9,7,1,0,22,22,1,9,48,23,0,2,0,194,55,39,58.5
