Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Adrià Altimira,ESP,"DF,MF",Villarreal,22,2001,8.6,552,38,200,278,82,2,552,16,11,68.8,4,25.0,257,1338,644,10,6,0,7,5,329,15
Sergi Altimira,ESP,MF,Betis,21,2001,6.3,391,22,93,236,64,6,391,11,6,54.5,5,45.5,224,1089,465,10,4,0,8,9,278,8
Gastón Álvarez,URU,DF,Getafe,23,2000,28.2,1325,125,508,648,178,22,1325,21,9,42.9,11,52.4,558,2517,1283,11,12,0,27,10,624,40
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,20,2003,8.5,536,16,96,188,263,32,536,29,16,55.2,11,37.9,320,1875,1108,36,15,16,15,13,359,80
Yeray Álvarez,ESP,DF,Athletic Club,28,1995,12.8,810,52,344,440,31,7,810,3,2,66.7,1,33.3,428,2689,1856,13,9,1,8,0,485,2
Selim Amallah,MAR,"FW,MF",Valencia,26,1996,6.7,293,7,48,133,117,16,293,42,18,42.9,15,35.7,172,954,358,7,13,2,29,15,191,36
Amath,SEN,"FW,MF",Mallorca,27,1996,4.4,198,6,32,79,90,21,198,25,8,32.0,15,60.0,119,830,478,19,8,9,22,8,130,30
Miguel Ángel Rubio,ESP,DF,Granada,25,1998,17.3,975,128,567,381,30,17,975,7,5,71.4,1,14.3,491,2583,1586,7,5,0,10,2,559,1
Fabrizio Angileri,ARG,"DF,MF",Getafe,29,1994,1.8,121,7,34,52,37,1,121,4,2,50.0,1,25.0,59,237,92,2,2,0,1,0,62,6
Mauro Arambarri,URU,MF,Getafe,27,1995,3.8,188,9,30,115,44,6,188,6,2,33.3,4,66.7,110,548,214,2,6,0,5,5,104,6
Jon Aramburu,VEN,DF,Real Sociedad,21,2002,6.0,392,22,92,214,91,3,392,7,2,28.6,4,57.1,171,726,347,6,10,0,6,6,207,25
Julian Araujo,MEX,DF,Las Palmas,21,2001,16.2,1012,78,306,535,178,14,1012,20,12,60.0,6,30.0,489,1908,926,23,16,3,29,2,557,47
Ronald Araújo,URU,DF,Barcelona,24,1999,22.2,1811,157,732,1000,92,34,1811,11,8,72.7,2,18.2,1177,6282,3750,24,14,2,14,4,1350,11
Adu Ares,ESP,FW,Athletic Club,21,2001,2.9,147,1,21,63,70,6,147,24,15,62.5,7,29.2,103,881,361,13,3,5,8,4,110,39
Jesús Areso,ESP,DF,Osasuna,24,1999,29.6,1669,85,367,682,643,23,1669,82,44,53.7,34,41.5,742,4479,2388,78,60,8,52,25,895,180
Matias Arezo,URU,FW,Granada,20,2002,4.1,126,5,14,70,45,11,126,1,1,100.0,0,0.0,56,312,182,6,3,4,6,4,78,17
Iñigo Arguibide,ESP,DF,Osasuna,18,2005,0.2,8,0,4,3,1,0,8,0,0,,0,,1,3,0,0,0,0,1,0,1,0
José Arnaiz,ESP,"FW,MF",Osasuna,28,1995,10.3,449,3,37,158,256,30,449,29,11,37.9,15,51.7,259,1677,747,23,20,7,27,24,299,85
Sergio Arribas,ESP,"MF,FW",Almería,21,2001,22.7,1010,13,118,498,411,78,1010,49,16,32.7,31,63.3,554,3041,1685,56,39,12,40,16,648,94
Kepa Arrizabalaga,ESP,GK,Real Madrid,28,1994,13.3,474,412,471,3,0,0,474,0,0,,0,,313,1259,808,0,0,0,0,0,300,0
Iago Aspas,ESP,FW,Celta Vigo,35,1987,30.1,1546,11,99,650,816,137,1541,47,29,61.7,12,25.5,995,5117,2527,84,61,25,52,36,1146,202
Ezequiel Ávila,ARG,"FW,MF",Osasuna,29,1994,9.6,474,5,41,183,253,28,474,18,5,27.8,10,55.6,236,1037,429,14,16,5,12,1,314,75
Ezequiel Ávila,ARG,FW,Betis,29,1994,3.3,125,4,9,47,69,10,125,4,2,50.0,1,25.0,89,478,184,7,4,1,5,3,106,31
César Azpilicueta,ESP,DF,Atlético Madrid,33,1989,15.8,1168,83,381,613,179,12,1168,6,1,16.7,3,50.0,624,3341,2153,39,22,3,10,6,752,39
Iddrisu Baba,GHA,MF,Almería,27,1996,15.9,822,47,254,521,58,4,822,19,14,73.7,3,15.8,460,2217,844,1,3,0,18,7,482,5
Srđan Babić,SRB,DF,Almería,27,1996,1.0,69,5,29,38,2,1,69,0,0,,0,,44,285,199,1,1,0,0,0,49,0
Loïc Bade,FRA,DF,Sevilla,23,2000,25.3,1648,184,920,692,55,24,1648,21,11,52.4,10,47.6,846,4490,2358,15,8,1,12,4,1000,3
Alex Baena,ESP,"MF,FW",Villarreal,22,2001,28.7,1550,29,224,650,693,102,1549,53,26,49.1,24,45.3,908,5282,2765,84,58,23,66,33,1120,181
Eric Bailly,CIV,DF,Villarreal,29,1994,9.3,459,79,282,175,9,3,459,8,7,87.5,0,0.0,243,1616,816,3,2,0,4,3,288,1
Cédric Bakambu,COD,FW,Betis,32,1991,2.2,66,0,3,35,28,11,66,3,1,33.3,2,66.7,35,210,110,5,2,3,11,4,50,12
Alejandro Balde,ESP,DF,Barcelona,19,2003,15.3,979,35,215,394,384,40,979,53,20,37.7,20,37.7,567,3770,2213,73,36,20,32,16,664,141
Iván Balliu,ALB,DF,Rayo Vallecano,31,1992,31.9,1736,83,477,797,471,33,1736,20,7,35.0,10,50.0,708,3600,1825,50,29,5,28,11,876,100
Jonathan Bamba,CIV,"MF,FW",Celta Vigo,27,1996,22.0,1037,12,119,457,487,91,1037,106,42,39.6,53,50.0,754,4987,2946,107,48,31,49,24,805,169
Léo Baptistão,BRA,FW,Almería,30,1992,20.4,793,23,123,416,267,67,793,28,12,42.9,14,50.0,399,2131,1118,26,21,8,38,17,532,88
Kike Barja,ESP,"FW,MF",Osasuna,26,1997,3.4,165,5,15,55,98,14,165,22,11,50.0,8,36.4,109,712,357,17,8,5,17,7,128,41
Ander Barrenetxea,ESP,"FW,MF",Real Sociedad,21,2001,15.9,794,8,82,307,415,68,794,78,38,48.7,30,38.5,526,3503,1479,56,35,22,55,45,586,163
Pablo Barrios,ESP,MF,Atlético Madrid,20,2003,17.3,1085,39,239,622,238,15,1085,47,35,74.5,9,19.1,660,3667,1661,37,39,3,40,23,776,56
Marc Bartra,ESP,DF,Betis,32,1991,2.5,141,22,86,49,7,4,141,2,2,100.0,0,0.0,91,406,215,2,3,0,1,2,90,0
Augusto Batalla,ARG,GK,Granada,27,1996,17.0,734,581,719,14,2,2,734,3,3,100.0,0,0.0,408,2194,1348,0,0,0,1,0,301,1
Bebé,CPV,"MF,FW",Rayo Vallecano,33,1990,2.4,145,2,8,55,88,7,144,22,12,54.5,9,40.9,85,848,390,17,10,5,10,3,97,24
Sheraldo Becker,SUR,"FW,MF",Real Sociedad,28,1995,8.6,300,0,13,85,207,42,300,8,4,50.0,3,37.5,178,1223,591,28,9,8,15,5,232,87
Héctor Bellerín,ESP,DF,Betis,28,1995,19.0,1170,53,349,544,286,24,1170,48,17,35.4,30,62.5,580,3153,1735,32,25,7,26,17,682,80
Jude Bellingham,ENG,MF,Real Madrid,20,2003,25.7,1897,21,202,978,746,135,1896,97,50,51.5,35,36.1,1235,6812,3434,85,73,26,53,40,1554,177
Fran Beltrán,ESP,MF,Celta Vigo,24,1999,27.0,1593,50,326,985,297,12,1593,24,12,50.0,12,50.0,937,4446,2041,28,33,2,28,20,1060,30
Carlos Benavídez,URU,MF,Alavés,25,1998,12.6,628,35,173,348,113,11,628,4,2,50.0,2,50.0,222,1090,508,9,10,1,11,5,286,5
