Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
224,Ander Guevara,es ESP,MF,Alavés,26,1997,32.6,1735,75,409,1029,320,16,1735,32,19,59.4,10,31.3,840,4759,2604,53,43,3,29,24,1089,37,Matches
225,Hugo Guillamón,es ESP,MF,Valencia,23,2000,14.6,789,34,183,496,114,5,789,2,2,100.0,0,0.0,382,1402,605,6,5,0,8,8,533,10,Matches
226,Marc Guiu,es ESP,"FW,MF",Barcelona,17,2006,0.8,20,0,0,10,10,4,20,0,0,,0,,13,47,13,1,1,1,3,2,16,8,Matches
227,Arda Güler,tr TUR,"FW,MF",Real Madrid,18,2005,4.2,273,7,39,114,125,19,273,22,11,50.0,9,40.9,172,1034,609,16,6,6,7,5,205,25,Matches
228,Gerard Gumbau,es ESP,MF,Granada,28,1994,29.7,1745,44,396,1016,351,13,1745,18,10,55.6,5,27.8,878,3456,1609,20,13,2,18,15,1100,29,Matches
229,İlkay Gündoğan,de GER,MF,Barcelona,32,1990,33.3,2733,42,376,1538,841,77,2731,61,34,55.7,19,31.1,1608,8881,4365,71,88,9,38,28,2109,116,Matches
230,Jon Guridi,es ESP,MF,Alavés,28,1995,29.8,1075,32,172,584,333,74,1075,38,14,36.8,21,55.3,536,2805,1392,30,25,3,36,28,700,92,Matches
231,Gorka Guruzeta,es ESP,FW,Athletic Club,26,1996,24.6,923,22,77,456,399,110,922,33,19,57.6,13,39.4,446,1830,688,18,13,4,62,29,623,102,Matches
232,Miguel Gutiérrez,es ESP,DF,Girona,22,2001,33.7,2182,116,630,933,640,61,2182,63,25,39.7,30,47.6,1278,6954,3076,74,69,15,57,32,1427,184,Matches
233,Munir El Haddadi,ma MAR,FW,Las Palmas,27,1995,27.2,1043,14,108,516,430,70,1042,61,21,34.4,35,57.4,671,3237,1220,26,30,8,55,48,792,167,Matches
