Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
35,Jesús Areso,es ESP,DF,Osasuna,24,1999,29.6,3,0,0,30,20,3,110,18,24,0,0,0,130,28,21,57.1,Matches
36,Matias Arezo,uy URU,FW,Granada,20,2002,4.1,1,0,0,6,1,8,4,1,3,0,0,0,13,11,17,39.3,Matches
37,Iñigo Arguibide,es ESP,DF,Osasuna,18,2005,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
38,José Arnaiz,es ESP,"FW,MF",Osasuna,28,1995,10.3,3,0,0,8,19,3,46,3,8,0,0,0,39,11,14,44.0,Matches
39,Sergio Arribas,es ESP,"MF,FW",Almería,21,2001,22.7,1,0,0,14,42,1,60,16,17,0,0,0,91,19,24,44.2,Matches
40,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,13.3,1,0,0,0,2,0,0,0,0,0,0,0,17,2,0,100.0,Matches
41,Iago Aspas,es ESP,FW,Celta Vigo,35,1987,30.1,6,1,0,19,59,12,149,10,6,1,0,0,99,7,30,18.9,Matches
42,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29,1994,9.6,3,2,0,8,20,4,79,4,2,0,0,0,37,10,20,33.3,Matches
43,Ezequiel Ávila,ar ARG,FW,Betis,29,1994,3.3,4,1,1,3,12,0,12,1,1,0,0,0,9,4,5,44.4,Matches
44,César Azpilicueta,es ESP,DF,Atlético Madrid,33,1989,15.8,4,0,0,29,12,0,11,16,14,0,0,0,72,21,23,47.7,Matches
45,Iddrisu Baba,gh GHA,MF,Almería,27,1996,15.9,5,0,0,29,34,0,4,11,26,0,1,0,123,30,17,63.8,Matches
46,Srđan Babić,rs SRB,DF,Almería,27,1996,1.0,0,0,0,2,0,0,0,0,2,0,0,0,4,3,1,75.0,Matches
47,Loïc Bade,fr FRA,DF,Sevilla,23,2000,25.3,5,1,0,24,10,1,2,38,41,0,0,0,151,76,38,66.7,Matches
48,Alex Baena,es ESP,"MF,FW",Villarreal,22,2001,28.7,11,1,0,52,57,8,175,13,21,1,1,0,116,8,12,40.0,Matches
49,Eric Bailly,ci CIV,DF,Villarreal,29,1994,9.3,4,0,0,6,5,0,0,9,3,0,0,1,51,15,7,68.2,Matches
50,Cédric Bakambu,cd COD,FW,Betis,32,1991,2.2,1,0,0,4,3,3,0,0,0,0,0,0,4,3,7,30.0,Matches
51,Alejandro Balde,es ESP,DF,Barcelona,19,2003,15.3,1,0,0,9,18,4,37,5,11,0,0,0,67,12,13,48.0,Matches
52,Iván Balliu,al ALB,DF,Rayo Vallecano,31,1992,31.9,4,0,0,41,30,8,68,29,31,0,0,0,127,30,27,52.6,Matches
53,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,27,1996,22.0,0,0,0,15,65,7,50,18,9,0,0,0,101,7,22,24.1,Matches
54,Léo Baptistão,br BRA,FW,Almería,30,1992,20.4,6,1,0,21,29,13,27,11,16,0,0,0,85,48,70,40.7,Matches
55,Kike Barja,es ESP,"FW,MF",Osasuna,26,1997,3.4,3,0,0,8,4,1,23,2,2,0,0,0,16,3,5,37.5,Matches
56,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,21,2001,15.9,1,0,0,27,22,3,47,6,21,0,0,0,83,14,24,36.8,Matches
57,Pablo Barrios,es ESP,MF,Atlético Madrid,20,2003,17.3,5,0,0,23,24,0,16,28,25,0,0,0,94,14,21,40.0,Matches
58,Marc Bartra,es ESP,DF,Betis,32,1991,2.5,1,0,0,4,1,0,0,3,3,0,0,0,15,4,4,50.0,Matches
59,Augusto Batalla,ar ARG,GK,Granada,27,1996,17.0,3,0,0,0,2,0,0,0,0,0,0,0,28,3,0,100.0,Matches
60,Bebé,cv CPV,"MF,FW",Rayo Vallecano,33,1990,2.4,1,0,0,0,2,3,28,0,2,0,0,0,12,1,4,20.0,Matches
61,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,28,1995,8.6,1,0,0,11,5,6,46,1,2,0,0,0,27,5,12,29.4,Matches
62,Héctor Bellerín,es ESP,DF,Betis,28,1995,19.0,0,1,0,21,10,1,40,22,22,0,0,1,86,16,33,32.7,Matches
63,Jude Bellingham,eng ENG,MF,Real Madrid,20,2003,25.7,5,1,0,32,72,4,21,21,34,0,0,0,118,24,25,49.0,Matches
64,Fran Beltrán,es ESP,MF,Celta Vigo,24,1999,27.0,2,0,0,28,16,2,19,18,32,0,2,0,160,13,33,28.3,Matches
65,Carlos Benavídez,uy URU,MF,Alavés,25,1998,12.6,5,0,0,38,9,1,4,19,35,0,2,0,72,35,30,53.8,Matches
66,Yuri Berchiche,es ESP,DF,Athletic Club,33,1990,21.4,5,0,0,29,33,0,44,20,25,0,1,1,119,33,20,62.3,Matches
