Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Nabil Aberdin,FRA,DF,Getafe,20,2002,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Abner,BRA,DF,Betis,23,2000,15.6,14,0.9,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Abdel Abqar,MAR,DF,Alavés,24,1999,25.7,12,0.47,9,0,0,2,1,0,0,0.0,0,0,0,0,0,0
Marcos Acuña,ARG,DF,Sevilla,31,1991,14.4,49,3.42,28,15,3,0,2,1,4,0.28,1,3,0,0,0,0
Julen Agirrezabala,ESP,GK,Athletic Club,22,2000,2.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lucien Agoume,FRA,MF,Sevilla,21,2002,8.6,21,2.43,19,0,2,0,0,0,1,0.12,1,0,0,0,0,0
Joseph Aidoo,GHA,DF,Celta Vigo,27,1995,4.5,6,1.33,4,0,1,1,0,0,1,0.22,0,0,0,1,0,0
Ilias Akhomach,MAR,"MF,FW",Villarreal,19,2004,16.8,57,3.4,34,2,13,2,5,1,3,0.18,2,0,1,0,0,0
Sergio Akieme,ESP,DF,Almería,25,1997,18.6,32,1.72,22,3,4,1,2,0,1,0.05,0,0,0,1,0,0
Paul Akouokou,CIV,MF,Betis,25,1997,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
David Alaba,AUT,DF,Real Madrid,31,1992,12.8,18,1.4,13,4,0,1,0,0,1,0.08,0,1,0,0,0,0
Raúl Albiol,ESP,DF,Villarreal,37,1985,22.6,4,0.18,2,0,0,2,0,0,1,0.04,1,0,0,0,0,0
Rubén Alcaraz,ESP,MF,Cádiz,32,1991,34.8,75,2.15,52,10,1,7,2,3,5,0.14,3,0,0,2,0,0
Omar Alderete,PAR,DF,Getafe,26,1996,24.4,31,1.27,24,0,4,2,1,0,3,0.12,3,0,0,0,0,0
Iván Alejo,ESP,MF,Cádiz,28,1995,18.8,37,1.97,25,3,1,0,8,0,5,0.27,3,0,0,0,2,0
Carles Aleñá,ESP,MF,Getafe,25,1998,11.3,36,3.18,21,12,0,1,1,1,2,0.18,1,1,0,0,0,0
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,19,2004,2.8,3,1.08,1,0,1,0,1,0,1,0.36,0,0,0,0,1,0
Tadeo Allende,ARG,"MF,FW",Celta Vigo,24,1999,3.7,9,2.41,4,0,1,3,1,0,0,0.0,0,0,0,0,0,0
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,23,2000,10.7,29,2.71,18,3,3,3,2,0,1,0.09,1,0,0,0,0,0
Marcos Alonso,ESP,DF,Barcelona,32,1990,2.8,8,2.86,7,1,0,0,0,0,1,0.36,1,0,0,0,0,0
Adrià Altimira,ESP,"DF,MF",Villarreal,22,2001,8.6,6,0.7,6,0,0,0,0,0,1,0.12,1,0,0,0,0,0
Sergi Altimira,ESP,MF,Betis,21,2001,6.3,14,2.22,8,1,2,1,2,0,0,0.0,0,0,0,0,0,0
Gastón Álvarez,URU,DF,Getafe,23,2000,28.2,22,0.78,17,1,1,3,0,0,1,0.04,1,0,0,0,0,0
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,20,2003,8.5,31,3.66,25,2,4,0,0,0,2,0.24,1,0,1,0,0,0
Yeray Álvarez,ESP,DF,Athletic Club,28,1995,12.8,10,0.78,8,2,0,0,0,0,2,0.16,2,0,0,0,0,0
Selim Amallah,MAR,"FW,MF",Valencia,26,1996,6.7,14,2.09,7,0,3,0,4,0,1,0.15,1,0,0,0,0,0
Amath,SEN,"FW,MF",Mallorca,27,1996,4.4,17,3.87,6,0,5,2,3,1,0,0.0,0,0,0,0,0,0
Miguel Ángel Rubio,ESP,DF,Granada,25,1998,17.3,6,0.35,5,0,1,0,0,0,1,0.06,1,0,0,0,0,0
Fabrizio Angileri,ARG,"DF,MF",Getafe,29,1994,1.8,9,4.91,8,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Mauro Arambarri,URU,MF,Getafe,27,1995,3.8,9,2.39,8,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Jon Aramburu,VEN,DF,Real Sociedad,21,2002,6.0,4,0.66,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Julian Araujo,MEX,DF,Las Palmas,21,2001,16.2,31,1.91,25,2,2,0,1,1,1,0.06,1,0,0,0,0,0
Ronald Araújo,URU,DF,Barcelona,24,1999,22.2,22,0.99,14,0,1,7,0,0,4,0.18,1,0,0,3,0,0
Adu Ares,ESP,FW,Athletic Club,21,2001,2.9,3,1.02,2,0,1,0,0,0,1,0.34,1,0,0,0,0,0
Jesús Areso,ESP,DF,Osasuna,24,1999,29.6,70,2.37,57,5,6,1,1,0,12,0.41,9,1,2,0,0,0
Matias Arezo,URU,FW,Granada,20,2002,4.1,5,1.22,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Iñigo Arguibide,ESP,DF,Osasuna,18,2005,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
José Arnaiz,ESP,"FW,MF",Osasuna,28,1995,10.3,40,3.88,13,12,2,5,8,0,5,0.48,1,2,0,1,1,0
Sergio Arribas,ESP,"MF,FW",Almería,21,2001,22.7,92,4.04,63,12,3,6,6,2,9,0.4,5,0,1,1,1,1
Kepa Arrizabalaga,ESP,GK,Real Madrid,28,1994,13.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Iago Aspas,ESP,FW,Celta Vigo,35,1987,30.1,172,5.72,120,30,7,8,7,0,20,0.67,14,2,2,1,1,0
Ezequiel Ávila,ARG,"FW,MF",Osasuna,29,1994,9.6,37,3.85,23,9,0,4,1,0,7,0.73,3,2,0,2,0,0
Ezequiel Ávila,ARG,FW,Betis,29,1994,3.3,9,2.72,3,0,2,2,2,0,1,0.3,0,0,0,0,1,0
César Azpilicueta,ESP,DF,Atlético Madrid,33,1989,15.8,32,2.03,30,2,0,0,0,0,3,0.19,3,0,0,0,0,0
Iddrisu Baba,GHA,MF,Almería,27,1996,15.9,18,1.13,14,0,0,1,0,3,0,0.0,0,0,0,0,0,0
Srđan Babić,SRB,DF,Almería,27,1996,1.0,3,3.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Loïc Bade,FRA,DF,Sevilla,23,2000,25.3,20,0.79,18,0,0,1,0,1,4,0.16,3,0,0,1,0,0
Alex Baena,ESP,"MF,FW",Villarreal,22,2001,28.7,151,5.27,93,34,10,9,2,3,22,0.77,14,5,0,2,0,1
Eric Bailly,CIV,DF,Villarreal,29,1994,9.3,3,0.32,2,0,1,0,0,0,1,0.11,1,0,0,0,0,0
Cédric Bakambu,COD,FW,Betis,32,1991,2.2,5,2.32,3,0,0,1,1,0,0,0.0,0,0,0,0,0,0
Alejandro Balde,ESP,DF,Barcelona,19,2003,15.3,29,1.9,26,0,2,0,1,0,4,0.26,4,0,0,0,0,0
Iván Balliu,ALB,DF,Rayo Vallecano,31,1992,31.9,51,1.6,36,9,2,3,0,1,3,0.09,0,2,0,1,0,0
Jonathan Bamba,CIV,"MF,FW",Celta Vigo,27,1996,22.0,79,3.58,65,0,6,2,6,0,4,0.18,4,0,0,0,0,0
Léo Baptistão,BRA,FW,Almería,30,1992,20.4,40,1.93,26,0,4,5,5,0,1,0.05,0,0,0,0,1,0
Kike Barja,ESP,"FW,MF",Osasuna,26,1997,3.4,12,3.56,9,0,1,1,1,0,1,0.3,1,0,0,0,0,0
Ander Barrenetxea,ESP,"FW,MF",Real Sociedad,21,2001,15.9,41,2.58,27,1,7,2,2,2,4,0.25,2,0,0,2,0,0
Pablo Barrios,ESP,MF,Atlético Madrid,20,2003,17.3,43,2.49,35,1,2,3,0,2,2,0.12,2,0,0,0,0,0
Marc Bartra,ESP,DF,Betis,32,1991,2.5,3,1.2,2,0,0,1,0,0,1,0.4,0,0,0,1,0,0
Augusto Batalla,ARG,GK,Granada,27,1996,17.0,6,0.35,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0
Bebé,CPV,"MF,FW",Rayo Vallecano,33,1990,2.4,8,3.4,3,3,0,2,0,0,0,0.0,0,0,0,0,0,0
Sheraldo Becker,SUR,"FW,MF",Real Sociedad,28,1995,8.6,19,2.22,14,1,1,3,0,0,5,0.58,4,0,0,1,0,0
Héctor Bellerín,ESP,DF,Betis,28,1995,19.0,30,1.58,26,3,0,0,1,0,4,0.21,4,0,0,0,0,0
Jude Bellingham,ENG,MF,Real Madrid,20,2003,25.7,99,3.85,82,0,8,4,5,0,13,0.51,10,0,1,2,0,0
Fran Beltrán,ESP,MF,Celta Vigo,24,1999,27.0,49,1.82,41,3,1,2,2,0,3,0.11,3,0,0,0,0,0
Carlos Benavídez,URU,MF,Alavés,25,1998,12.6,22,1.74,15,0,0,2,2,3,2,0.16,2,0,0,0,0,0
Yuri Berchiche,ESP,DF,Athletic Club,33,1990,21.4,36,1.68,30,1,1,2,2,0,5,0.23,5,0,0,0,0,0
Álex Berenguer,ESP,FW,Athletic Club,28,1995,17.7,60,3.4,26,25,4,2,2,1,8,0.45,3,3,1,0,0,1
Antonio Blanco,ESP,MF,Alavés,23,2000,27.0,45,1.67,39,1,0,2,3,0,1,0.04,1,0,0,0,0,0
Daley Blind,NED,DF,Girona,33,1990,33.0,48,1.45,41,2,3,1,0,1,5,0.15,4,0,0,0,0,1
Adri Bosch,ESP,DF,Granada,22,2001,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yassine Bounou,MAR,GK,Sevilla,32,1991,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lucas Boyé,ARG,FW,Granada,27,1996,28.2,78,2.76,58,1,10,7,1,1,8,0.28,6,0,2,0,0,0
Darko Brašanac,SRB,MF,Osasuna,31,1992,0.5,2,3.75,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Brau,ESP,DF,Granada,21,2001,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Claudio Bravo,CHI,GK,Betis,40,1983,7.0,2,0.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ben Brereton,CHI,"FW,MF",Villarreal,24,1999,3.0,4,1.33,2,0,0,1,0,1,0,0.0,0,0,0,0,0,0
Ante Budimir,CRO,FW,Osasuna,32,1991,27.1,42,1.55,21,1,3,7,8,2,5,0.18,2,0,0,1,2,0
Manu Bueno,ESP,MF,Sevilla,19,2004,1.3,3,2.31,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pablo Busto,ESP,DF,Betis,17,2005,0.5,1,2.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
José Callejón,ESP,"MF,FW",Granada,36,1987,8.9,33,3.69,19,8,1,2,3,0,1,0.11,1,0,0,0,0,0
Eduardo Camavinga,FRA,"MF,DF",Real Madrid,20,2002,20.2,58,2.87,45,0,3,1,4,5,6,0.3,5,0,1,0,0,0
Sergio Camello,ESP,FW,Rayo Vallecano,22,2001,18.5,46,2.49,33,0,5,5,2,1,6,0.32,2,0,3,1,0,0
José Campaña,ESP,MF,Las Palmas,30,1993,1.9,1,0.53,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
João Cancelo,POR,DF,Barcelona,29,1994,27.8,79,2.84,70,1,6,0,1,1,8,0.29,7,0,1,0,0,0
Sergi Canós,ESP,"MF,FW",Valencia,26,1997,13.7,32,2.35,20,0,5,4,2,1,2,0.15,2,0,0,0,0,0
Étienne Capoue,FRA,MF,Villarreal,35,1988,16.2,32,1.98,26,0,2,1,3,0,4,0.25,2,0,1,0,1,0
Isaac Carcelen,ESP,DF,Cádiz,30,1993,29.0,43,1.48,32,7,1,2,1,0,0,0.0,0,0,0,0,0,0
Dani Cárdenas,ESP,GK,Rayo Vallecano,26,1997,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marc Cardona,ESP,FW,Las Palmas,28,1995,8.2,16,1.95,11,0,3,1,1,0,2,0.24,1,0,0,0,1,0
Sergi Cardona,ESP,DF,Las Palmas,24,1999,31.3,77,2.46,65,0,3,5,2,2,7,0.22,6,0,0,0,1,0
Johnny Cardoso,USA,MF,Betis,21,2001,14.8,21,1.42,16,0,1,0,1,3,5,0.34,3,0,0,0,1,1
Carmona,ESP,"DF,MF",Getafe,21,2002,14.6,29,1.99,19,3,0,4,1,2,2,0.14,1,1,0,0,0,0
Yannick Carrasco,BEL,DF,Atlético Madrid,29,1993,2.5,7,2.85,4,1,1,0,1,0,1,0.41,1,0,0,0,0,0
Álvaro Carreras,ESP,"MF,FW",Granada,20,2003,5.3,17,3.21,12,1,0,2,1,1,1,0.19,0,0,0,0,0,1
Dani Carvajal,ESP,DF,Real Madrid,31,1992,24.1,44,1.82,41,0,1,0,2,0,7,0.29,6,0,0,0,1,0
William Carvalho,POR,MF,Betis,31,1992,7.6,18,2.38,17,0,0,1,0,0,4,0.53,3,0,0,1,0,0
Marc Casado,ESP,MF,Barcelona,19,2003,0.2,1,6.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Catena,ESP,DF,Osasuna,28,1994,28.2,14,0.5,13,0,0,1,0,0,4,0.14,4,0,0,0,0,0
Dani Ceballos,ESP,"MF,FW",Real Madrid,26,1996,6.6,25,3.77,22,0,1,0,2,0,2,0.3,2,0,0,0,0,0
Álex Centelles,ESP,DF,Almería,25,1997,10.9,27,2.48,22,3,0,0,2,0,2,0.18,2,0,0,0,0,0
