Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Junior Adamu,AUT,FW,Freiburg,23,2001,17.2,534,21,53,252,234,80,534,29,10,34.5,18,62.1,275,1026,349,8,5,4,59,24,350,84
Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002,15.9,636,9,51,231,365,88,636,94,40,42.6,49,52.1,417,3230,1543,68,36,41,43,31,465,153
Amine Adli,MAR,"MF,FW",Leverkusen,24,2000,8.5,468,4,40,152,286,53,468,32,15,46.9,16,50.0,248,1501,838,37,25,11,20,6,350,100
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,26,1998,18.2,741,13,84,304,365,62,741,98,48,49.0,43,43.9,495,3452,1392,53,43,28,63,45,555,108
Felix Agu,NGA,DF,Werder Bremen,24,1999,19.5,1045,48,315,465,270,37,1045,35,9,25.7,19,54.3,545,2589,1278,33,12,8,33,12,605,105
Erik Ahlstrand,SWE,"FW,MF",St. Pauli,22,2001,0.5,22,0,2,10,10,2,22,0,0,,0,,12,68,26,1,2,0,3,0,14,3
Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995,24.7,1692,227,759,830,115,5,1692,15,8,53.3,6,40.0,892,3929,1772,14,15,0,11,9,1025,16
Andreas Albers,DEN,FW,St. Pauli,34,1990,0.7,44,0,2,17,26,8,44,3,2,66.7,0,0.0,24,129,18,1,0,0,4,6,40,6
Ben Alexander Voll,GER,GK,St. Pauli,23,2000,1.0,52,46,52,0,0,0,52,0,0,,0,,33,185,120,0,0,0,0,0,23,0
Skelly Alvero,FRA,MF,Werder Bremen,22,2002,2.6,136,15,49,68,19,2,136,3,2,66.7,1,33.3,70,306,132,1,1,0,6,4,74,0
Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003,1.1,89,13,42,42,6,1,89,1,1,100.0,0,0.0,46,186,72,1,0,0,1,0,52,1
Nadiem Amiri,GER,MF,Mainz 05,27,1996,27.5,2093,45,360,1159,604,49,2091,67,32,47.8,31,46.3,1134,5414,2578,50,43,14,42,27,1307,64
Mohamed Amoura,ALG,FW,Wolfsburg,24,2000,27.4,1106,17,119,385,629,127,1104,91,37,40.7,48,52.7,628,4108,2067,81,46,35,86,18,733,244
Robert Andrich,GER,"MF,DF",Leverkusen,29,1994,17.8,1114,45,252,646,220,20,1114,5,2,40.0,1,20.0,526,2140,886,8,14,1,7,1,792,17
Waldemar Anton,GER,DF,Dortmund,28,1996,21.7,2126,189,793,1162,179,32,2126,24,20,83.3,2,8.3,1386,6989,3497,32,28,0,21,9,1542,28
Maximilian Arnold,GER,MF,Wolfsburg,30,1994,26.2,1576,86,356,927,308,7,1576,6,1,16.7,3,50.0,787,3069,1200,9,11,0,18,11,885,16
Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24,2000,7.9,303,9,43,115,151,28,301,32,14,43.8,16,50.0,158,929,344,14,10,3,34,16,179,66
Arthur,BRA,DF,Leverkusen,21,2003,8.4,508,15,119,220,173,13,508,24,5,20.8,19,79.2,242,1264,698,15,14,2,13,6,309,53
Noah Atubolu,GER,GK,Freiburg,22,2002,25.6,1198,918,1188,11,0,0,1198,0,0,,0,,680,3599,1803,0,0,0,0,0,680,0
Ayman Azhil,MAR,MF,Dortmund,23,2001,0.3,9,0,2,4,3,0,9,1,0,0.0,1,100.0,4,12,0,0,0,0,1,1,5,1
Adam Aznou,MAR,DF,Bayern Munich,18,2006,0.2,18,1,1,7,11,0,18,0,0,,0,,12,40,16,0,2,0,0,0,14,2
Aliou Badara Baldé,GUI,"MF,FW",Bochum,21,2002,1.0,43,0,2,18,25,2,43,9,2,22.2,6,66.7,30,207,129,2,4,0,5,3,29,5
Ridle Baku,GER,"FW,MF",Wolfsburg,26,1998,13.0,646,15,112,307,234,34,646,20,9,45.0,10,50.0,352,1626,643,16,9,8,15,10,391,78
Ridle Baku,GER,"DF,MF",RB Leipzig,26,1998,14.2,796,32,151,356,295,32,796,24,16,66.7,6,25.0,383,1742,863,21,17,3,26,14,503,97
Samuel Bamba,GER,"FW,MF",Bochum,20,2004,0.3,31,0,2,11,19,1,31,4,1,25.0,3,75.0,20,134,69,3,2,1,3,0,22,8
Noahkai Banks,USA,DF,Augsburg,17,2006,3.1,229,23,94,124,14,2,229,1,0,0.0,1,100.0,123,580,253,2,5,0,2,1,129,3
Scott Banks,SCO,"FW,MF",St. Pauli,22,2001,1.3,48,2,11,12,26,6,48,7,2,28.6,3,42.9,24,151,63,3,1,3,0,2,28,8
Aymen Barkok,MAR,MF,Mainz 05,26,1998,0.8,47,2,9,22,17,1,47,3,0,0.0,2,66.7,22,139,75,2,0,0,0,0,29,6
Michy Batshuayi,BEL,FW,Eint Frankfurt,30,1993,3.3,101,1,8,57,37,14,101,7,2,28.6,5,71.4,60,319,103,3,2,2,11,1,67,15
Maximilian Bauer,GER,DF,Augsburg,24,2000,7.3,422,45,177,222,24,3,422,0,0,,0,,216,991,539,4,4,0,6,2,260,7
Oliver Baumann,GER,GK,Hoffenheim,34,1990,28.0,1147,901,1123,25,0,0,1147,1,1,100.0,0,0.0,678,3213,1803,0,0,0,0,0,574,0
Christoph Baumgartner,AUT,MF,RB Leipzig,24,1999,17.9,910,49,167,451,311,65,910,42,17,40.5,19,45.2,438,2576,1434,37,35,7,47,31,575,95
Ihlas Bebou,TOG,MF,Hoffenheim,30,1994,0.1,5,0,0,2,3,1,5,0,0,,0,,4,6,1,0,0,0,1,0,5,0
Adrian Beck,GER,"MF,FW",Heidenheim,27,1997,17.8,962,23,184,502,296,53,962,75,40,53.3,30,40.0,553,3077,1192,37,17,11,42,26,584,83
Timo Becker,GER,DF,Holstein Kiel,27,1997,27.2,1325,135,682,519,142,28,1325,26,12,46.2,14,53.8,588,3394,1709,28,26,1,28,10,684,38
