Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Junior Adamu,AUT,FW,Freiburg,23,2001,17.2,2,36,11,30.6,2.1,0.64,0.06,0.18,12.4,0,0,0,5.5,5.5,0.16,-3.5,-3.5
Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002,15.9,7,46,18,39.1,2.89,1.13,0.15,0.39,17.6,0,0,0,5.5,5.5,0.12,1.5,1.5
Amine Adli,MAR,"MF,FW",Leverkusen,24,2000,8.5,2,20,7,35.0,2.35,0.82,0.1,0.29,13.1,0,0,0,2.7,2.7,0.14,-0.7,-0.7
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,26,1998,18.2,3,38,13,34.2,2.09,0.71,0.08,0.23,20.4,0,0,0,3.1,3.1,0.08,-0.1,-0.1
Felix Agu,NGA,DF,Werder Bremen,24,1999,19.5,3,9,4,44.4,0.46,0.21,0.33,0.75,13.3,0,0,0,1.4,1.4,0.15,1.6,1.6
Erik Ahlstrand,SWE,"FW,MF",St. Pauli,22,2001,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995,24.7,0,5,1,20.0,0.2,0.04,0.0,0.0,31.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Andreas Albers,DEN,FW,St. Pauli,34,1990,0.7,1,3,1,33.3,4.35,1.45,0.33,1.0,11.9,0,0,0,0.6,0.6,0.2,0.4,0.4
Ben Alexander Voll,GER,GK,St. Pauli,23,2000,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Skelly Alvero,FRA,MF,Werder Bremen,22,2002,2.6,0,1,0,0.0,0.38,0.0,0.0,,14.8,0,0,0,0.0,0.0,0.03,0.0,0.0
Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
