Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Jan-Niklas Beste,GER,"FW,MF",Freiburg,25,1999,2.4,94,79,15,7,0,0,20,3,5,2,1,0,70,0,2
El Bilal Touré,MLI,"FW,MF",Stuttgart,22,2001,4.0,96,94,0,0,1,0,0,0,0,0,0,0,75,2,3
Tom Bischof,GER,"MF,FW",Hoffenheim,19,2005,28.4,1537,1344,186,67,3,6,145,13,97,35,42,3,1210,7,54
Leonardo Bittencourt,GER,MF,Werder Bremen,30,1993,10.9,680,659,19,9,2,3,22,3,7,4,3,0,571,2,10
Myron Boadu,NED,FW,Bochum,23,2001,11.6,195,183,12,0,0,0,3,0,0,0,0,0,139,0,11
Sacha Boey,FRA,DF,Bayern Munich,23,2000,6.6,500,442,58,4,0,0,11,54,0,0,0,0,462,0,4
Victor Boniface,NGA,FW,Leverkusen,23,2000,11.2,245,237,6,0,1,2,6,2,0,0,0,0,172,2,7
Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,1999,8.8,330,317,13,11,0,2,1,1,0,0,0,0,270,0,3
Carlo Boukhalfa,MAR,MF,St. Pauli,25,1999,18.3,467,460,4,3,2,1,10,0,0,0,0,0,333,3,15
Julian Brandt,GER,MF,Dortmund,28,1996,25.6,1209,1157,48,7,18,3,71,18,20,11,6,0,953,4,30
Tim Breithaupt,GER,MF,Augsburg,22,2002,1.3,67,65,2,2,0,0,1,0,0,0,0,0,58,0,2
Maximilian Breunig,GER,"FW,MF",Heidenheim,23,2000,3.9,81,78,3,0,0,1,1,3,0,0,0,0,47,0,6
Moritz Broschinski,GER,"FW,MF",Bochum,23,2000,15.4,295,274,19,1,0,0,28,2,0,0,0,0,187,2,24
Nathaniel Brown,GER,"DF,MF",Eint Frankfurt,21,2003,21.6,901,713,181,19,2,3,92,114,48,43,1,0,727,7,28
