Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Pere Milla,ESP,"FW,MF",Espanyol,33-091,1992,11.8,215,310,69.4,3237,833,111,140,79.3,76,105,72.4,13,32,40.6,0,1.7,1.6,-1.7,21,26,7,0,35
Óscar Mingueza,ESP,"MF,DF",Celta Vigo,26-224,1999,9.5,532,668,79.6,9059,3087,256,281,91.1,219,260,84.2,48,97,49.5,2,2.1,2.4,-0.1,16,46,22,4,49
Bojan Miovski,MKD,FW,Girona,26-182,1999,0.5,2,3,66.7,24,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Rafa Mir,ESP,"FW,MF",Elche,28-188,1997,13.7,248,315,78.7,3527,659,146,173,84.4,73,93,78.5,15,22,68.2,0,0.5,0.9,-0.5,5,13,6,0,39
Johan Mojica,COL,DF,Mallorca,33-124,1992,14.6,609,811,75.1,10937,4965,281,320,87.8,266,328,81.1,57,129,44.2,3,2.0,2.0,1.0,19,61,21,14,56
Alberto Moleiro,ESP,"MF,FW",Villarreal,22-084,2003,11.1,214,304,70.4,3188,1067,123,150,82.0,77,100,77.0,7,29,24.1,2,2.7,1.5,-0.7,17,25,3,1,35
Nahuel Molina,ARG,DF,Atlético Madrid,27-261,1998,6.0,291,378,77.0,4541,1678,149,169,88.2,111,146,76.0,19,40,47.5,1,1.2,0.6,-0.2,9,21,7,5,22
Jon Moncayola,ESP,"MF,DF",Osasuna,27-224,1998,16.5,654,895,73.1,11503,4533,311,358,86.9,258,327,78.9,71,166,42.8,2,2.1,2.2,-0.1,20,72,21,8,87
Diego Morcillo,ESP,"FW,MF",Alavés,22-188,2003,0.1,2,5,40.0,38,12,0,2,0.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1
Álex Moreno,ESP,DF,Girona,32-198,1993,15.5,530,668,79.3,8391,2759,273,304,89.8,225,269,83.6,22,54,40.7,1,1.0,0.6,0.0,7,34,10,2,58
Gerard Moreno,ESP,FW,Villarreal,33-260,1992,4.9,156,197,79.2,2754,692,85,99,85.9,46,60,76.7,24,29,82.8,0,1.4,1.2,-1.4,11,18,10,0,30
Matias Moreno,ARG,DF,Levante,22-090,2003,9.5,304,355,85.6,6122,2158,89,97,91.8,183,198,92.4,30,52,57.7,0,0.1,0.2,-0.1,2,18,1,0,23
Mateu Morey,ESP,DF,Mallorca,25-296,2000,5.0,129,171,75.4,2550,837,42,46,91.3,72,87,82.8,14,29,48.3,0,0.2,0.2,-0.2,3,16,4,2,17
Ilaix Moriba,GUI,MF,Celta Vigo,22-338,2003,11.8,402,472,85.2,6325,1534,206,225,91.6,163,184,88.6,23,35,65.7,1,1.3,1.1,-0.3,10,35,9,0,51
Manu Morlanes,ESP,MF,Mallorca,26-345,1999,9.3,370,422,87.7,6166,1928,186,203,91.6,156,172,90.7,25,34,73.5,0,0.4,0.7,-0.4,9,50,9,1,50
Santiago Mouriño,URU,DF,Villarreal,23-313,2002,9.8,485,558,86.9,8007,2843,238,251,94.8,213,250,85.2,28,43,65.1,1,0.1,0.2,0.9,3,39,3,0,32
Aihen Muñoz,ESP,DF,Real Sociedad,28-129,1997,5.2,168,219,76.7,2808,1086,85,88,96.6,64,83,77.1,15,35,42.9,0,0.2,0.2,-0.2,2,18,3,2,17
Iker Muñoz,ESP,MF,Osasuna,23-048,2002,3.1,111,128,86.7,1633,570,62,66,93.9,40,45,88.9,5,7,71.4,0,0.0,0.1,0.0,0,12,0,0,11
Javier Muñoz,ESP,"MF,FW",Getafe,30-298,1995,2.4,53,78,67.9,815,218,32,38,84.2,16,25,64.0,4,7,57.1,0,0.0,0.1,0.0,2,9,1,0,5
Víctor Muñoz,ESP,"FW,MF",Osasuna,22-163,2003,13.5,214,307,69.7,2684,421,145,168,86.3,54,87,62.1,5,21,23.8,1,0.8,0.9,0.2,9,6,7,5,8
