Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Jones El-Abdellaoui,MAR,"FW,MF",Celta Vigo,19-345,2006,2.2,100,3,10,30,61,8,100,9,3,33.3,4,44.4,66,636,345,18,7,6,4,6,71,35
Abdel Abqar,MAR,DF,Getafe,26-288,1999,7.7,360,29,176,167,17,8,360,5,2,40.0,3,60.0,133,592,287,3,1,0,8,1,155,1
David Affengruber,AUT,DF,Elche,24-279,2001,15.3,1113,125,496,588,37,8,1113,4,3,75.0,0,0.0,596,3359,2210,15,9,1,5,2,727,4
Julen Agirrezabala,ESP,GK,Valencia,24-362,2000,17.0,586,478,583,3,0,0,586,0,0,,0,,313,1577,921,0,0,0,0,0,257,0
Lucien Agoume,FRA,MF,Sevilla,23-317,2002,11.6,645,27,145,372,130,12,645,6,3,50.0,3,50.0,351,1551,781,14,13,1,12,4,424,15
Marc Aguado,ESP,MF,Elche,25-304,2000,12.0,726,55,192,459,76,2,726,0,0,,0,,328,1118,495,3,5,0,6,3,503,11
Pablo Agudín,ESP,"MF,FW",Oviedo,18-045,2007,0.8,27,2,9,6,12,4,27,1,1,100.0,0,0.0,19,114,29,1,0,1,4,3,18,7
Lucas Ahijado,ESP,DF,Oviedo,30-327,1995,5.6,356,18,110,164,85,5,356,14,6,42.9,7,50.0,164,924,407,7,8,0,10,1,178,16
Joseph Aidoo,GHA,DF,Celta Vigo,30-085,1995,1.2,64,25,57,8,0,0,64,1,1,100.0,0,0.0,25,59,11,0,0,0,1,0,29,0
Ilias Akhomach,MAR,"MF,FW",Villarreal,21-251,2004,2.1,116,5,20,39,58,9,116,11,0,0.0,9,81.8,80,490,316,9,5,4,6,8,86,20
Adams Akor,NGA,FW,Sevilla,25-328,2000,9.5,241,11,26,102,118,48,241,14,8,57.1,6,42.9,121,651,314,17,4,10,23,11,178,41
David Alaba,AUT,DF,Real Madrid,33-182,1992,0.6,58,6,27,30,1,0,58,0,0,,0,,23,155,108,1,0,0,0,0,43,0
Alexandre Alemão,BRA,FW,Rayo Vallecano,27-266,1998,6.2,159,9,16,72,72,19,159,3,2,66.7,1,33.3,73,234,49,0,1,0,27,4,110,27
Carles Aleñá,ESP,"MF,FW",Alavés,27-352,1998,10.2,574,14,79,284,216,15,574,14,4,28.6,6,42.9,312,989,378,6,11,2,18,19,404,37
Trent Alexander-Arnold,ENG,DF,Real Madrid,27-077,1998,4.4,389,8,72,156,165,5,389,4,2,50.0,2,50.0,243,936,561,6,10,2,5,1,271,24
Alfon,ESP,"FW,DF",Sevilla,26-233,1999,3.5,135,1,12,35,89,23,135,17,4,23.5,11,64.7,86,480,175,8,5,5,10,10,101,36
Thiago Almada,ARG,"MF,FW",Atlético Madrid,24-241,2001,4.8,304,6,44,146,117,14,304,15,10,66.7,5,33.3,188,1056,564,14,7,4,14,3,223,21
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,25-207,2000,7.1,455,6,42,243,175,9,455,21,9,42.9,10,47.6,284,1566,786,18,11,3,10,10,346,33
Marcos Alonso,ESP,DF,Celta Vigo,34-360,1990,12.9,1186,147,513,565,115,12,1186,6,4,66.7,2,33.3,746,4269,2705,34,29,2,9,6,858,12
