Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Jones El-Abdellaoui,MAR,"FW,MF",Celta Vigo,19-345,2006,2.2,1,7,2,28.6,3.18,0.91,0.14,0.5,17.8,0,0,0,1.6,1.6,0.23,-0.6,-0.6
Abdel Abqar,MAR,DF,Getafe,26-288,1999,7.7,0,6,1,16.7,0.78,0.13,0.0,0.0,13.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
David Affengruber,AUT,DF,Elche,24-279,2001,15.3,0,4,1,25.0,0.26,0.07,0.0,0.0,12.3,0,0,0,0.4,0.4,0.1,-0.4,-0.4
Julen Agirrezabala,ESP,GK,Valencia,24-362,2000,17.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lucien Agoume,FRA,MF,Sevilla,23-317,2002,11.6,1,6,1,16.7,0.52,0.09,0.17,1.0,16.7,0,0,0,0.4,0.4,0.07,0.6,0.6
Marc Aguado,ESP,MF,Elche,25-304,2000,12.0,0,1,0,0.0,0.08,0.0,0.0,,17.7,0,0,0,0.0,0.0,0.04,0.0,0.0
Pablo Agudín,ESP,"MF,FW",Oviedo,18-045,2007,0.8,0,2,0,0.0,2.57,0.0,0.0,,24.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Lucas Ahijado,ESP,DF,Oviedo,30-327,1995,5.6,0,5,1,20.0,0.89,0.18,0.0,0.0,20.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Joseph Aidoo,GHA,DF,Celta Vigo,30-085,1995,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ilias Akhomach,MAR,"MF,FW",Villarreal,21-251,2004,2.1,0,6,2,33.3,2.87,0.96,0.0,0.0,19.1,0,0,0,0.6,0.6,0.1,-0.6,-0.6
Adams Akor,NGA,FW,Sevilla,25-328,2000,9.5,3,28,13,46.4,2.96,1.37,0.11,0.23,15.1,0,0,0,3.9,3.9,0.14,-0.9,-0.9
David Alaba,AUT,DF,Real Madrid,33-182,1992,0.6,0,1,1,100.0,1.58,1.58,0.0,0.0,31.9,1,0,0,0.0,0.0,0.03,0.0,0.0
Alexandre Alemão,BRA,FW,Rayo Vallecano,27-266,1998,6.2,1,13,6,46.2,2.1,0.97,0.08,0.17,14.1,0,0,0,1.6,1.6,0.13,-0.6,-0.6
Carles Aleñá,ESP,"MF,FW",Alavés,27-352,1998,10.2,0,13,2,15.4,1.28,0.2,0.0,0.0,19.4,0,0,0,1.0,1.0,0.08,-1.0,-1.0
Trent Alexander-Arnold,ENG,DF,Real Madrid,27-077,1998,4.4,0,3,0,0.0,0.69,0.0,0.0,,29.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Alfon,ESP,"FW,DF",Sevilla,26-233,1999,3.5,1,11,7,63.6,3.17,2.02,0.09,0.14,19.5,0,0,0,0.7,0.7,0.06,0.3,0.3
Thiago Almada,ARG,"MF,FW",Atlético Madrid,24-241,2001,4.8,2,10,6,60.0,2.08,1.25,0.2,0.33,15.9,0,0,0,2.3,2.3,0.23,-0.3,-0.3
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,25-207,2000,7.1,0,5,1,20.0,0.7,0.14,0.0,0.0,21.7,1,0,0,0.2,0.2,0.04,-0.2,-0.2
Marcos Alonso,ESP,DF,Celta Vigo,34-360,1990,12.9,0,9,1,11.1,0.7,0.08,0.0,0.0,18.2,2,0,0,0.4,0.4,0.05,-0.4,-0.4
Adrià Altimira,ESP,DF,Villarreal,24-270,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Sergi Altimira,ESP,MF,Betis,24-120,2001,6.0,1,2,1,50.0,0.33,0.17,0.5,1.0,18.5,0,0,0,0.2,0.2,0.08,0.8,0.8
Carlos Álvarez,ESP,"MF,FW",Levante,22-139,2003,12.4,2,17,6,35.3,1.37,0.48,0.12,0.33,20.2,2,0,0,1.2,1.2,0.07,0.8,0.8
Hugo Álvarez,ESP,"FW,MF",Celta Vigo,22-174,2003,4.0,1,1,1,100.0,0.25,0.25,1.0,1.0,19.4,0,0,0,0.1,0.1,0.05,0.9,0.9
Julián Álvarez,ARG,FW,Atlético Madrid,25-326,2000,14.6,7,32,16,50.0,2.19,1.1,0.16,0.31,20.5,5,2,3,6.2,3.9,0.12,0.8,1.1
Sofyan Amrabat,MAR,MF,Betis,29-124,1996,6.7,0,4,1,25.0,0.6,0.15,0.0,0.0,26.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Miguel Ángel Rubio,ESP,DF,Espanyol,27-287,1998,1.5,1,1,1,100.0,0.65,0.65,1.0,1.0,4.5,0,0,0,0.7,0.7,0.65,0.3,0.3
Miguel Ángel Sierra,ESP,"FW,MF",Sevilla,21-162,2004,0.3,0,1,0,0.0,3.46,0.0,0.0,,28.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Antoniu,ESP,"FW,MF",Espanyol,23-109,2002,1.0,0,3,0,0.0,3.14,0.0,0.0,,19.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Antony,BRA,FW,Betis,25-302,2000,11.1,5,41,16,39.0,3.7,1.45,0.12,0.31,19.7,0,0,0,4.0,4.0,0.1,1.0,1.0
Mauro Arambarri,URU,MF,Getafe,30-084,1995,16.6,2,30,8,26.7,1.8,0.48,0.07,0.25,15.2,1,0,0,2.3,2.3,0.08,-0.3,-0.3
Jon Aramburu,VEN,DF,Real Sociedad,23-153,2002,14.0,0,13,4,30.8,0.93,0.29,0.0,0.0,17.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9
Juan Arango,VEN,FW,Girona,19-205,2006,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ronald Araújo,URU,DF,Barcelona,26-291,1999,7.2,2,6,4,66.7,0.83,0.55,0.33,0.5,19.4,0,0,0,0.4,0.4,0.06,1.6,1.6
Jesús Areso,ESP,DF,Athletic Club,26-174,1999,10.8,0,1,0,0.0,0.09,0.0,0.0,,19.9,0,0,0,0.0,0.0,0.03,0.0,0.0
Iñigo Arguibide,ESP,DF,Osasuna,20-248,2005,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Kervin Arriaga,HON,MF,Levante,27-352,1998,9.0,1,6,3,50.0,0.67,0.33,0.17,0.33,26.5,0,0,0,0.2,0.2,0.03,0.8,0.8
Takuma Asano,JPN,"FW,MF",Mallorca,31-043,1994,3.8,1,8,1,12.5,2.13,0.27,0.13,1.0,12.9,0,0,0,1.0,1.0,0.13,0.0,0.0
Raúl Asencio,ESP,DF,Real Madrid,22-313,2003,8.5,0,8,1,12.5,0.94,0.12,0.0,0.0,16.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Iago Aspas,ESP,"FW,MF",Celta Vigo,38-144,1987,7.3,2,13,6,46.2,1.77,0.82,0.08,0.17,22.1,0,1,1,2.6,1.8,0.14,-0.6,-0.8
Yaser Asprilla,COL,"FW,MF",Girona,22-034,2003,6.6,0,15,5,33.3,2.28,0.76,0.0,0.0,23.1,1,0,0,0.6,0.6,0.04,-0.6,-0.6
Lander Astiazaran,ESP,MF,Real Sociedad,19-260,2006,0.0,0,1,0,0.0,90.0,0.0,0.0,,26.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Ezequiel Ávila,ARG,"FW,MF",Betis,31-320,1994,0.6,0,1,0,0.0,1.8,0.0,0.0,,13.0,0,0,0,0.3,0.3,0.27,-0.3,-0.3
César Azpilicueta,ESP,DF,Sevilla,36-117,1989,7.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Alex Baena,ESP,"MF,FW",Atlético Madrid,24-156,2001,6.1,2,10,5,50.0,1.63,0.82,0.2,0.4,19.1,0,0,0,1.2,1.2,0.12,0.8,0.8
Eric Bailly,CIV,DF,Oviedo,31-255,1994,4.0,0,2,0,0.0,0.5,0.0,0.0,,11.8,0,0,0,0.2,0.2,0.11,-0.2,-0.2
Cédric Bakambu,COD,FW,Betis,34-256,1991,0.8,1,4,2,50.0,5.07,2.54,0.25,0.5,12.8,0,0,0,0.4,0.4,0.11,0.6,0.6
Alejandro Balde,ESP,DF,Barcelona,22-066,2003,11.5,0,7,1,14.3,0.61,0.09,0.0,0.0,20.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Iván Balliu,ALB,DF,Rayo Vallecano,33-356,1992,2.2,0,2,0,0.0,0.89,0.0,0.0,,18.9,0,0,0,0.3,0.3,0.16,-0.3,-0.3
Roony Bardghji,SWE,FW,Barcelona,20-038,2005,2.7,1,12,8,66.7,4.37,2.91,0.08,0.13,18.9,0,0,0,1.0,1.0,0.08,0.0,0.0
