Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Jones El-Abdellaoui,MAR,"FW,MF",Celta Vigo,19-345,2006,2.2,1,0,0,1,0,1,4,25.0,3,0,0,0,1,2,5,0
Abdel Abqar,MAR,DF,Getafe,26-288,1999,7.7,23,13,16,7,0,14,17,82.4,3,11,4,7,10,33,38,0
David Affengruber,AUT,DF,Elche,24-279,2001,15.3,31,21,22,9,0,22,30,73.3,8,13,10,3,23,54,91,3
Julen Agirrezabala,ESP,GK,Valencia,24-362,2000,17.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,15,0
Lucien Agoume,FRA,MF,Sevilla,23-317,2002,11.6,23,13,7,13,3,10,14,71.4,4,12,2,10,13,36,16,1
Marc Aguado,ESP,MF,Elche,25-304,2000,12.0,19,10,11,6,2,11,14,78.6,3,18,12,6,23,42,24,0
Pablo Agudín,ESP,"MF,FW",Oviedo,18-045,2007,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
Lucas Ahijado,ESP,DF,Oviedo,30-327,1995,5.6,23,17,19,4,0,9,13,69.2,4,3,1,2,6,29,12,0
Joseph Aidoo,GHA,DF,Celta Vigo,30-085,1995,1.2,1,0,1,0,0,1,1,100.0,0,1,0,1,2,3,16,1
Ilias Akhomach,MAR,"MF,FW",Villarreal,21-251,2004,2.1,8,4,4,4,0,3,3,100.0,0,6,2,4,0,8,2,0
Adams Akor,NGA,FW,Sevilla,25-328,2000,9.5,4,2,2,1,1,1,2,50.0,1,8,1,7,0,4,12,1
David Alaba,AUT,DF,Real Madrid,33-182,1992,0.6,0,0,0,0,0,0,0,,0,2,2,0,0,0,4,0
Alexandre Alemão,BRA,FW,Rayo Vallecano,27-266,1998,6.2,4,1,1,1,2,2,8,25.0,6,3,2,1,0,4,7,0
Carles Aleñá,ESP,"MF,FW",Alavés,27-352,1998,10.2,18,14,6,11,1,10,15,66.7,5,9,2,7,3,21,15,1
Trent Alexander-Arnold,ENG,DF,Real Madrid,27-077,1998,4.4,8,5,2,5,1,6,11,54.5,5,2,1,1,8,16,3,0
Alfon,ESP,"FW,DF",Sevilla,26-233,1999,3.5,1,0,0,0,1,1,2,50.0,1,0,0,0,1,2,5,0
Thiago Almada,ARG,"MF,FW",Atlético Madrid,24-241,2001,4.8,6,4,0,6,0,1,8,12.5,7,2,1,1,3,9,4,0
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,25-207,2000,7.1,15,6,7,6,2,9,13,69.2,4,7,0,7,8,23,4,0
Marcos Alonso,ESP,DF,Celta Vigo,34-360,1990,12.9,21,12,15,3,3,11,18,61.1,7,11,7,4,17,38,78,2
Adrià Altimira,ESP,DF,Villarreal,24-270,2001,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Sergi Altimira,ESP,MF,Betis,24-120,2001,6.0,24,13,9,14,1,10,19,52.6,9,7,3,4,13,37,9,0
Carlos Álvarez,ESP,"MF,FW",Levante,22-139,2003,12.4,15,6,6,7,2,8,23,34.8,15,7,0,7,6,21,2,1
Hugo Álvarez,ESP,"FW,MF",Celta Vigo,22-174,2003,4.0,7,5,3,2,2,2,3,66.7,1,3,0,3,3,10,7,0
Julián Álvarez,ARG,FW,Atlético Madrid,25-326,2000,14.6,12,7,3,4,5,3,13,23.1,10,9,0,9,2,14,3,0
