Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Jones El-Abdellaoui,MAR,"FW,MF",Celta Vigo,19-345,2006,2.2,0,0,0,1,2,1,13,1,0,0,0,0,5,2,4,33.3
Abdel Abqar,MAR,DF,Getafe,26-288,1999,7.7,5,0,0,9,18,1,1,10,13,0,0,0,28,13,5,72.2
David Affengruber,AUT,DF,Elche,24-279,2001,15.3,4,1,0,15,17,2,2,23,21,0,1,0,77,27,16,62.8
Julen Agirrezabala,ESP,GK,Valencia,24-362,2000,17.0,1,0,0,0,1,0,0,0,0,0,0,0,19,7,0,100.0
Lucien Agoume,FRA,MF,Sevilla,23-317,2002,11.6,8,0,0,20,6,3,7,13,13,0,0,0,43,19,17,52.8
Marc Aguado,ESP,MF,Elche,25-304,2000,12.0,1,0,0,10,13,0,2,23,10,0,0,0,40,3,6,33.3
Pablo Agudín,ESP,"MF,FW",Oviedo,18-045,2007,0.8,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,
Lucas Ahijado,ESP,DF,Oviedo,30-327,1995,5.6,2,0,0,4,2,2,9,6,17,0,0,0,21,5,1,83.3
Joseph Aidoo,GHA,DF,Celta Vigo,30-085,1995,1.2,0,0,0,1,0,0,0,2,0,0,1,0,4,4,3,57.1
Ilias Akhomach,MAR,"MF,FW",Villarreal,21-251,2004,2.1,0,0,0,9,7,0,9,0,4,0,0,0,10,1,1,50.0
Adams Akor,NGA,FW,Sevilla,25-328,2000,9.5,1,0,0,14,3,23,7,0,2,0,0,0,17,24,26,48.0
David Alaba,AUT,DF,Real Madrid,33-182,1992,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,33.3
Alexandre Alemão,BRA,FW,Rayo Vallecano,27-266,1998,6.2,1,0,0,10,13,0,2,0,1,0,0,0,9,8,19,29.6
Carles Aleñá,ESP,"MF,FW",Alavés,27-352,1998,10.2,1,0,0,15,19,0,43,3,14,0,0,0,41,8,10,44.4
Trent Alexander-Arnold,ENG,DF,Real Madrid,27-077,1998,4.4,0,0,0,4,0,0,47,8,5,0,0,0,13,2,2,50.0
Alfon,ESP,"FW,DF",Sevilla,26-233,1999,3.5,0,0,0,3,6,0,4,1,0,0,0,0,10,2,2,50.0
Thiago Almada,ARG,"MF,FW",Atlético Madrid,24-241,2001,4.8,1,0,0,3,6,1,12,3,4,0,0,0,31,3,8,27.3
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,25-207,2000,7.1,0,0,0,7,17,0,45,8,6,0,0,0,27,1,1,50.0
Marcos Alonso,ESP,DF,Celta Vigo,34-360,1990,12.9,2,0,0,7,12,0,7,17,12,0,1,0,67,26,20,56.5
Adrià Altimira,ESP,DF,Villarreal,24-270,2001,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Sergi Altimira,ESP,MF,Betis,24-120,2001,6.0,2,0,0,6,7,0,1,13,13,0,0,0,36,7,5,58.3
Carlos Álvarez,ESP,"MF,FW",Levante,22-139,2003,12.4,2,0,0,12,28,0,30,6,6,1,0,0,60,1,6,14.3
Hugo Álvarez,ESP,"FW,MF",Celta Vigo,22-174,2003,4.0,0,0,0,5,5,1,5,3,5,0,0,0,15,1,1,50.0
Julián Álvarez,ARG,FW,Atlético Madrid,25-326,2000,14.6,2,0,0,11,11,0,60,2,7,0,0,0,34,3,15,16.7
Sofyan Amrabat,MAR,MF,Betis,29-124,1996,6.7,3,0,0,10,13,0,4,6,6,0,0,0,51,4,4,50.0
Miguel Ángel Rubio,ESP,DF,Espanyol,27-287,1998,1.5,0,0,0,0,1,0,0,0,0,0,0,0,3,5,2,71.4
Miguel Ángel Sierra,ESP,"FW,MF",Sevilla,21-162,2004,0.3,0,0,0,0,2,0,2,0,1,0,0,0,4,0,0,
Antoniu,ESP,"FW,MF",Espanyol,23-109,2002,1.0,0,0,0,4,3,0,2,0,2,0,0,0,5,0,2,0.0
Antony,BRA,FW,Betis,25-302,2000,11.1,1,1,0,7,20,1,39,10,11,0,0,0,62,4,6,40.0
Mauro Arambarri,URU,MF,Getafe,30-084,1995,16.6,3,0,0,23,35,1,6,12,23,0,0,0,81,27,32,45.8
Jon Aramburu,VEN,DF,Real Sociedad,23-153,2002,14.0,5,0,0,33,19,1,24,16,31,0,0,0,52,27,9,75.0
Juan Arango,VEN,FW,Girona,19-205,2006,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Ronald Araújo,URU,DF,Barcelona,26-291,1999,7.2,2,0,0,14,1,0,2,8,5,0,1,0,29,23,16,59.0
Jesús Areso,ESP,DF,Athletic Club,26-174,1999,10.8,1,0,0,13,4,1,54,10,10,0,0,0,34,19,7,73.1
Iñigo Arguibide,ESP,DF,Osasuna,20-248,2005,1.9,0,1,0,2,0,0,5,2,3,0,0,0,7,0,2,0.0
Kervin Arriaga,HON,MF,Levante,27-352,1998,9.0,4,0,0,15,13,1,3,8,15,0,0,0,56,20,17,54.1
Takuma Asano,JPN,"FW,MF",Mallorca,31-043,1994,3.8,2,0,0,7,9,2,5,1,2,0,0,0,10,4,10,28.6
Raúl Asencio,ESP,DF,Real Madrid,22-313,2003,8.5,2,0,0,9,11,0,1,5,8,0,0,0,25,12,9,57.1
Iago Aspas,ESP,"FW,MF",Celta Vigo,38-144,1987,7.3,2,0,0,2,6,0,16,6,6,1,0,0,30,3,3,50.0
Yaser Asprilla,COL,"FW,MF",Girona,22-034,2003,6.6,0,0,0,9,6,5,35,5,3,0,0,0,24,2,5,28.6
Lander Astiazaran,ESP,MF,Real Sociedad,19-260,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ezequiel Ávila,ARG,"FW,MF",Betis,31-320,1994,0.6,2,0,0,2,1,0,2,0,0,0,0,0,2,2,1,66.7
César Azpilicueta,ESP,DF,Sevilla,36-117,1989,7.5,3,0,0,16,6,0,7,16,9,0,0,0,30,12,9,57.1
Alex Baena,ESP,"MF,FW",Atlético Madrid,24-156,2001,6.1,2,0,0,14,13,6,54,6,5,0,0,0,30,3,8,27.3
Eric Bailly,CIV,DF,Oviedo,31-255,1994,4.0,1,0,0,6,2,0,0,8,2,0,0,0,15,11,7,61.1
Cédric Bakambu,COD,FW,Betis,34-256,1991,0.8,0,0,0,3,1,2,1,1,0,0,0,0,2,2,6,25.0
Alejandro Balde,ESP,DF,Barcelona,22-066,2003,11.5,2,0,0,8,15,3,15,5,14,1,1,0,51,7,8,46.7
Iván Balliu,ALB,DF,Rayo Vallecano,33-356,1992,2.2,3,0,0,5,1,0,7,1,3,0,0,0,7,1,4,20.0
Roony Bardghji,SWE,FW,Barcelona,20-038,2005,2.7,0,0,0,1,1,0,20,0,1,0,0,0,8,0,1,0.0
Kike Barja,ESP,"FW,MF",Osasuna,28-266,1997,1.8,1,0,0,3,2,0,20,0,2,0,0,0,4,2,3,40.0
Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,23-361,2001,10.9,2,0,0,19,13,1,45,8,4,0,0,0,54,4,10,28.6
Pablo Barrios,ESP,MF,Atlético Madrid,22-191,2003,14.5,0,0,0,11,20,0,20,21,13,0,1,0,89,13,12,52.0
Marc Bartra,ESP,DF,Betis,34-342,1991,12.1,2,0,0,6,8,0,1,19,14,0,1,1,46,23,16,59.0
Augusto Batalla,ARG,GK,Rayo Vallecano,29-237,1996,17.0,3,0,0,0,3,0,0,0,1,0,0,0,35,5,0,100.0
Samu Becerra,ESP,"DF,MF",Rayo Vallecano,19-356,2006,0.1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,
Sheraldo Becker,SUR,"MF,FW",Osasuna,30-317,1995,1.8,0,0,0,4,1,1,11,3,1,0,0,0,15,0,4,0.0
Donny van de Beek,NED,MF,Girona,28-249,1997,0.5,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,
Ismael Bekhoucha,MAR,DF,Getafe,21-033,2004,1.2,1,0,0,5,3,0,4,2,5,0,0,0,4,0,2,0.0
Héctor Bellerín,ESP,DF,Betis,30-279,1995,11.2,1,0,0,9,1,1,18,7,5,0,0,0,31,12,8,60.0
Jude Bellingham,ENG,MF,Real Madrid,22-177,2003,11.2,1,0,0,20,27,1,6,8,23,0,0,0,53,16,13,55.2
Fran Beltrán,ESP,MF,Celta Vigo,26-323,1999,5.9,0,0,0,10,3,0,2,7,3,0,0,0,21,2,6,25.0
Lucas Beltrán,ARG,FW,Valencia,24-269,2001,6.2,0,0,0,9,16,3,6,3,4,0,0,0,21,9,21,30.0
Carlos Benavídez,URU,"MF,DF",Alavés,27-268,1998,0.6,0,0,0,2,1,0,0,0,0,0,0,0,1,2,2,50.0
Iker Benito,ESP,"DF,FW",Osasuna,23-135,2002,1.7,1,0,0,3,3,0,5,2,0,0,0,0,10,1,2,33.3
Yuri Berchiche,ESP,DF,Athletic Club,35-316,1990,15.1,2,0,0,11,21,0,29,16,15,0,0,0,72,31,17,64.6
