Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
38,Raúl Asencio,es ESP,DF,Real Madrid,22-313,2003,8.5,10,8,5,5,0,6,9,66.7,3,14,8,6,5,15,32,0,Matches
39,Iago Aspas,es ESP,"FW,MF",Celta Vigo,38-144,1987,7.3,8,6,2,6,0,2,7,28.6,5,4,0,4,6,14,1,0,Matches
40,Yaser Asprilla,co COL,"FW,MF",Girona,22-034,2003,6.6,8,3,2,5,1,3,4,75.0,1,8,1,7,5,13,4,0,Matches
41,Lander Astiazaran,es ESP,MF,Real Sociedad,19-260,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
42,Ezequiel Ávila,ar ARG,"FW,MF",Betis,31-320,1994,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
43,César Azpilicueta,es ESP,DF,Sevilla,36-117,1989,7.5,16,9,11,4,1,7,17,41.2,10,13,6,7,16,32,30,0,Matches
44,Alex Baena,es ESP,"MF,FW",Atlético Madrid,24-156,2001,6.1,9,5,4,3,2,5,8,62.5,3,5,1,4,6,15,3,0,Matches
45,Eric Bailly,ci CIV,DF,Oviedo,31-255,1994,4.0,2,2,1,1,0,2,2,100.0,0,8,8,0,8,10,21,0,Matches
46,Cédric Bakambu,cd COD,FW,Betis,34-256,1991,0.8,0,0,0,0,0,0,0,,0,1,0,1,1,1,4,0,Matches
47,Alejandro Balde,es ESP,DF,Barcelona,22-066,2003,11.5,22,14,11,9,2,12,16,75.0,4,12,6,6,5,27,16,1,Matches
48,Iván Balliu,al ALB,DF,Rayo Vallecano,33-356,1992,2.2,3,3,2,1,0,2,3,66.7,1,2,1,1,1,4,3,0,Matches
49,Roony Bardghji,se SWE,FW,Barcelona,20-038,2005,2.7,2,1,1,0,1,2,2,100.0,0,1,0,1,0,2,2,1,Matches
50,Kike Barja,es ESP,"FW,MF",Osasuna,28-266,1997,1.8,3,2,1,1,1,3,4,75.0,1,1,0,1,0,3,3,0,Matches
51,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,23-361,2001,10.9,9,4,4,4,1,0,6,0.0,6,13,2,11,8,17,8,0,Matches
52,Pablo Barrios,es ESP,MF,Atlético Madrid,22-191,2003,14.5,21,13,8,10,3,11,22,50.0,11,14,1,13,21,42,12,4,Matches
53,Marc Bartra,es ESP,DF,Betis,34-342,1991,12.1,33,14,23,9,1,19,33,57.6,14,23,14,9,19,52,81,2,Matches
54,Augusto Batalla,ar ARG,GK,Rayo Vallecano,29-237,1996,17.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,11,3,Matches
55,Samu Becerra,es ESP,"DF,MF",Rayo Vallecano,19-356,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
56,Sheraldo Becker,sr SUR,"MF,FW",Osasuna,30-317,1995,1.8,2,1,0,2,0,0,0,,0,0,0,0,3,5,4,0,Matches
57,Donny van de Beek,nl NED,MF,Girona,28-249,1997,0.5,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,Matches
58,Ismael Bekhoucha,ma MAR,DF,Getafe,21-033,2004,1.2,6,5,3,2,1,5,8,62.5,3,1,0,1,2,8,4,0,Matches
59,Héctor Bellerín,es ESP,DF,Betis,30-279,1995,11.2,13,5,8,5,0,6,15,40.0,9,8,1,7,7,20,54,0,Matches
60,Jude Bellingham,eng ENG,MF,Real Madrid,22-177,2003,11.2,34,23,12,15,7,17,25,68.0,8,15,1,14,8,42,11,0,Matches
61,Fran Beltrán,es ESP,MF,Celta Vigo,26-323,1999,5.9,7,3,3,4,0,4,7,57.1,3,5,2,3,7,14,4,0,Matches
62,Lucas Beltrán,ar ARG,FW,Valencia,24-269,2001,6.2,6,4,1,5,0,2,6,33.3,4,7,0,7,3,9,4,0,Matches
63,Carlos Benavídez,uy URU,"MF,DF",Alavés,27-268,1998,0.6,1,0,1,0,0,0,0,,0,1,1,0,0,1,4,0,Matches
