Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Jones El-Abdellaoui,MAR,"FW,MF",Celta Vigo,19-345,2006,9,0,198,2.2,1,0,1,1,0,0,0,0,1.6,1.6,0.1,1.7,18,0,35,0.45,0.0,0.45,0.45,0.45,0.73,0.04,0.77,0.73,0.77
Abdel Abqar,MAR,DF,Getafe,26-288,1999,10,8,690,7.7,0,1,1,0,0,0,5,0,0.2,0.2,0.4,0.6,3,11,1,0.0,0.13,0.13,0.0,0.13,0.03,0.05,0.08,0.03,0.08
David Affengruber,AUT,DF,Elche,24-279,2001,16,15,1379,15.3,0,0,0,0,0,0,4,1,0.4,0.4,0.2,0.6,15,54,4,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04
Julen Agirrezabala,ESP,GK,Valencia,24-362,2000,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,FRA,MF,Sevilla,23-317,2002,14,12,1045,11.6,1,2,3,1,0,0,8,0,0.4,0.4,1.7,2.2,14,67,15,0.09,0.17,0.26,0.09,0.26,0.04,0.15,0.19,0.04,0.19
Marc Aguado,ESP,MF,Elche,25-304,2000,16,13,1077,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,3,46,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
Pablo Agudín,ESP,"MF,FW",Oviedo,18-045,2007,4,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,7,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Lucas Ahijado,ESP,DF,Oviedo,30-327,1995,7,5,506,5.6,0,1,1,0,0,0,2,0,0.3,0.3,0.5,0.8,7,17,16,0.0,0.18,0.18,0.0,0.18,0.05,0.09,0.14,0.05,0.14
Joseph Aidoo,GHA,DF,Celta Vigo,30-085,1995,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ilias Akhomach,MAR,"MF,FW",Villarreal,21-251,2004,9,2,188,2.1,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1.3,9,7,20,0.0,0.0,0.0,0.0,0.0,0.3,0.32,0.62,0.3,0.62
Adams Akor,NGA,FW,Sevilla,25-328,2000,14,8,852,9.5,3,2,5,3,0,0,1,0,3.9,3.9,0.8,4.7,17,8,41,0.32,0.21,0.53,0.32,0.53,0.41,0.08,0.5,0.41,0.5
David Alaba,AUT,DF,Real Madrid,33-182,1992,3,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Alexandre Alemão,BRA,FW,Rayo Vallecano,27-266,1998,11,6,556,6.2,1,0,1,1,0,0,1,0,1.6,1.6,0.1,1.7,0,6,27,0.16,0.0,0.16,0.16,0.16,0.26,0.02,0.28,0.26,0.28
Carles Aleñá,ESP,"MF,FW",Alavés,27-352,1998,17,10,916,10.2,0,3,3,0,0,0,1,0,1.0,1.0,1.0,2.0,6,34,37,0.0,0.29,0.29,0.0,0.29,0.1,0.1,0.2,0.1,0.2
Trent Alexander-Arnold,ENG,DF,Real Madrid,27-077,1998,8,5,392,4.4,0,1,1,0,0,0,0,0,0.1,0.1,1.0,1.0,6,17,24,0.0,0.23,0.23,0.0,0.23,0.01,0.22,0.23,0.01,0.23
Alfon,ESP,"FW,DF",Sevilla,26-233,1999,10,4,312,3.5,1,0,1,1,0,0,0,0,0.7,0.7,0.3,1.0,8,10,36,0.29,0.0,0.29,0.29,0.29,0.19,0.09,0.28,0.19,0.28
Thiago Almada,ARG,"MF,FW",Atlético Madrid,24-241,2001,11,4,432,4.8,2,1,3,2,0,0,1,0,2.3,2.3,1.0,3.3,14,29,21,0.42,0.21,0.62,0.42,0.62,0.47,0.21,0.68,0.47,0.68
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,25-207,2000,11,7,640,7.1,0,1,1,0,0,0,0,0,0.2,0.2,1.0,1.2,18,64,33,0.0,0.14,0.14,0.0,0.14,0.03,0.14,0.17,0.03,0.17
Marcos Alonso,ESP,DF,Celta Vigo,34-360,1990,14,13,1163,12.9,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,34,83,12,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
Adrià Altimira,ESP,DF,Villarreal,24-270,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergi Altimira,ESP,MF,Betis,24-120,2001,10,6,540,6.0,1,1,2,1,0,0,2,0,0.2,0.2,0.2,0.3,7,15,3,0.17,0.17,0.33,0.17,0.33,0.03,0.03,0.05,0.03,0.05
Carlos Álvarez,ESP,"MF,FW",Levante,22-139,2003,16,13,1120,12.4,2,1,3,2,0,0,2,0,1.2,1.2,2.7,4.0,28,71,30,0.16,0.08,0.24,0.16,0.24,0.1,0.22,0.32,0.1,0.32
Hugo Álvarez,ESP,"FW,MF",Celta Vigo,22-174,2003,9,3,362,4.0,1,0,1,1,0,0,0,0,0.1,0.1,0.3,0.3,10,18,28,0.25,0.0,0.25,0.25,0.25,0.01,0.06,0.07,0.01,0.07
Julián Álvarez,ARG,FW,Atlético Madrid,25-326,2000,18,17,1313,14.6,7,3,10,5,2,3,2,0,6.2,3.9,4.6,8.4,41,64,79,0.48,0.21,0.69,0.34,0.55,0.43,0.31,0.74,0.27,0.58
Sofyan Amrabat,MAR,MF,Betis,29-124,1996,8,6,603,6.7,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,9,43,3,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
Miguel Ángel Rubio,ESP,DF,Espanyol,27-287,1998,6,1,138,1.5,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,1,0,0.65,0.0,0.65,0.65,0.65,0.43,0.0,0.43,0.43,0.43
Miguel Ángel Sierra,ESP,"FW,MF",Sevilla,21-162,2004,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
Antoniu,ESP,"FW,MF",Espanyol,23-109,2002,6,1,86,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,5,5,9,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.25,0.16,0.25
Antony,BRA,FW,Betis,25-302,2000,12,12,996,11.1,5,2,7,5,0,0,1,1,4.0,4.0,1.8,5.8,62,53,112,0.45,0.18,0.63,0.45,0.63,0.36,0.16,0.53,0.36,0.53
Mauro Arambarri,URU,MF,Getafe,30-084,1995,17,17,1498,16.6,2,0,2,2,0,0,3,0,2.3,2.3,0.3,2.6,11,45,36,0.12,0.0,0.12,0.12,0.12,0.14,0.02,0.15,0.14,0.15
Jon Aramburu,VEN,DF,Real Sociedad,23-153,2002,15,14,1262,14.0,0,0,0,0,0,0,5,0,0.9,0.9,0.3,1.2,9,62,37,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09
Juan Arango,VEN,FW,Girona,19-205,2006,1,0,8,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronald Araújo,URU,DF,Barcelona,26-291,1999,11,7,649,7.2,2,0,2,2,0,0,2,0,0.4,0.4,0.0,0.4,11,29,4,0.28,0.0,0.28,0.28,0.28,0.05,0.0,0.06,0.05,0.06
Jesús Areso,ESP,DF,Athletic Club,26-174,1999,15,9,973,10.8,0,1,1,0,0,0,1,0,0.0,0.0,1.2,1.3,30,28,70,0.0,0.09,0.09,0.0,0.09,0.0,0.11,0.12,0.0,0.12
Iñigo Arguibide,ESP,DF,Osasuna,20-248,2005,4,2,174,1.9,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
Kervin Arriaga,HON,MF,Levante,27-352,1998,13,9,808,9.0,1,0,1,1,0,0,4,0,0.2,0.2,0.1,0.3,6,30,5,0.11,0.0,0.11,0.11,0.11,0.02,0.01,0.03,0.02,0.03
Takuma Asano,JPN,"FW,MF",Mallorca,31-043,1994,12,4,338,3.8,1,0,1,1,0,0,2,0,1.0,1.0,0.9,2.0,8,2,19,0.27,0.0,0.27,0.27,0.27,0.27,0.25,0.52,0.27,0.52
Raúl Asencio,ESP,DF,Real Madrid,22-313,2003,12,7,764,8.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,7,31,8,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07
Iago Aspas,ESP,"FW,MF",Celta Vigo,38-144,1987,15,7,660,7.3,2,2,4,1,1,1,2,0,2.6,1.8,3.0,4.8,17,72,50,0.27,0.27,0.55,0.14,0.41,0.35,0.41,0.76,0.24,0.65
Yaser Asprilla,COL,"FW,MF",Girona,22-034,2003,14,6,593,6.6,0,0,0,0,0,0,0,0,0.6,0.6,1.7,2.2,20,22,51,0.0,0.0,0.0,0.0,0.0,0.09,0.25,0.34,0.09,0.34
Lander Astiazaran,ESP,MF,Real Sociedad,19-260,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,2.71,0.0,2.71,2.71,2.71
Ezequiel Ávila,ARG,"FW,MF",Betis,31-320,1994,6,0,50,0.6,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,1,2,0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48
César Azpilicueta,ESP,DF,Sevilla,36-117,1989,9,9,677,7.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,6,20,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Baena,ESP,"MF,FW",Atlético Madrid,24-156,2001,10,8,551,6.1,2,1,3,2,0,0,2,0,1.2,1.2,2.5,3.7,19,37,47,0.33,0.16,0.49,0.33,0.49,0.19,0.41,0.6,0.19,0.6
