Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Mark McKenzie,USA,DF,Toulouse,25.0,1999.0,27.7,1648,181,736,849,70,15,1648,9,4,44.4,5,55.6,878,3391,1826,10,9,1,13,7,969,5
Facundo Medina,ARG,DF,Lens,25.0,1999.0,28.3,2176,121,706,1150,341,31,2176,27,10,37.0,17,63.0,1328,6893,3678,46,48,2,27,14,1514,42
Henrik Meister,DEN,FW,Rennes,20.0,2003.0,0.7,31,0,3,15,13,3,31,0,0,,0,,12,97,48,2,1,1,7,2,14,4
Bamo Meïté,CIV,DF,Montpellier,22.0,2001.0,4.7,210,25,112,85,13,2,210,2,1,50.0,1,50.0,99,405,208,1,2,0,3,3,142,1
Bamo Meïté,CIV,DF,Marseille,22.0,2001.0,0.3,31,1,22,9,0,0,31,1,0,0.0,1,100.0,21,42,20,0,0,0,0,0,24,0
Mohamed Meité,FRA,FW,Rennes,16.0,2007.0,6.0,155,4,9,66,81,29,155,11,1,9.1,9,81.8,100,440,190,8,5,5,21,17,126,37
Farid El Melali,ALG,FW,Angers,27.0,1997.0,21.0,842,11,142,287,441,70,842,119,52,43.7,63,52.9,472,3930,1752,62,39,31,64,40,517,113
Nuno Mendes,POR,DF,Paris S-G,22.0,2002.0,18.6,1701,55,375,880,464,42,1701,53,31,58.5,21,39.6,991,4832,3207,58,43,12,28,22,1215,108
Antoine Mendy,SEN,DF,Nice,20.0,2004.0,9.2,595,44,222,323,59,11,595,12,5,41.7,5,41.7,314,1608,871,12,10,1,11,4,365,15
Nampalys Mendy,SEN,MF,Lens,32.0,1992.0,6.5,357,11,77,222,58,3,357,4,1,25.0,3,75.0,204,808,338,2,5,0,7,9,245,3
Gideon Mensah,GHA,DF,Auxerre,26.0,1998.0,25.3,1627,95,542,767,338,15,1627,54,29,53.7,23,42.6,880,4696,2499,52,32,7,39,31,888,101
Quentin Merlin,FRA,DF,Marseille,22.0,2002.0,17.7,1296,17,207,566,535,49,1296,19,4,21.1,13,68.4,732,3338,1591,40,30,9,20,9,924,169
Rafik Messali,FRA,DF,Toulouse,21.0,2003.0,5.1,298,12,71,132,100,12,298,9,4,44.4,5,55.6,155,897,454,13,7,5,16,12,176,29
Thomas Meunier,BEL,DF,Lille,32.0,1991.0,21.4,1736,71,393,840,514,58,1736,28,14,50.0,13,46.4,899,5120,2521,64,49,5,24,11,1122,148
Lucas Michal,FRA,"FW,MF",Monaco,19.0,2005.0,1.3,64,2,7,25,35,6,64,4,1,25.0,2,50.0,38,269,140,4,6,1,1,3,44,11
Georges Mikautadze,GEO,FW,Lyon,23.0,2000.0,16.1,653,9,45,259,357,119,649,59,17,28.8,39,66.1,402,2305,919,37,16,21,49,20,510,140
Igor Miladinović,SRB,"FW,MF",Saint-Étienne,21.0,2003.0,0.3,20,2,7,8,5,0,20,1,0,0.0,1,100.0,10,41,10,0,1,0,1,1,14,1
Takumi Minamino,JPN,"MF,FW",Monaco,29.0,1995.0,24.8,1016,24,95,451,479,135,1016,40,12,30.0,24,60.0,567,3076,1496,51,28,27,56,23,709,193
Lucas Mincarelli,FRA,DF,Montpellier,20.0,2004.0,7.9,462,35,181,207,77,8,462,5,1,20.0,4,80.0,255,1441,819,15,11,2,5,2,297,16
Terem Moffi,NGA,FW,Nice,25.0,1999.0,0.6,17,0,0,5,12,5,17,1,1,100.0,0,0.0,9,51,20,1,0,1,0,1,15,4
Mostafa Mohamed,EGY,FW,Nantes,26.0,1997.0,13.9,452,34,69,177,217,76,452,26,12,46.2,14,53.8,239,1011,438,11,15,2,47,22,285,50
Florent Mollet,FRA,"MF,FW",Nantes,32.0,1991.0,2.7,125,5,19,64,42,5,125,3,2,66.7,1,33.3,85,406,164,3,3,0,2,1,84,12
Diego Moreira,BEL,"DF,MF",Strasbourg,19.0,2004.0,28.5,1701,82,408,736,588,81,1701,125,57,45.6,59,47.2,953,5886,3285,99,63,36,65,33,1098,245
Gabriel Moscardo,BRA,"MF,DF",Reims,18.0,2005.0,0.9,54,0,14,31,9,2,54,2,1,50.0,1,50.0,29,151,62,1,0,0,3,3,36,3
Yael Mouanga,FRA,DF,Montpellier,19.0,2005.0,10.5,589,92,316,253,22,4,589,5,5,100.0,0,0.0,337,1862,945,4,5,2,9,3,386,2
Aimen Moueffek,FRA,MF,Saint-Étienne,23.0,2001.0,11.5,554,35,112,301,150,25,554,24,11,45.8,13,54.2,302,1371,635,20,13,4,34,13,350,31
Youssoufa Moukoko,GER,"FW,MF",Nice,19.0,2004.0,2.3,75,0,9,30,37,14,75,7,2,28.6,5,71.4,43,202,80,2,1,1,3,4,46,12
Louis Mouton,FRA,MF,Saint-Étienne,22.0,2002.0,11.6,703,20,153,349,211,24,703,24,12,50.0,12,50.0,366,1633,776,18,9,2,14,13,456,51
Ngal'Ayel Mukau,COD,MF,Lille,19.0,2004.0,13.2,778,19,115,466,201,16,778,17,9,52.9,8,47.1,426,1779,851,19,18,3,18,8,570,43
Marshall Munetsi,ZIM,MF,Reims,28.0,1996.0,18.8,594,40,139,271,187,60,594,12,6,50.0,6,50.0,206,666,247,8,7,2,26,5,294,48
Almoatasem Al Musrati,LBY,MF,Monaco,28.0,1996.0,4.3,339,6,55,209,76,7,339,4,2,50.0,2,50.0,195,757,401,2,5,0,3,2,237,5
Junior Mwanga,FRA,MF,Le Havre,21.0,2003.0,10.6,555,27,156,322,88,12,555,16,7,43.8,9,56.3,315,1751,844,15,7,2,9,15,342,15
Junior Mwanga,FRA,MF,Strasbourg,21.0,2003.0,3.3,177,6,55,113,13,1,177,6,2,33.3,4,66.7,99,428,138,2,2,0,5,6,119,2
Loïc N'Gatta,FRA,DF,Auxerre,20.0,2003.0,0.1,19,2,3,13,3,0,19,0,0,,0,,12,101,60,2,0,0,1,2,13,0
Djylian N'Guessan,FRA,FW,Saint-Étienne,15.0,2008.0,2.0,80,0,10,39,31,9,80,10,2,20.0,7,70.0,49,218,58,1,1,2,4,4,61,16
Mickael Nade,FRA,DF,Saint-Étienne,25.0,1999.0,25.6,1665,280,841,785,51,10,1665,8,3,37.5,4,50.0,825,3565,2148,17,11,1,16,5,1076,2
Bilal Nadir,MAR,MF,Marseille,20.0,2003.0,4.3,305,7,44,159,107,11,305,9,4,44.4,2,22.2,167,1027,563,18,12,3,7,8,232,25
Mahamadou Nagida,CMR,DF,Rennes,19.0,2005.0,4.8,289,8,64,118,113,9,289,14,5,35.7,5,35.7,169,1217,674,22,12,3,10,7,179,55
Keito Nakamura,JPN,"FW,MF",Reims,24.0,2000.0,29.4,1110,28,179,391,554,129,1110,78,30,38.5,45,57.7,675,4372,2356,90,45,33,67,43,776,197
Sebastian Nanasi,SWE,"MF,FW",Strasbourg,22.0,2002.0,23.4,992,22,141,471,393,73,992,40,19,47.5,19,47.5,557,2735,1563,53,41,15,20,15,690,127
Yael Nandjou,FRA,DF,Nice,19.0,2005.0,1.7,89,10,32,35,23,6,89,1,1,100.0,0,0.0,27,82,52,2,0,1,1,0,40,9
Youssouf Ndayishimiye,BDI,DF,Nice,25.0,1998.0,21.5,1581,179,648,866,83,10,1581,8,6,75.0,2,25.0,906,4350,2619,17,12,0,14,7,1040,9
Junior Ndiaye,FRA,FW,Montpellier,19.0,2005.0,4.9,124,2,10,63,51,16,124,8,2,25.0,4,50.0,61,327,142,5,4,5,14,4,90,26
