Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Keyliane Abdallah,FRA,FW,Marseille,18.0,2006.0,0.0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,36.0,1987.0,11.5,438,505,86.7,7952,2404,147,160,91.9,263,287,91.6,23,48,47.9,0,0.1,0.3,-0.1,2,28,0,0,22
Himad Abdelli,ALG,"MF,FW",Angers,24.0,1999.0,31.6,1373,1672,82.1,21646,6031,710,807,88.0,531,612,86.8,82,151,54.3,1,3.2,3.7,-2.2,39,171,38,3,207
Mohamed Abdelmoneim,EGY,DF,Nice,25.0,1999.0,9.5,471,521,90.4,8299,2620,195,207,94.2,241,259,93.1,27,44,61.4,0,0.0,0.2,0.0,0,41,1,0,52
Ali Abdi,TUN,"DF,MF",Nice,30.0,1993.0,15.5,502,678,74.0,7914,2701,269,314,85.7,188,245,76.7,33,72,45.8,2,1.9,1.7,0.1,20,19,21,7,42
Matthis Abline,FRA,FW,Nantes,21.0,2003.0,30.8,351,538,65.2,5145,976,185,256,72.3,119,160,74.4,20,38,52.6,2,3.8,3.4,-1.8,27,23,15,4,48
Abner,BRA,DF,Lyon,24.0,2000.0,12.1,568,675,84.1,8355,3494,335,366,91.5,181,210,86.2,33,55,60.0,1,1.1,2.3,-0.1,11,45,11,2,66
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24.0,2000.0,21.1,221,349,63.3,2789,753,145,193,75.1,56,94,59.6,6,15,40.0,2,1.6,2.0,0.4,12,16,10,4,22
Martin Adeline,FRA,MF,Reims,20.0,2003.0,0.3,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0
Adryelson,BRA,DF,Lyon,26.0,1998.0,0.0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
Emmanuel Agbadou,CIV,DF,Reims,27.0,1997.0,14.0,810,922,87.9,16521,6962,293,316,92.7,400,417,95.9,110,174,63.2,0,0.3,0.3,-0.3,8,71,4,1,77
Jeremy Agbonifo,SWE,"FW,MF",Lens,18.0,2005.0,3.3,58,80,72.5,743,182,37,43,86.0,18,24,75.0,1,4,25.0,0,0.2,0.4,-0.2,3,4,4,2,6
Ruben Aguilar,FRA,"DF,MF",Lens,31.0,1993.0,12.5,677,843,80.3,9523,4115,430,487,88.3,184,238,77.3,34,54,63.0,2,1.9,1.4,0.1,11,44,21,6,74
Naouirou Ahamada,FRA,"MF,FW",Rennes,22.0,2002.0,0.6,17,22,77.3,266,33,8,11,72.7,9,9,100.0,0,2,0.0,0,0.0,0.0,0.0,0,2,0,0,1
Jean-Eudes Aholou,CIV,MF,Angers,30.0,1994.0,21.8,644,764,84.3,10183,2687,320,361,88.6,287,322,89.1,21,47,44.7,0,1.0,0.7,-1.0,10,46,7,0,68
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,19.0,2005.0,1.4,17,29,58.6,234,93,12,17,70.6,4,7,57.1,1,3,33.3,0,0.0,0.0,0.0,1,2,1,0,5
Ludovic Ajorque,FRA,FW,Brest,30.0,1994.0,27.7,462,671,68.9,6965,969,254,354,71.8,147,198,74.2,35,48,72.9,2,3.1,1.8,-1.1,35,29,11,1,41
Ümit Akdag,ROU,DF,Toulouse,20.0,2003.0,5.6,274,348,78.7,4648,1667,122,144,84.7,137,152,90.1,13,39,33.3,0,0.1,0.1,-0.1,2,18,1,0,29
