Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Keyliane Abdallah,FRA,FW,Marseille,18.0,2006.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,36.0,1987.0,11.5,505,461,42,20,0,0,0,3,0,0,0,0,438,2,1
Himad Abdelli,ALG,"MF,FW",Angers,24.0,1999.0,31.6,1672,1555,107,41,23,13,44,15,10,5,2,0,1373,10,31
Mohamed Abdelmoneim,EGY,DF,Nice,25.0,1999.0,9.5,521,493,28,21,0,7,2,5,0,0,0,0,471,0,2
Ali Abdi,TUN,"DF,MF",Nice,30.0,1993.0,15.5,678,551,122,12,0,2,51,110,0,0,0,0,502,5,22
Matthis Abline,FRA,FW,Nantes,21.0,2003.0,30.8,538,510,26,1,3,4,30,1,0,0,0,0,351,2,27
Abner,BRA,DF,Lyon,24.0,2000.0,12.1,675,576,97,9,1,5,31,82,6,6,0,0,568,2,19
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24.0,2000.0,21.1,349,333,13,1,0,0,33,7,3,2,0,0,221,3,14
Martin Adeline,FRA,MF,Reims,20.0,2003.0,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
Adryelson,BRA,DF,Lyon,26.0,1998.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Emmanuel Agbadou,CIV,DF,Reims,27.0,1997.0,14.0,922,842,77,37,3,22,1,4,0,0,0,0,810,3,4
Jeremy Agbonifo,SWE,"FW,MF",Lens,18.0,2005.0,3.3,80,75,5,0,0,0,7,5,0,0,0,0,58,0,4
Ruben Aguilar,FRA,"DF,MF",Lens,31.0,1993.0,12.5,843,706,132,10,2,4,47,122,0,0,0,0,677,5,29
Naouirou Ahamada,FRA,"MF,FW",Rennes,22.0,2002.0,0.6,22,22,0,0,0,0,1,0,0,0,0,0,17,0,0
Jean-Eudes Aholou,CIV,MF,Angers,30.0,1994.0,21.8,764,753,9,9,2,2,2,0,0,0,0,0,644,2,9
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,19.0,2005.0,1.4,29,29,0,0,0,0,1,0,0,0,0,0,17,0,1
Ludovic Ajorque,FRA,FW,Brest,30.0,1994.0,27.7,671,660,8,0,2,12,7,1,0,0,0,0,462,3,16
Ümit Akdag,ROU,DF,Toulouse,20.0,2003.0,5.6,348,317,31,8,1,3,3,20,0,0,0,0,274,0,9
Sergio Akieme,ESP,DF,Reims,26.0,1997.0,28.0,1147,952,190,25,0,1,94,152,11,9,0,0,929,5,19
Maghnes Akliouche,FRA,"FW,MF",Monaco,22.0,2002.0,26.7,1216,1163,43,10,8,8,53,16,17,11,2,0,989,10,34
Adams Akor,NGA,FW,Montpellier,24.0,2000.0,11.9,179,160,17,0,1,2,5,0,0,0,0,0,112,2,7
Paul Akouokou,CIV,MF,Lyon,26.0,1997.0,0.2,15,15,0,0,0,0,0,0,0,0,0,0,10,0,1
Clément Akpa,CIV,DF,Auxerre,22.0,2001.0,27.6,1209,1105,101,56,0,40,25,40,2,1,1,0,998,3,20
Chuba Akpom,ENG,FW,Lille,28.0,1995.0,7.1,99,87,11,0,1,0,1,0,0,0,0,0,67,1,8
Mohamed Ali Cho,FRA,"FW,MF",Nice,20.0,2004.0,18.0,481,456,23,3,9,2,51,0,9,4,4,0,338,2,23
Jim Allevinah,GAB,FW,Angers,29.0,1995.0,19.4,483,472,9,1,2,1,34,4,2,0,2,0,363,2,13
Thiago Almada,ARG,"MF,FW",Lyon,23.0,2001.0,10.6,748,668,71,28,5,8,47,6,35,20,7,0,635,9,6
Jordan Amavi,FRA,DF,Brest,30.0,1994.0,8.8,526,428,96,9,0,2,15,87,0,0,0,0,386,2,13
Kelvin Amian,FRA,DF,Nantes,26.0,1998.0,24.1,921,719,200,14,4,1,37,184,0,0,0,0,738,2,24
Michael Amir Murillo,PAN,DF,Marseille,28.0,1996.0,27.1,1902,1691,207,44,1,0,37,162,0,0,0,0,1665,4,32
Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,18.0,2006.0,3.6,123,116,7,1,1,0,6,3,3,1,0,0,106,0,3
Mathis Amougou,FRA,MF,Saint-Étienne,18.0,2006.0,9.5,301,290,7,4,1,1,1,1,0,0,0,0,232,4,4
Benjamin André,FRA,MF,Lille,33.0,1990.0,29.9,1911,1845,57,53,1,20,16,4,0,0,0,0,1586,9,31
Kyllian Antonio,FRA,"DF,MF",Lens,16.0,2008.0,1.5,97,88,9,2,0,0,2,7,0,0,0,0,81,0,4
Dennis Appiah,FRA,DF,Saint-Étienne,32.0,1992.0,23.6,1179,957,218,16,3,2,52,202,0,0,0,0,903,4,43
Carlens Arcus,HAI,DF,Angers,28.0,1996.0,22.7,1020,843,173,20,2,3,55,152,1,0,0,0,810,4,20
Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,21.0,2003.0,19.5,946,880,64,14,5,4,59,10,35,11,16,1,751,2,22
Marco Asensio,ESP,"FW,MF",Paris S-G,28.0,1996.0,6.9,335,314,19,2,4,1,13,3,6,2,0,0,291,2,7
Lorenz Assignon,TOG,"DF,MF",Rennes,24.0,2000.0,26.2,1301,1067,228,15,3,5,70,212,1,0,0,0,1015,6,38
Dehmaine Assoumani,FRA,"MF,FW",Nantes,19.0,2005.0,1.1,50,46,4,1,0,0,6,1,1,0,1,0,38,0,2
Valentin Atangana Edoa,FRA,MF,Reims,18.0,2005.0,31.7,1056,1037,13,11,2,0,17,1,0,0,0,0,908,6,14
Florian Ayé,FRA,FW,Auxerre,27.0,1997.0,6.4,129,120,8,0,0,1,2,0,0,0,0,0,95,1,5
André Ayew,GHA,FW,Le Havre,34.0,1989.0,16.1,238,196,42,1,0,0,7,3,0,0,0,0,181,0,10
Neil El Aynaoui,MAR,MF,Lens,23.0,2001.0,17.6,966,881,82,16,4,7,65,3,54,20,30,0,816,3,17
Shavy Babicka,GAB,"MF,FW",Toulouse,24.0,2000.0,13.2,292,279,11,1,1,3,39,9,0,0,0,0,196,2,12
Theo Bair,CAN,FW,Auxerre,24.0,1999.0,10.4,213,206,7,0,0,1,7,1,0,0,0,0,132,0,5
Mitchel Bakker,NED,"FW,DF",Lille,24.0,2000.0,12.7,641,580,60,8,2,1,68,30,22,8,11,0,499,1,14
Darryl Bakola,FRA,"DF,MF",Marseille,16.0,2007.0,0.2,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0
Dilane Bakwa,FRA,"MF,DF",Strasbourg,21.0,2002.0,27.7,1109,961,141,48,11,15,153,31,62,29,27,0,808,7,23
Leonardo Balerdi,ARG,DF,Marseille,25.0,1999.0,25.3,2516,2452,61,44,3,8,2,1,0,0,0,0,2360,3,12
Fodé Ballo-Touré,SEN,"DF,MF",Le Havre,27.0,1997.0,6.5,311,221,90,26,0,1,21,63,1,0,1,0,259,0,11
Folarin Balogun,USA,FW,Monaco,23.0,2001.0,6.8,125,118,6,0,0,0,5,1,0,0,0,0,85,1,6
Abdoulaye Bamba,CIV,DF,Angers,34.0,1990.0,16.8,585,551,34,13,1,1,5,20,0,0,0,0,518,0,4
Mohamed Bamba,CIV,MF,Reims,19.0,2004.0,0.1,19,19,0,0,0,1,0,0,0,0,0,0,16,0,1
Valentín Barco,ARG,"MF,DF",Strasbourg,20.0,2004.0,12.9,777,708,68,17,2,4,31,48,2,1,0,0,644,1,16
Bradley Barcola,FRA,FW,Paris S-G,21.0,2002.0,24.2,917,894,19,5,6,2,25,12,2,0,0,0,749,4,22
Melvin Bard,FRA,"DF,MF",Nice,23.0,2000.0,21.5,1166,998,162,24,4,0,60,136,1,0,0,0,903,6,29
Gabriel Bares,SUI,"MF,DF",Montpellier,23.0,2000.0,0.6,40,39,1,1,0,0,1,0,0,0,0,0,34,0,0
Téo Barisic,CRO,DF,Lyon,19.0,2004.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Dylan Batubinsika,COD,DF,Saint-Étienne,28.0,1996.0,22.4,1217,1179,34,28,1,0,1,6,0,0,0,0,1112,4,4
Haris Belkebla,ALG,MF,Angers,30.0,1994.0,19.9,830,804,24,22,0,3,3,2,0,0,0,0,727,2,14
Yassin Belkhdim,FRA,MF,Angers,22.0,2002.0,16.9,487,484,3,2,1,4,16,1,0,0,0,0,394,0,17
Eliesse Ben Seghir,MAR,"MF,FW",Monaco,19.0,2005.0,19.4,951,885,64,12,14,3,52,8,34,18,11,0,754,2,18
Ismaël Bennacer,ALG,MF,Marseille,26.0,1997.0,7.2,810,765,41,18,3,1,28,1,22,12,10,0,737,4,7
Saïd Benrahma,ALG,"FW,MF",Lyon,28.0,1995.0,8.2,358,334,20,6,1,2,43,2,12,4,6,0,258,4,11
Nabil Bentaleb,ALG,MF,Lille,29.0,1994.0,3.7,244,235,8,7,0,4,6,0,1,0,1,0,210,1,1
Lucas Beraldo,BRA,DF,Paris S-G,20.0,2003.0,22.3,2132,2072,55,29,1,9,3,25,0,0,0,0,2013,5,6
Maxime Bernauer,FRA,DF,Saint-Étienne,26.0,1998.0,8.5,469,452,14,12,1,4,0,1,0,0,0,0,413,3,3
Dimitry Bertaud,COD,GK,Montpellier,26.0,1998.0,4.0,114,80,33,6,0,0,0,0,0,0,0,0,82,1,0
Mika Biereth,DEN,FW,Monaco,21.0,2003.0,13.6,241,222,15,1,2,1,8,1,0,0,0,0,149,4,15
Emmanuel Biumla,FRA,DF,Angers,19.0,2005.0,14.8,499,473,23,21,0,1,0,0,0,0,0,0,440,3,2
Marco Bizot,NED,GK,Brest,33.0,1991.0,32.0,1121,818,300,84,0,2,0,0,0,0,0,0,775,3,0
Ludovic Blas,FRA,"MF,FW",Rennes,26.0,1997.0,25.5,938,817,119,45,8,21,124,6,64,42,14,0,693,2,20
