Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
491,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,27,1997,21.4,0,4,1,25.0,0.19,0.05,0.00,0.00,22.3,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
492,Abdallah Sima,sn SEN,"FW,MF",Brest,23,2001,13.8,7,37,18,48.6,2.69,1.31,0.19,0.39,13.1,0,0,0,5.9,5.9,0.16,+1.1,+1.1,Matches
493,Moses Simon,ng NGA,"FW,MF",Nantes,29,1995,29.0,8,40,13,32.5,1.38,0.45,0.10,0.31,19.6,2,4,4,5.8,2.7,0.07,+2.2,+1.3,Matches
494,Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,24,1999,25.5,5,60,16,26.7,2.35,0.63,0.07,0.25,16.1,0,1,1,6.5,5.7,0.10,-1.5,-1.7,Matches
495,Wilfried Singo,ci CIV,DF,Monaco,23,2000,23.3,1,17,5,29.4,0.73,0.21,0.06,0.20,10.8,0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches
496,Ayanda Sishuba,be BEL,FW,Rennes,19,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
497,Ibrahim Sissoko,ml MLI,FW,Saint-Étienne,28,1995,9.1,3,21,4,19.0,2.31,0.44,0.10,0.50,14.6,0,1,1,4.3,3.5,0.17,-1.3,-1.5,Matches
498,Niama Sissoko,ml MLI,"FW,MF",Reims,18,2005,0.5,0,3,0,0.0,5.74,0.00,0.00,,12.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
499,Leo Skiri Østigård,no NOR,DF,Rennes,24,1999,13.6,1,6,2,33.3,0.44,0.15,0.17,0.50,8.8,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches
500,Milan Škriniar,sk SVK,DF,Paris S-G,29,1995,4.2,0,3,0,0.0,0.71,0.00,0.00,,10.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
