Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
530,Vanderson,br BRA,DF,Monaco,23,2001,22.9,1090,1403,77.7,18537,6599,547,623,87.8,412,522,78.9,103,174,59.2,3,3.1,3.8,-0.1,23,76,29,12,102,Matches
531,Robinio Vaz,fr FRA,FW,Marseille,17,2007,0.8,2,8,25.0,27,0,1,4,25.0,1,1,100.0,0,1,0.0,0,0.0,0.1,0.0,0,0,0,0,0,Matches
532,Jordan Veretout,fr FRA,MF,Lyon,31,1993,17.3,792,944,83.9,13258,3471,380,424,89.6,337,386,87.3,60,92,65.2,0,0.6,0.9,-0.6,13,86,12,0,99,Matches
533,Ben Viadere,fr FRA,MF,Auxerre,18,2005,0.1,2,6,33.3,37,27,1,1,100.0,0,2,0.0,1,2,50.0,0,0.0,0.1,0.0,1,0,0,0,0,Matches
534,Vitinha,pt POR,MF,Paris S-G,24,2000,22.7,2236,2403,93.1,39605,9228,1017,1058,96.1,920,963,95.5,251,297,84.5,1,2.6,3.8,-1.6,27,257,37,3,224,Matches
535,Ibrahima Wadji,sn SEN,"FW,MF",Saint-Étienne,29,1995,3.9,53,63,84.1,680,65,26,29,89.7,21,26,80.8,0,0,,0,0.0,0.1,0.0,1,2,1,0,4,Matches
536,Elye Wahi,fr FRA,FW,Marseille,21,2003,6.4,88,111,79.3,1129,158,59,67,88.1,20,23,87.0,3,4,75.0,1,0.4,0.2,+0.6,6,7,0,0,7,Matches
537,Caleb Wiley,us USA,"DF,MF",Strasbourg,19,2004,3.0,97,123,78.9,1476,602,56,65,86.2,32,37,86.5,5,11,45.5,1,0.7,0.3,+0.3,2,2,3,2,7,Matches
538,Christopher Wooh,cm CMR,DF,Rennes,22,2001,16.2,749,860,87.1,14386,5490,232,259,89.6,456,489,93.3,56,99,56.6,0,0.1,0.3,-0.1,2,51,2,0,59,Matches
539,Etienne Youte Kinkoue,fr FRA,DF,Le Havre,22,2002,25.8,1124,1262,89.1,23138,7156,258,274,94.2,745,777,95.9,115,193,59.6,0,0.2,0.3,-0.2,3,62,3,1,63,Matches
540,Eloge Zabi,ci CIV,"DF,MF",Reims,17,2006,0.2,9,12,75.0,122,54,6,6,100.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
541,Yoram Zague,fr FRA,"DF,FW",Paris S-G,18,2006,2.0,172,183,94.0,2831,596,74,78,94.9,90,94,95.7,6,7,85.7,0,0.1,0.1,-0.1,2,4,2,1,10,Matches
