Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Keyliane Abdallah,FRA,FW,Marseille,18.0,2006.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,36.0,1987.0,11.5,6,0.55,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Himad Abdelli,ALG,"MF,FW",Angers,24.0,1999.0,31.6,94,2.98,80,2,5,1,3,3,5,0.16,3,0,2,0,0,0
Mohamed Abdelmoneim,EGY,DF,Nice,25.0,1999.0,9.5,8,0.84,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ali Abdi,TUN,"DF,MF",Nice,30.0,1993.0,15.5,45,2.91,33,3,4,4,0,1,3,0.19,1,1,0,1,0,0
Matthis Abline,FRA,FW,Nantes,21.0,2003.0,30.8,61,1.98,43,0,8,6,3,1,9,0.29,6,0,2,1,0,0
Abner,BRA,DF,Lyon,24.0,2000.0,12.1,25,2.06,21,3,0,1,0,0,1,0.08,1,0,0,0,0,0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24.0,2000.0,21.1,34,1.61,19,0,4,6,4,1,7,0.33,3,0,1,0,3,0
Martin Adeline,FRA,MF,Reims,20.0,2003.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Adryelson,BRA,DF,Lyon,26.0,1998.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Emmanuel Agbadou,CIV,DF,Reims,27.0,1997.0,14.0,21,1.5,19,0,1,1,0,0,1,0.07,1,0,0,0,0,0
Jeremy Agbonifo,SWE,"FW,MF",Lens,18.0,2005.0,3.3,8,2.4,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Ruben Aguilar,FRA,"DF,MF",Lens,31.0,1993.0,12.5,26,2.08,24,0,0,2,0,0,5,0.4,4,0,0,1,0,0
Naouirou Ahamada,FRA,"MF,FW",Rennes,22.0,2002.0,0.6,2,3.1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jean-Eudes Aholou,CIV,MF,Angers,30.0,1994.0,21.8,33,1.52,21,0,2,4,3,3,1,0.05,0,0,0,0,1,0
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,19.0,2005.0,1.4,1,0.71,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ludovic Ajorque,FRA,FW,Brest,30.0,1994.0,27.7,60,2.17,49,0,2,5,2,2,8,0.29,3,0,1,3,1,0
Ümit Akdag,ROU,DF,Toulouse,20.0,2003.0,5.6,5,0.9,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sergio Akieme,ESP,DF,Reims,26.0,1997.0,28.0,37,1.32,29,4,0,2,2,0,3,0.11,3,0,0,0,0,0
Maghnes Akliouche,FRA,"FW,MF",Monaco,22.0,2002.0,26.7,119,4.45,87,3,12,6,8,3,19,0.71,17,0,0,2,0,0
Adams Akor,NGA,FW,Montpellier,24.0,2000.0,11.9,25,2.09,18,0,4,1,2,0,5,0.42,2,0,1,0,2,0
Paul Akouokou,CIV,MF,Lyon,26.0,1997.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Clément Akpa,CIV,DF,Auxerre,22.0,2001.0,27.6,22,0.8,15,3,0,0,2,2,4,0.14,2,0,0,0,2,0
Chuba Akpom,ENG,FW,Lille,28.0,1995.0,7.1,17,2.39,8,0,2,5,2,0,3,0.42,1,0,0,1,1,0
Mohamed Ali Cho,FRA,"FW,MF",Nice,20.0,2004.0,18.0,59,3.28,45,3,5,1,5,0,11,0.61,8,0,1,1,1,0
Jim Allevinah,GAB,FW,Angers,29.0,1995.0,19.4,39,2.0,25,1,3,6,3,1,7,0.36,4,0,0,2,1,0
Thiago Almada,ARG,"MF,FW",Lyon,23.0,2001.0,10.6,52,4.92,39,8,1,3,1,0,11,1.04,10,0,0,0,1,0
Jordan Amavi,FRA,DF,Brest,30.0,1994.0,8.8,14,1.59,13,0,0,1,0,0,1,0.11,1,0,0,0,0,0
Kelvin Amian,FRA,DF,Nantes,26.0,1998.0,24.1,38,1.58,26,7,1,1,2,1,1,0.04,1,0,0,0,0,0
Michael Amir Murillo,PAN,DF,Marseille,28.0,1996.0,27.1,47,1.74,39,2,3,2,0,1,6,0.22,5,0,1,0,0,0
Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,18.0,2006.0,3.6,14,3.93,9,1,2,2,0,0,1,0.28,1,0,0,0,0,0
Mathis Amougou,FRA,MF,Saint-Étienne,18.0,2006.0,9.5,17,1.78,14,0,2,1,0,0,0,0.0,0,0,0,0,0,0
Benjamin André,FRA,MF,Lille,33.0,1990.0,29.9,53,1.77,46,0,0,2,4,1,9,0.3,6,0,0,2,1,0
Kyllian Antonio,FRA,"DF,MF",Lens,16.0,2008.0,1.5,1,0.65,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dennis Appiah,FRA,DF,Saint-Étienne,32.0,1992.0,23.6,38,1.61,32,3,2,0,0,1,3,0.13,2,1,0,0,0,0
Carlens Arcus,HAI,DF,Angers,28.0,1996.0,22.7,37,1.63,32,1,1,0,1,2,3,0.13,2,0,0,0,1,0
