Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
40,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,19,2005,1.1,0,0,0,1,4,0,6,1,3,0,0,0,8,2,3,40.0,Matches
41,Valentin Atangana Edoa,fr FRA,MF,Reims,18,2005,31.7,7,0,0,57,50,8,17,37,50,0,0,0,117,47,34,58.0,Matches
42,Florian Ayé,fr FRA,FW,Auxerre,27,1997,6.4,0,0,0,10,6,3,2,7,2,0,0,0,14,13,37,26.0,Matches
43,André Ayew,gh GHA,FW,Le Havre,34,1989,16.1,2,0,0,19,30,6,7,3,10,0,0,0,26,37,63,37.0,Matches
44,Neil El Aynaoui,ma MAR,MF,Lens,23,2001,17.6,4,0,0,34,32,0,65,30,21,0,0,0,90,24,15,61.5,Matches
45,Shavy Babicka,ga GAB,"MF,FW",Toulouse,24,2000,13.2,2,0,0,16,21,7,39,3,12,0,0,0,54,7,17,29.2,Matches
46,Theo Bair,ca CAN,FW,Auxerre,24,1999,10.4,1,0,0,20,5,8,7,3,3,0,0,0,15,55,46,54.5,Matches
47,Mitchel Bakker,nl NED,"FW,DF",Lille,24,2000,12.7,3,1,0,18,9,4,68,12,13,0,0,0,46,3,10,23.1,Matches
48,Darryl Bakola,fr FRA,"DF,MF",Marseille,16,2007,0.2,1,0,0,3,0,0,0,0,1,0,0,0,1,0,0,,Matches
49,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,21,2002,27.7,4,0,0,29,71,5,153,15,14,0,0,0,92,11,8,57.9,Matches
50,Leonardo Balerdi,ar ARG,DF,Marseille,25,1999,25.3,9,1,1,28,20,0,2,38,39,0,0,1,161,39,21,65.0,Matches
51,Fodé Ballo-Touré,sn SEN,"DF,MF",Le Havre,27,1997,6.5,0,0,0,3,14,0,21,4,7,0,0,0,31,4,5,44.4,Matches
52,Folarin Balogun,us USA,FW,Monaco,23,2001,6.8,0,0,0,7,9,8,5,1,1,0,0,0,15,4,20,16.7,Matches
53,Abdoulaye Bamba,ci CIV,DF,Angers,34,1990,16.8,2,0,0,10,7,0,5,19,12,0,0,0,47,11,17,39.3,Matches
54,Mohamed Bamba,ci CIV,MF,Reims,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
55,Valentín Barco,ar ARG,"MF,DF",Strasbourg,20,2004,12.9,2,0,0,17,29,0,31,13,22,0,1,0,79,7,7,50.0,Matches
56,Bradley Barcola,fr FRA,FW,Paris S-G,21,2002,24.2,2,0,0,30,22,7,25,19,17,0,0,0,67,14,7,66.7,Matches
57,Melvin Bard,fr FRA,"DF,MF",Nice,23,2000,21.5,4,2,1,17,22,2,60,29,36,0,0,0,124,24,20,54.5,Matches
58,Gabriel Bares,ch SUI,"MF,DF",Montpellier,23,2000,0.6,0,0,0,0,1,0,1,1,2,0,0,0,1,0,1,0.0,Matches
59,Téo Barisic,hr CRO,DF,Lyon,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
60,Dylan Batubinsika,cd COD,DF,Saint-Étienne,28,1996,22.4,3,1,0,24,13,0,1,39,13,0,3,1,76,45,17,72.6,Matches
61,Haris Belkebla,dz ALG,MF,Angers,30,1994,19.9,1,0,0,18,32,1,3,35,38,0,0,0,90,8,21,27.6,Matches
62,Yassin Belkhdim,fr FRA,MF,Angers,22,2002,16.9,4,0,0,28,15,2,16,21,27,0,0,0,74,5,15,25.0,Matches
63,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,19,2005,19.4,0,0,0,25,55,2,52,13,22,0,0,0,86,13,22,37.1,Matches
64,Ismaël Bennacer,dz ALG,MF,Marseille,26,1997,7.2,2,0,0,19,11,0,28,10,10,0,0,0,50,2,4,33.3,Matches
65,Saïd Benrahma,dz ALG,"FW,MF",Lyon,28,1995,8.2,0,0,0,6,6,6,43,3,5,0,0,0,32,0,0,,Matches
66,Nabil Bentaleb,dz ALG,MF,Lille,29,1994,3.7,0,0,0,3,1,0,6,5,3,0,0,0,20,3,3,50.0,Matches
67,Lucas Beraldo,br BRA,DF,Paris S-G,20,2003,22.3,6,0,0,22,9,1,3,21,31,0,1,0,115,45,21,68.2,Matches
68,Maxime Bernauer,fr FRA,DF,Saint-Étienne,26,1998,8.5,4,1,1,10,4,0,0,5,9,0,1,0,37,11,7,61.1,Matches
69,Dimitry Bertaud,cd COD,GK,Montpellier,26,1998,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
