Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Uriel van Aalst,,FW,Willem II,,,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Patrick van Aanholt,NED,DF,Sparta R'dam,33.0,1990.0,18.4,29,18,16,12,1,11,29,37.9,18,18,6,12,20,49,48,0
Paxten Aaronson,USA,"MF,FW",Utrecht,20.0,2003.0,29.9,114,67,45,53,16,41,79,51.9,38,37,7,30,37,151,26,0
Jayden Addai,NED,"FW,DF",AZ Alkmaar,18.0,2005.0,3.6,5,2,2,3,0,1,9,11.1,8,7,0,7,1,6,5,0
Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,25.0,1999.0,8.6,9,4,2,6,1,3,13,23.1,10,5,0,5,0,9,6,0
Aske Adelgaard,DEN,DF,Go Ahead Eag,20.0,2003.0,13.6,21,13,13,5,3,15,25,60.0,10,12,4,8,10,31,43,1
Shawn Adewoye,BEL,DF,Fortuna Sittard,24.0,2000.0,19.4,30,17,25,3,2,23,31,74.2,8,30,19,11,29,59,115,0
Olivier Aertssen,NED,DF,Zwolle,19.0,2004.0,12.4,29,20,20,5,4,14,22,63.6,8,17,9,8,14,43,69,0
Amar Ahmed,SWE,"FW,MF",Willem II,20.0,2004.0,7.8,11,4,4,4,3,7,15,46.7,8,13,5,8,10,21,6,0
Isaiah Ahmed,CUW,MF,Heerenveen,18.0,2005.0,0.1,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
Makan Aiko,FRA,FW,Fortuna Sittard,23.0,2001.0,13.1,9,3,2,1,6,2,4,50.0,2,12,2,10,9,18,6,0
Chuba Akpom,ENG,FW,Ajax,28.0,1995.0,9.2,9,7,5,2,2,4,8,50.0,4,8,0,8,0,9,11,0
Hamdi Akujobi,NED,DF,Almere City,24.0,2000.0,26.0,54,40,38,13,3,22,34,64.7,12,27,17,10,28,82,86,0
Gerald Alders,NED,DF,Twente,19.0,2005.0,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,3,0
Hussein Ali,IRQ,DF,Heerenveen,22.0,2002.0,2.4,9,6,6,3,0,6,6,100.0,0,2,0,2,1,10,12,0
Jaydon Amauri Banel,NED,FW,Ajax,19.0,2004.0,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jamal Amofa,NED,DF,Go Ahead Eag,25.0,1998.0,1.8,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,4,0
Silas Andersen,DEN,MF,Utrecht,20.0,2004.0,0.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Plamen Andreev,BUL,GK,Feyenoord,19.0,2004.0,1.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0
Oliver Antman,FIN,"FW,MF",Go Ahead Eag,22.0,2001.0,26.8,28,18,16,9,3,15,24,62.5,9,22,2,20,11,39,37,0
Anouar El Azzouzi,NED,"MF,DF",Zwolle,23.0,2001.0,32.0,93,54,39,46,8,43,74,58.1,31,31,12,19,43,136,101,3
Julian Baas,NED,MF,Sparta R'dam,22.0,2002.0,9.4,18,12,7,10,1,13,20,65.0,7,12,3,9,12,30,20,0
Youri Baas,NED,DF,Ajax,21.0,2003.0,22.7,27,12,14,11,2,15,25,60.0,10,19,10,9,33,60,86,2
Isaac Babadi,NED,MF,PSV Eindhoven,19.0,2005.0,1.9,5,5,2,1,2,2,3,66.7,1,5,0,5,3,8,0,0
Leandro Bacuna,CUW,"DF,MF",Groningen,32.0,1991.0,25.9,33,21,16,13,4,20,37,54.1,17,30,8,22,22,55,65,1
Thibo Baeten,BEL,"MF,FW",Go Ahead Eag,22.0,2002.0,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
