Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Younes Taha El Idrissi,MAR,"FW,MF",Twente,21.0,2002.0,2.4,58,100,58.0,1044,242,30,37,81.1,20,34,58.8,8,19,42.1,0,0.4,0.5,-0.4,6,5,5,1,7
Mohammed Ihattaren,NED,"MF,FW",RKC Waalwijk,22.0,2002.0,17.1,605,845,71.6,10597,3348,302,345,87.5,215,278,77.3,68,150,45.3,4,4.8,5.3,-0.8,38,66,42,11,100
Hwang In-beom,KOR,MF,Feyenoord,27.0,1996.0,18.0,872,1046,83.4,14477,4031,425,466,91.2,358,408,87.7,65,125,52.0,2,3.8,3.4,-1.8,33,97,19,5,112
Zidane Iqbal,IRQ,MF,Utrecht,21.0,2003.0,16.1,744,843,88.3,14206,4021,245,269,91.1,404,440,91.8,84,112,75.0,0,1.0,1.8,-1.0,16,87,19,2,106
Luka Ivanušec,CRO,"FW,MF",Feyenoord,25.0,1998.0,5.4,172,212,81.1,2724,666,83,94,88.3,69,79,87.3,12,19,63.2,0,0.5,0.9,-0.5,7,15,8,1,24
Joey Jacobs,NED,DF,Almere City,24.0,2000.0,13.0,382,505,75.6,8137,3181,96,112,85.7,234,273,85.7,50,108,46.3,0,0.2,0.3,-0.2,2,32,3,0,39
Alireza Jahanbakhsh,IRN,"FW,MF",Heerenveen,30.0,1993.0,16.1,478,753,63.5,7951,2835,249,333,74.8,175,261,67.0,43,92,46.7,2,3.5,2.9,-1.5,26,38,36,11,82
Alexander Jakobsen,EGY,"FW,MF",RKC Waalwijk,30.0,1994.0,0.8,22,35,62.9,267,54,17,20,85.0,5,12,41.7,0,1,0.0,0,0.0,0.0,0.0,0,1,1,0,2
Dean James,IDN,DF,Go Ahead Eag,24.0,2000.0,18.9,748,963,77.7,12763,4306,365,405,90.1,303,360,84.2,67,154,43.5,2,4.2,4.1,-2.2,36,44,13,7,56
Dominik Janošek,CZE,MF,NAC Breda,26.0,1998.0,12.9,612,791,77.4,11370,3469,269,302,89.1,240,293,81.9,84,159,52.8,4,1.8,2.3,2.2,24,69,8,3,79
Dies Janse,NED,DF,Ajax,18.0,2006.0,3.7,304,342,88.9,5464,1914,112,118,94.9,166,178,93.3,22,40,55.0,0,0.3,0.7,-0.3,2,29,5,0,37
Kai Jansen,NED,MF,Heerenveen,17.0,2007.0,0.2,7,9,77.8,85,17,4,5,80.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
Ali Jasim,IRQ,"FW,MF",Almere City,20.0,2004.0,4.9,173,209,82.8,2625,600,97,107,90.7,58,72,80.6,12,17,70.6,0,1.4,1.5,-1.4,11,14,7,0,25
Victor Jensen,DEN,MF,Utrecht,24.0,2000.0,12.1,318,408,77.9,5275,1081,130,166,78.3,143,165,86.7,26,34,76.5,3,2.1,1.6,0.9,22,21,8,1,54
Owen Johnson,NED,"FW,MF",Fortuna Sittard,18.0,2005.0,0.1,1,3,33.3,7,0,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Miliano Jonathans,IDN,"FW,MF",Utrecht,20.0,2004.0,3.0,77,103,74.8,1239,309,37,45,82.2,30,39,76.9,6,10,60.0,0,0.2,0.4,-0.2,2,4,3,0,11
Luuk de Jong,NED,FW,PSV Eindhoven,33.0,1990.0,27.2,585,791,74.0,7596,1328,353,446,79.1,160,223,71.7,22,34,64.7,8,8.1,5.9,-0.1,55,26,27,0,71
Tika de Jonge,NED,MF,Groningen,21.0,2003.0,14.1,489,660,74.1,8570,2503,197,238,82.8,235,303,77.6,41,75,54.7,1,0.6,1.0,0.4,9,57,9,0,76
Patrick Joosten,NED,"MF,FW",Willem II,28.0,1996.0,7.3,153,211,72.5,2173,518,88,103,85.4,53,72,73.6,5,18,27.8,1,1.2,1.2,-0.2,13,11,2,2,20
