Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Uriel van Aalst,,FW,Willem II,,,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1
Patrick van Aanholt,NED,DF,Sparta R'dam,33.0,1990.0,21,20,1656,18.4,0,0,0,0,0,0,4,0,0.6,0.6,1.3,1.9,39,86,64,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11
Paxten Aaronson,USA,"MF,FW",Utrecht,20.0,2003.0,33,30,2689,29.9,8,4,12,8,0,0,8,0,5.3,5.3,2.9,8.2,51,116,80,0.27,0.13,0.4,0.27,0.4,0.18,0.1,0.28,0.18,0.28
Jayden Addai,NED,"FW,DF",AZ Alkmaar,18.0,2005.0,17,3,324,3.6,1,0,1,1,0,0,1,0,1.0,1.0,0.4,1.4,18,15,44,0.28,0.0,0.28,0.28,0.28,0.28,0.11,0.4,0.28,0.4
Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,25.0,1999.0,13,10,778,8.6,1,0,1,1,0,0,2,0,1.3,1.3,0.9,2.2,31,22,60,0.12,0.0,0.12,0.12,0.12,0.15,0.11,0.26,0.15,0.26
Aske Adelgaard,DEN,DF,Go Ahead Eag,20.0,2003.0,22,14,1224,13.6,0,1,1,0,0,0,5,0,0.3,0.3,1.3,1.6,25,39,61,0.0,0.07,0.07,0.0,0.07,0.02,0.1,0.12,0.02,0.12
Shawn Adewoye,BEL,DF,Fortuna Sittard,24.0,2000.0,24,20,1748,19.4,1,0,1,1,0,0,3,0,1.5,1.5,0.1,1.6,13,59,0,0.05,0.0,0.05,0.05,0.05,0.08,0.01,0.08,0.08,0.08
Olivier Aertssen,NED,DF,Zwolle,19.0,2004.0,20,14,1116,12.4,1,0,1,1,0,0,0,0,0.6,0.6,0.6,1.2,13,47,19,0.08,0.0,0.08,0.08,0.08,0.05,0.05,0.1,0.05,0.1
Amar Ahmed,SWE,"FW,MF",Willem II,20.0,2004.0,22,5,703,7.8,1,0,1,1,0,0,3,0,0.7,0.7,0.9,1.7,35,21,55,0.13,0.0,0.13,0.13,0.13,0.1,0.12,0.22,0.1,0.22
Isaiah Ahmed,CUW,MF,Heerenveen,18.0,2005.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Makan Aiko,FRA,FW,Fortuna Sittard,23.0,2001.0,22,13,1179,13.1,1,0,1,1,0,0,4,0,4.0,4.0,0.9,4.9,22,6,59,0.08,0.0,0.08,0.08,0.08,0.3,0.07,0.37,0.3,0.37
