Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Uriel van Aalst,,FW,Willem II,,,0.3,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
Patrick van Aanholt,NED,DF,Sparta R'dam,33.0,1990.0,18.4,823,661,161,19,2,2,24,141,1,0,0,0,680,1,10
Paxten Aaronson,USA,"MF,FW",Utrecht,20.0,2003.0,29.9,904,862,37,7,3,3,49,2,16,15,0,0,718,5,36
Jayden Addai,NED,"FW,DF",AZ Alkmaar,18.0,2005.0,3.6,121,113,6,1,0,0,4,4,0,0,0,0,89,2,2
Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,25.0,1999.0,8.6,214,209,5,1,1,1,33,2,2,0,0,0,147,0,9
Aske Adelgaard,DEN,DF,Go Ahead Eag,20.0,2003.0,13.6,676,526,148,19,0,1,59,101,28,25,2,0,512,2,12
Shawn Adewoye,BEL,DF,Fortuna Sittard,24.0,2000.0,19.4,828,802,25,17,0,10,2,7,0,0,0,0,712,1,6
Olivier Aertssen,NED,DF,Zwolle,19.0,2004.0,12.4,572,451,118,15,0,6,7,103,0,0,0,0,442,3,18
Amar Ahmed,SWE,"FW,MF",Willem II,20.0,2004.0,7.8,255,217,37,9,3,3,29,6,21,3,13,0,180,1,7
Isaiah Ahmed,CUW,MF,Heerenveen,18.0,2005.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
Makan Aiko,FRA,FW,Fortuna Sittard,23.0,2001.0,13.1,153,145,8,0,0,1,14,0,0,0,0,0,92,0,4
Chuba Akpom,ENG,FW,Ajax,28.0,1995.0,9.2,242,238,4,0,0,1,6,0,0,0,0,0,186,0,6
Hamdi Akujobi,NED,DF,Almere City,24.0,2000.0,26.0,1058,815,242,7,0,4,44,235,0,0,0,0,761,1,23
Gerald Alders,NED,DF,Twente,19.0,2005.0,0.3,20,17,3,0,0,0,0,3,0,0,0,0,15,0,0
Hussein Ali,IRQ,DF,Heerenveen,22.0,2002.0,2.4,101,90,11,1,0,0,3,10,0,0,0,0,82,0,3
Jaydon Amauri Banel,NED,FW,Ajax,19.0,2004.0,0.7,30,29,1,0,0,0,5,0,1,0,0,0,20,0,2
Jamal Amofa,NED,DF,Go Ahead Eag,25.0,1998.0,1.8,132,131,1,1,0,1,0,0,0,0,0,0,120,0,1
Silas Andersen,DEN,MF,Utrecht,20.0,2004.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Plamen Andreev,BUL,GK,Feyenoord,19.0,2004.0,1.0,38,36,2,0,0,0,0,0,0,0,0,0,30,0,0
Oliver Antman,FIN,"FW,MF",Go Ahead Eag,22.0,2001.0,26.8,836,823,9,1,2,2,54,6,1,0,0,0,663,4,16
Anouar El Azzouzi,NED,"MF,DF",Zwolle,23.0,2001.0,32.0,1887,1852,32,29,0,14,23,2,0,0,0,0,1617,3,18
Julian Baas,NED,MF,Sparta R'dam,22.0,2002.0,9.4,540,466,73,23,0,5,50,6,43,21,15,0,433,1,6
Youri Baas,NED,DF,Ajax,21.0,2003.0,22.7,2140,2066,71,34,1,7,3,8,0,0,0,0,1954,3,13
Isaac Babadi,NED,MF,PSV Eindhoven,19.0,2005.0,1.9,164,158,6,2,3,1,4,0,3,2,0,0,135,0,4
Leandro Bacuna,CUW,"DF,MF",Groningen,32.0,1991.0,25.9,1331,1036,293,67,2,16,88,176,50,30,10,0,1012,2,19
Thibo Baeten,BEL,"MF,FW",Go Ahead Eag,22.0,2002.0,0.1,10,9,1,1,0,2,0,0,0,0,0,0,5,0,0
Esmir Bajraktarevic,BIH,"FW,DF",PSV Eindhoven,19.0,2005.0,0.3,26,26,0,0,0,0,2,0,0,0,0,0,21,0,0
Saïd Bakari,COM,DF,Sparta R'dam,29.0,1994.0,23.8,1129,961,164,8,1,5,44,156,0,0,0,0,951,4,16
Johan Bakayoko,BEL,FW,PSV Eindhoven,21.0,2003.0,17.5,867,819,47,3,2,2,90,26,16,5,0,0,687,1,22
Nordin Bakker,NED,GK,Almere City,26.0,1997.0,33.9,1251,917,333,81,0,2,0,0,0,0,0,0,640,1,0
Max Balard,AUS,MF,NAC Breda,23.0,2000.0,32.6,1174,1140,33,23,4,7,2,8,0,0,0,0,992,1,22
Alex Balboa,EQG,MF,Almere City,23.0,2001.0,4.5,124,122,2,2,2,1,1,0,0,0,0,0,87,0,3
Théo Barbet,FRA,DF,Almere City,23.0,2001.0,9.6,324,313,11,9,0,0,1,0,0,0,0,0,262,0,2
Vasilios Barkas,GRE,GK,Utrecht,30.0,1994.0,31.0,1080,831,244,52,0,0,0,0,0,0,0,0,793,5,0
Samuel Bastien,COD,"MF,FW",Fortuna Sittard,27.0,1996.0,14.4,379,344,35,11,2,3,29,1,23,20,2,0,305,0,6
Riechedly Bazoer,CUW,MF,AZ Alkmaar,27.0,1996.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
