Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
270,Stanley N'Soki,fr FRA,DF,Union Berlin,26-258,1999,0.9,32,42,76.2,674,276,10,11,90.9,17,19,89.5,5,9,55.6,0,0.0,0.0,0.0,0,3,0,0,3,Matches
271,Nikolas Nartey,dk DEN,"MF,FW",Stuttgart,25-304,2000,5.5,192,235,81.7,2846,723,107,119,89.9,63,74,85.1,11,16,68.8,0,1.2,1.2,-1.2,9,15,7,1,19,Matches
272,Paul Nebel,de GER,MF,Mainz 05,23-074,2002,9.9,319,440,72.5,4831,1043,176,213,82.6,121,157,77.1,14,42,33.3,0,0.8,1.4,-0.8,13,13,15,7,29,Matches
273,Kosta Nedeljković,rs SRB,DF,RB Leipzig,20-007,2005,2.8,123,143,86.0,2109,664,52,54,96.3,58,68,85.3,9,12,75.0,0,0.0,0.1,0.0,0,10,2,1,13,Matches
274,Luca Netz,de GER,DF,Gladbach,22-222,2003,7.4,266,341,78.0,4102,1312,140,158,88.6,109,127,85.8,13,43,30.2,1,0.9,0.9,+0.1,7,10,7,3,17,Matches
275,Manuel Neuer,de GER,GK,Bayern Munich,39-271,1986,12.0,401,487,82.3,10324,6979,78,78,100.0,188,192,97.9,130,209,62.2,0,0.0,0.0,0.0,0,10,0,0,3,Matches
276,Florian Neuhaus,de GER,"MF,FW",Gladbach,28-282,1997,6.9,259,339,76.4,4316,1625,130,160,81.3,100,121,82.6,21,38,55.3,1,0.6,1.2,+0.4,7,29,10,0,43,Matches
277,Jessic Ngankam,de GER,FW,Eint Frankfurt,25-156,2000,0.7,15,17,88.2,256,16,8,9,88.9,4,4,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
278,Moritz Nicolas,de GER,GK,Gladbach,28-063,1997,15.0,386,499,77.4,10749,8134,82,82,100.0,178,179,99.4,126,236,53.4,0,0.2,0.0,-0.2,2,10,1,0,0,Matches
279,Julian Niehues,de GER,MF,Heidenheim,24-250,2001,6.7,221,279,79.2,4217,1319,76,93,81.7,124,145,85.5,21,32,65.6,0,0.3,0.6,-0.3,2,22,3,1,26,Matches
280,Justin Njinmah,de GER,FW,Werder Bremen,25-038,2000,7.4,115,168,68.5,1669,288,67,83,80.7,35,52,67.3,6,17,35.3,0,0.4,0.3,-0.4,4,5,4,3,6,Matches
281,Felix Nmecha,de GER,MF,Dortmund,25-074,2000,11.9,445,522,85.2,7480,1635,215,244,88.1,187,207,90.3,33,49,67.3,2,1.3,2.6,+0.7,11,44,14,1,59,Matches
282,Arnaud Nordin,fr FRA,"DF,MF",Mainz 05,27-189,1998,5.2,154,199,77.4,2215,506,87,98,88.8,55,73,75.3,6,12,50.0,0,0.3,0.5,-0.3,3,5,6,3,12,Matches
283,Alexander Nübel,de GER,GK,Stuttgart,29-084,1996,15.0,461,589,78.3,12623,8943,72,72,100.0,251,254,98.8,136,258,52.7,1,0.6,0.0,+0.4,3,17,0,0,0,Matches
284,Antonio Nusa,no NOR,FW,RB Leipzig,20-250,2005,9.3,200,252,79.4,2802,680,132,147,89.8,48,65,73.8,11,23,47.8,1,1.5,1.8,-0.5,12,18,13,0,28,Matches
285,Michael Olise,fr FRA,FW,Bayern Munich,24-011,2001,13.0,738,908,81.3,10068,2761,458,505,90.7,201,257,78.2,32,63,50.8,8,7.6,7.7,+0.4,38,51,47,6,87,Matches
286,Warmed Omari,km COM,DF,Hamburger SV,25-244,2000,4.8,204,236,86.4,3947,1084,62,69,89.9,116,121,95.9,23,38,60.5,0,0.1,0.1,-0.1,3,6,2,0,13,Matches
287,Loïs Openda,be BEL,FW,RB Leipzig,25-310,2000,0.6,13,16,81.3,204,12,5,6,83.3,4,4,100.0,2,3,66.7,0,0.0,0.3,0.0,1,0,2,0,2,Matches
288,Louis Oppie,de GER,DF,St. Pauli,23-220,2002,14.1,524,669,78.3,7983,2788,293,329,89.1,195,237,82.3,26,66,39.4,0,0.8,1.0,-0.8,6,45,10,4,44,Matches
289,Willi Orban,hu HUN,DF,RB Leipzig,33-050,1992,14.8,812,897,90.5,15334,4407,247,259,95.4,496,520,95.4,62,102,60.8,0,0.3,0.2,-0.3,4,46,1,0,40,Matches
290,Patrick Osterhage,de GER,MF,Freiburg,25-325,2000,7.0,241,279,86.4,3751,889,115,129,89.1,102,114,89.5,12,19,63.2,0,0.5,0.6,-0.5,5,18,6,3,20,Matches
291,Assan Ouedraogo,de GER,MF,RB Leipzig,19-228,2006,6.1,141,173,81.5,2164,534,75,90,83.3,51,56,91.1,8,13,61.5,3,2.1,1.5,+0.9,8,15,3,0,15,Matches
292,Salih Özcan,tr TUR,"DF,MF",Dortmund,27-346,1998,0.2,28,29,96.6,452,147,14,14,100.0,14,15,93.3,0,0,,0,0.0,0.1,0.0,0,5,1,0,5,Matches
293,Cenk Özkacar,tr TUR,DF,Köln,25-078,2000,4.2,227,249,91.2,3979,1426,99,103,96.1,111,118,94.1,16,24,66.7,0,0.1,0.1,-0.1,2,15,0,0,22,Matches
294,Exequiel Palacios,ar ARG,MF,Leverkusen,27-079,1998,0.5,24,25,96.0,389,158,11,11,100.0,11,11,100.0,1,1,100.0,0,0.0,0.1,0.0,0,4,1,0,4,Matches
295,Leart Paqarada,xk KVX,DF,Heidenheim,31-076,1994,0.1,2,2,100.0,48,37,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
296,Aleksandar Pavlovic,de GER,MF,Bayern Munich,21-234,2004,6.7,689,733,94.0,10815,2690,361,369,97.8,256,268,95.5,48,59,81.4,1,0.9,1.4,+0.1,10,78,10,0,68,Matches
297,Mads Pedersen,dk DEN,DF,Augsburg,29-113,1996,0.9,31,40,77.5,491,250,16,18,88.9,13,17,76.5,2,3,66.7,0,0.0,0.3,0.0,1,1,2,2,0,Matches
298,Dženan Pejčinović,de GER,FW,Wolfsburg,20-311,2005,4.8,70,99,70.7,894,156,43,55,78.2,15,25,60.0,4,4,100.0,0,0.0,0.1,0.0,1,4,0,0,7,Matches
299,Mathias Pereira Lage,pt POR,"FW,MF",St. Pauli,29-023,1996,12.4,211,342,61.7,3157,817,118,162,72.8,60,97,61.9,17,45,37.8,2,1.2,1.0,+0.8,20,15,7,3,24,Matches
300,Immanuel Pherai,sr SUR,"MF,FW",Hamburger SV,24-242,2001,0.3,18,26,69.2,274,68,8,8,100.0,9,12,75.0,1,5,20.0,0,0.0,0.0,0.0,0,5,0,0,3,Matches
301,Rayan Philippe,fr FRA,"FW,MF",Hamburger SV,25-061,2000,10.2,121,180,67.2,2053,528,58,76,76.3,43,57,75.4,15,31,48.4,0,1.1,1.2,-1.1,13,7,12,6,16,Matches
302,Amos Pieper,de GER,DF,Werder Bremen,27-340,1998,8.5,477,557,85.6,10433,3381,110,122,90.2,294,312,94.2,70,114,61.4,0,0.0,0.3,0.0,2,44,4,2,42,Matches
303,Marvin Pieringer,de GER,"FW,MF",Heidenheim,26-080,1999,5.4,79,134,59.0,1313,202,32,45,71.1,38,55,69.1,5,19,26.3,0,0.6,0.2,-0.6,7,5,1,0,9,Matches
304,Ernest Poku,nl NED,"MF,DF",Leverkusen,21-329,2004,8.9,261,312,83.7,3695,515,153,172,89.0,91,104,87.5,6,10,60.0,2,1.1,1.9,+0.9,14,7,7,0,17,Matches
305,Kacper Potulski,pl POL,DF,Mainz 05,18-065,2007,3.0,80,99,80.8,1371,437,36,41,87.8,42,48,87.5,2,8,25.0,0,0.0,0.0,0.0,0,1,0,0,11,Matches
306,Yussuf Poulsen,dk DEN,FW,Hamburger SV,31-191,1994,2.3,46,76,60.5,661,125,28,35,80.0,12,23,52.2,4,5,80.0,0,0.0,0.2,0.0,1,3,3,0,8,Matches
307,Alexander Prass,at AUT,"MF,FW",Hoffenheim,24-211,2001,4.2,122,164,74.4,1759,516,72,80,90.0,41,59,69.5,5,14,35.7,1,0.6,0.7,+0.4,4,5,7,1,13,Matches
308,Grischa Prömel,de GER,MF,Hoffenheim,30-348,1995,8.1,332,407,81.6,5023,1074,191,210,91.0,118,146,80.8,15,27,55.6,2,1.0,1.3,+1.0,9,23,8,2,32,Matches
309,Cameron Puertas,ch SUI,"MF,FW",Werder Bremen,27-127,1998,8.4,233,302,77.2,3471,795,118,133,88.7,86,105,81.9,12,28,42.9,0,0.7,0.9,-0.7,6,13,5,0,26,Matches
310,Arkadiusz Pyrka,pl POL,"DF,MF",St. Pauli,23-094,2002,9.7,368,482,76.3,5457,2054,204,235,86.8,137,176,77.8,17,43,39.5,0,0.4,0.5,-0.4,6,15,13,2,31,Matches
311,Jarell Quansah,eng ENG,DF,Leverkusen,22-328,2003,9.9,603,678,88.9,9729,2668,313,337,92.9,252,270,93.3,33,54,61.1,0,0.2,0.4,-0.2,4,50,2,1,37,Matches
312,Leopold Querfeld,at AUT,DF,Union Berlin,22-003,2003,15.0,458,559,81.9,10391,3949,113,134,84.3,253,277,91.3,86,134,64.2,0,1.5,1.3,-1.5,14,45,9,0,43,Matches
313,Diant Ramaj,de GER,GK,Heidenheim,24-095,2001,15.0,569,806,70.6,18732,12126,32,33,97.0,270,273,98.9,267,492,54.3,0,0.0,0.1,0.0,0,33,0,0,1,Matches
