Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
31,Oliver Baumann,de GER,GK,Hoffenheim,35-204,1990,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,Christoph Baumgartner,at AUT,MF,RB Leipzig,26-144,1999,13.3,6,34,14,41.2,2.55,1.05,0.18,0.43,12.8,0,0,1,6.5,5.7,0.17,-0.5,+0.3,Matches
33,Ihlas Bebou,tg TOG,FW,Hoffenheim,31-244,1994,1.2,0,3,1,33.3,2.41,0.80,0.00,0.00,17.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
34,Adrian Beck,de GER,"MF,FW",Heidenheim,28-197,1997,5.8,0,5,2,40.0,0.86,0.34,0.00,0.00,16.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
35,Maximilian Beier,de GER,"MF,FW",Dortmund,23-067,2002,7.8,4,17,9,52.9,2.18,1.16,0.24,0.44,14.2,0,0,0,3.3,3.3,0.22,+0.7,+0.7,Matches
36,Stefan Bell,de GER,DF,Mainz 05,34-121,1991,5.4,0,3,0,0.0,0.55,0.00,0.00,,9.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
37,Jobe Bellingham,eng ENG,MF,Dortmund,20-091,2005,5.4,0,4,1,25.0,0.74,0.19,0.00,0.00,22.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
38,Jeanuël Belocian,fr FRA,DF,Leverkusen,20-309,2005,2.7,0,1,0,0.0,0.36,0.00,0.00,,4.2,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
39,Eliesse Ben Seghir,ma MAR,MF,Leverkusen,20-310,2005,2.2,0,4,1,25.0,1.81,0.45,0.00,0.00,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
40,Ramy Bensebaini,dz ALG,DF,Dortmund,30-251,1995,9.5,1,7,3,42.9,0.74,0.32,0.14,0.33,16.5,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
