Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Christian Kofane,CMR,FW,Leverkusen,19-150,2006,6.1,73,86,84.9,725,93,51,58,87.9,12,17,70.6,0,0,,0,0.3,0.3,-0.3,8,2,4,0,5
Derrick Köhn,GHA,DF,Union Berlin,26-322,1999,9.6,246,339,72.6,3687,1175,145,160,90.6,75,100,75.0,18,50,36.0,0,0.8,1.1,-0.8,6,11,9,7,23
Dominik Kohr,GER,DF,Mainz 05,31-326,1994,9.9,366,449,81.5,7290,2470,134,156,85.9,179,203,88.2,51,76,67.1,0,0.8,1.3,-0.8,6,41,6,0,55
Adam Kölle,GER,"DF,MF",Heidenheim,19-239,2006,0.9,17,26,65.4,412,110,1,3,33.3,14,17,82.4,2,4,50.0,0,0.1,0.1,-0.1,1,1,1,1,3
Mert Kömür,GER,"FW,MF",Augsburg,20-159,2005,9.4,217,303,71.6,3181,725,122,146,83.6,71,93,76.3,12,38,31.6,2,1.3,1.5,0.7,15,11,10,2,26
Samba Konaté,FRA,FW,RB Leipzig,16-299,2009,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Ransford Königsdörffer,GHA,FW,Hamburger SV,24-101,2001,11.3,133,192,69.3,2081,379,63,91,69.2,60,76,78.9,5,9,55.6,1,0.5,0.4,0.5,7,11,4,1,17
Konstantinos Koulierakis,GRE,DF,Wolfsburg,22-025,2003,13.5,609,728,83.7,11788,4444,213,229,93.0,330,363,90.9,63,122,51.6,0,0.5,0.5,-0.5,5,44,3,1,36
Alex Král,CZE,MF,Union Berlin,27-218,1998,2.5,51,66,77.3,779,234,31,37,83.8,15,20,75.0,5,6,83.3,0,0.1,0.1,-0.1,2,9,2,1,11
Andrej Kramarić,CRO,"MF,FW",Hoffenheim,34-187,1991,9.0,359,451,79.6,5425,1497,210,238,88.2,98,114,86.0,33,62,53.2,3,1.7,2.2,1.3,18,27,16,4,44
Tom Krauß,GER,"MF,DF",Köln,24-184,2001,7.1,361,402,89.8,6781,1599,129,141,91.5,200,210,95.2,31,38,81.6,0,0.2,0.3,-0.2,3,34,4,0,41
Rasmus Kristensen,DEN,DF,Eint Frankfurt,28-165,1997,9.7,537,687,78.2,9288,3658,256,283,90.5,215,274,78.5,53,88,60.2,0,0.8,0.9,-0.8,6,45,12,3,68
Lukas Kübler,GER,DF,Freiburg,33-115,1992,9.9,397,481,82.5,6529,2035,192,208,92.3,165,195,84.6,27,48,56.3,1,0.4,0.8,0.6,6,28,9,2,32
Sael Kumbedi,FRA,DF,Wolfsburg,20-272,2005,7.6,285,366,77.9,4301,1479,156,167,93.4,108,144,75.0,12,32,37.5,4,1.4,0.9,2.6,7,17,4,2,21
Jonah Kusi-Asare,SWE,FW,Bayern Munich,18-172,2007,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
