Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
22,Loïc Bade,fr FRA,DF,Leverkusen,25-256,2000,14,12,1040,11.6,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,34,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
23,Johan Bakayoko,be BEL,FW,RB Leipzig,22-247,2003,12,8,664,7.4,2,0,2,2,0,0,1,0,1.4,1.4,0.7,2.0,22,15,65,0.27,0.00,0.27,0.27,0.27,0.19,0.09,0.28,0.19,0.28,Matches
24,Ridle Baku,de GER,DF,RB Leipzig,27-259,1998,13,12,1084,12.0,0,2,2,0,0,0,3,0,1.0,1.0,2.5,3.4,30,83,50,0.00,0.17,0.17,0.00,0.17,0.08,0.20,0.29,0.08,0.29,Matches
25,Fabio Baldé,pt POR,"FW,MF",Hamburger SV,20-156,2005,10,2,248,2.8,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,7,1,19,0.00,0.36,0.36,0.00,0.36,0.10,0.16,0.26,0.10,0.26,Matches
26,Noahkai Banks,us USA,DF,Augsburg,19-022,2006,12,10,891,9.9,1,0,1,1,0,0,4,0,0.9,0.9,0.1,1.0,8,39,9,0.10,0.00,0.10,0.10,0.10,0.09,0.01,0.10,0.09,0.10,Matches
27,Ezechiel Banzuzi,nl NED,MF,RB Leipzig,20-310,2005,12,1,336,3.7,0,1,1,0,0,0,2,0,0.5,0.5,0.2,0.7,2,12,11,0.00,0.27,0.27,0.00,0.27,0.13,0.06,0.18,0.13,0.18,Matches
28,Michy Batshuayi,be BEL,FW,Eint Frankfurt,32-082,1993,6,1,139,1.5,1,0,1,0,1,1,0,0,1.1,0.3,0.1,0.5,1,2,9,0.65,0.00,0.65,0.00,0.00,0.73,0.10,0.83,0.22,0.32,Matches
29,Daniel Batz,de GER,GK,Mainz 05,34-345,1991,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Elias Baum,de GER,DF,Eint Frankfurt,20-058,2005,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,Oliver Baumann,de GER,GK,Hoffenheim,35-204,1990,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
32,Christoph Baumgartner,at AUT,MF,RB Leipzig,26-144,1999,15,14,1201,13.3,6,6,12,6,0,1,4,0,6.5,5.7,2.0,7.7,19,45,52,0.45,0.45,0.90,0.45,0.90,0.48,0.15,0.64,0.43,0.58,Matches
33,Ihlas Bebou,tg TOG,FW,Hoffenheim,31-244,1994,9,0,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,6,3,12,0.00,0.00,0.00,0.00,0.00,0.17,0.59,0.76,0.17,0.76,Matches
34,Adrian Beck,de GER,"MF,FW",Heidenheim,28-197,1997,12,6,523,5.8,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,14,22,33,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.12,0.05,0.12,Matches
35,Maximilian Beier,de GER,"MF,FW",Dortmund,23-067,2002,13,8,701,7.8,4,2,6,4,0,0,2,0,3.3,3.3,1.1,4.4,12,15,74,0.51,0.26,0.77,0.51,0.77,0.42,0.14,0.56,0.42,0.56,Matches
36,Stefan Bell,de GER,DF,Mainz 05,34-121,1991,11,6,490,5.4,0,1,1,0,0,0,2,0,0.3,0.3,0.5,0.8,3,11,1,0.00,0.18,0.18,0.00,0.18,0.05,0.09,0.14,0.05,0.14,Matches
37,Jobe Bellingham,eng ENG,MF,Dortmund,20-091,2005,14,5,486,5.4,0,0,0,0,0,0,0,1,0.3,0.3,0.2,0.5,6,46,19,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
38,Jeanuël Belocian,fr FRA,DF,Leverkusen,20-309,2005,7,2,247,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,4,16,5,0.00,0.00,0.00,0.00,0.00,0.12,0.03,0.14,0.12,0.14,Matches
39,Eliesse Ben Seghir,ma MAR,MF,Leverkusen,20-310,2005,7,2,199,2.2,0,0,0,0,0,0,2,0,0.1,0.1,0.9,1.0,12,7,28,0.00,0.00,0.00,0.00,0.00,0.06,0.39,0.45,0.06,0.45,Matches
40,Ramy Bensebaini,dz ALG,DF,Dortmund,30-251,1995,11,9,856,9.5,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.7,22,100,5,0.11,0.00,0.11,0.11,0.11,0.04,0.03,0.07,0.04,0.07,Matches
41,Bernardo,br BRA,DF,Hoffenheim,30-223,1995,14,14,1231,13.7,0,0,0,0,0,0,5,0,0.2,0.2,0.3,0.5,16,83,21,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
42,Jan-Niklas Beste,de GER,"FW,MF",Freiburg,26-353,1999,10,10,823,9.1,0,1,1,0,0,0,2,0,1.5,1.5,1.7,3.2,14,17,66,0.00,0.11,0.11,0.00,0.11,0.17,0.18,0.35,0.17,0.35,Matches
43,Tom Bischof,de GER,"DF,MF",Bayern Munich,20-178,2005,12,7,599,6.7,0,3,3,0,0,0,2,0,0.8,0.8,1.3,2.1,14,47,42,0.00,0.45,0.45,0.00,0.45,0.12,0.20,0.32,0.12,0.32,Matches
44,Leonardo Bittencourt,de GER,MF,Werder Bremen,32-004,1993,8,1,198,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,13,4,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.11,0.01,0.11,Matches
45,Ben Bobzien,de GER,FW,Mainz 05,22-238,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Sacha Boey,fr FRA,DF,Bayern Munich,25-101,2000,9,5,463,5.1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,6,22,30,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.09,0.05,0.09,Matches
47,Victor Boniface,ng NGA,"FW,MF",Werder Bremen,25-000,2000,11,2,333,3.7,0,2,2,0,0,0,1,0,1.1,1.1,0.7,1.8,12,13,21,0.00,0.54,0.54,0.00,0.54,0.29,0.20,0.49,0.29,0.49,Matches
48,Badredine Bouanani,dz ALG,"FW,MF",Stuttgart,21-015,2004,9,4,316,3.5,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.8,16,10,24,0.00,0.00,0.00,0.00,0.00,0.16,0.08,0.23,0.16,0.23,Matches
49,Julian Brandt,de GER,"MF,FW",Dortmund,29-235,1996,12,7,672,7.5,4,2,6,4,0,0,0,0,3.1,3.1,2.0,5.1,11,26,65,0.54,0.27,0.80,0.54,0.80,0.41,0.27,0.68,0.41,0.68,Matches
50,Nathaniel Brown,de GER,"DF,FW",Eint Frankfurt,22-190,2003,15,11,1088,12.1,1,3,4,1,0,0,1,0,1.5,1.5,1.7,3.2,36,31,69,0.08,0.25,0.33,0.08,0.33,0.12,0.14,0.26,0.12,0.26,Matches
51,Marius Bülter,de GER,FW,Köln,32-269,1993,13,9,740,8.2,3,3,6,3,0,0,2,0,2.5,2.5,2.5,5.0,18,23,59,0.36,0.36,0.73,0.36,0.73,0.30,0.31,0.61,0.30,0.61,Matches
52,Livan Burcu,tr TUR,"MF,DF",Union Berlin,21-086,2004,2,0,40,0.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,3,4,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.75,0.75,0.75,Matches
53,Jan Bürger,de GER,DF,Wolfsburg,18-288,2007,3,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Matches
54,Wouter Burger,nl NED,MF,Hoffenheim,24-310,2001,14,14,1161,12.9,3,4,7,3,0,0,2,0,1.7,1.7,3.2,4.9,5,76,39,0.23,0.31,0.54,0.23,0.54,0.13,0.25,0.38,0.13,0.38,Matches
55,Jonathan Burkardt,de GER,FW,Eint Frankfurt,25-165,2000,10,8,680,7.6,8,0,8,7,1,1,1,0,6.4,5.6,0.2,5.8,5,10,27,1.06,0.00,1.06,0.93,0.93,0.85,0.03,0.88,0.74,0.77,Matches
56,Oliver Burke,sct SCO,"MF,FW",Union Berlin,28-260,1997,14,10,784,8.7,4,0,4,4,0,0,2,0,2.3,2.3,0.4,2.7,14,17,56,0.46,0.00,0.46,0.46,0.46,0.26,0.05,0.31,0.26,0.31,Matches
57,Marnon Busch,de GER,"DF,MF",Heidenheim,31-015,1994,15,8,846,9.4,0,2,2,0,0,0,1,0,0.6,0.6,1.3,1.9,13,34,25,0.00,0.21,0.21,0.00,0.21,0.06,0.14,0.20,0.06,0.20,Matches
58,Aurélio Buta,pt POR,DF,Eint Frankfurt,28-316,1997,4,1,144,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,6,3,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches
59,William Bøving,dk DEN,MF,Mainz 05,22-297,2003,4,2,183,2.0,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,4,3,10,0.00,0.49,0.49,0.00,0.49,0.01,0.15,0.16,0.01,0.16,Matches
60,Anthony Caci,fr FRA,"DF,MF",Mainz 05,28-175,1997,4,4,310,3.4,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,25,30,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches
61,Cole Campbell,us USA,FW,Dortmund,19-306,2006,1,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,0,2,0.00,0.00,0.00,0.00,0.00,0.62,0.64,1.25,0.62,1.25,Matches
62,Emre Can,de GER,DF,Dortmund,31-345,1994,4,4,359,4.0,1,0,1,0,1,1,1,0,0.9,0.1,0.0,0.1,3,16,1,0.25,0.00,0.25,0.00,0.00,0.22,0.00,0.22,0.02,0.02,Matches
63,Nicolás Capaldo,ar ARG,"DF,MF",Hamburger SV,28-100,1997,13,12,1009,11.2,0,1,1,0,0,0,4,0,0.2,0.2,0.3,0.5,13,44,17,0.00,0.09,0.09,0.00,0.09,0.02,0.03,0.05,0.02,0.05,Matches
64,Alessio Castro-Montes,be BEL,"MF,DF",Köln,28-220,1997,4,1,93,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,8,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
65,Abdoulie Ceesay,gm GAM,"FW,MF",St. Pauli,21-352,2004,10,0,193,2.1,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,1,20,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches
66,Václav Černý,cz CZE,FW,Wolfsburg,28-067,1997,2,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
67,Julian Chabot,de GER,DF,Stuttgart,27-314,1998,12,11,997,11.1,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,11,62,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
68,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,20-221,2005,3,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
69,Fares Chaïbi,dz ALG,MF,Eint Frankfurt,23-025,2002,13,12,955,10.6,1,6,7,1,0,0,1,0,1.2,1.2,2.1,3.3,21,48,59,0.09,0.57,0.66,0.09,0.66,0.11,0.20,0.31,0.11,0.31,Matches
70,Arthur Chaves,br BRA,DF,Hoffenheim,24-328,2001,4,2,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,4,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
71,Chema,es ESP,MF,Stuttgart,20-242,2005,10,7,661,7.3,1,0,1,1,0,0,1,0,0.8,0.8,0.2,0.9,8,48,9,0.14,0.00,0.14,0.14,0.14,0.10,0.02,0.12,0.10,0.12,Matches
72,Fabio Chiarodia,it ITA,DF,Gladbach,20-201,2005,5,4,278,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,18,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
73,Carney Chukwuemeka,eng ENG,"MF,FW",Dortmund,22-064,2003,12,5,483,5.4,1,0,1,1,0,0,0,0,0.6,0.6,0.4,1.0,12,22,39,0.19,0.00,0.19,0.19,0.19,0.10,0.07,0.18,0.10,0.18,Matches
74,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,27-200,1998,12,9,729,8.1,0,0,0,0,0,0,2,0,1.2,1.2,0.4,1.6,24,29,50,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.20,0.15,0.20,Matches
75,Nnamdi Collins,de GER,DF,Eint Frankfurt,21-347,2004,13,9,849,9.4,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,19,61,9,0.00,0.11,0.11,0.00,0.11,0.00,0.02,0.02,0.00,0.02,Matches
